"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2019-10-23 22.64 "PHI" "" "BOS" "W" 14 0 21.6833333333333 0.3 0.3 0 3.7 2.1 6.4 4.4 6.9 16.7 11.5 62 84 1.3 0.6
"2" "2" 2019-10-26 22.65 "PHI" "@" "DET" "W" 6 1 23.7166666666667 0 0 5.6 5.5 5.5 9.6 3.7 0 57.1 11.6 28 101 -1.7 -9.2
"3" "3" 2019-10-28 22.65 "PHI" "@" "ATL" "W" 2 0 20.1833333333333 0.41 0.375 4.9 10.6 7.6 0 8.9 8.3 23.5 25.3 68 80 4.5 1.5
"4" "4" 2019-10-30 22.66 "PHI" "" "MIN" "W" 22 0 20.95 0.666 0.5 0 5 2.5 17.9 8.6 10 30.7 17.7 108 73 9.5 11.4
"5" "5" 2019-11-02 22.67 "PHI" "@" "POR" "W" 1 1 16.75 0.3 0.3 0 0 0 5.6 5.5 6.5 0 11.6 80 114 2.5 -4.9
"6" "6" 2019-11-04 22.67 "PHI" "@" "PHO" "L" -5 0 4.83333333333333 0.258 0.333 0 0 0 0 0 0 20.5 41.1 40 116 -3.1 -43
"7" "7" 2019-11-06 22.68 "PHI" "@" "UTA" "L" -2 0 13.3166666666667 0.25 0.25 0 7.4 3.9 24.5 0 0 20 16.5 58 114 -0.9 -13.6
"8" "" 2019-11-08 22.68 "PHI" "@" "DEN" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "8" 2019-11-10 22.69 "PHI" "" "CHO" "W" 8 0 2.56666666666667 NA NA 0 0 0 0 0 0 100 33.7 0 116 -2 -43.5
"10" "9" 2019-11-12 22.69 "PHI" "" "CLE" "W" 1 0 12.7166666666667 1.5 1.5 8 8.6 8.3 10.4 7.8 17.4 0 3.5 259 77 7.7 26.3
"11" "10" 2019-11-13 22.7 "PHI" "@" "ORL" "L" -15 0 10.8166666666667 1 1 0 9.2 4.7 12.5 0 8.2 0 4 205 108 2.6 2.8
"12" "11" 2019-11-15 22.7 "PHI" "@" "OKC" "L" -8 0 4.86666666666667 0 0 0 0 0 24.2 0 0 50 19.2 32 133 -1.8 -26.6
"13" "12" 2019-11-17 22.71 "PHI" "@" "CLE" "W" 19 0 15.5 0.68 0.7 0 6.1 3.6 0 0 0 14.5 20.4 102 104 3.8 -7.1
"14" "13" 2019-11-20 22.72 "PHI" "" "NYK" "W" 5 0 14.4833333333333 0.595 0.5 0 16.2 7.7 10.2 6.9 0 0 17.6 129 96 7.6 8.5
"15" "14" 2019-11-22 22.72 "PHI" "" "SAS" "W" 11 0 14.8666666666667 0.5 0.5 7.7 0 3.9 7.5 3.3 0 0 5.7 139 105 2.6 -1.6
"16" "15" 2019-11-23 22.72 "PHI" "" "MIA" "W" 27 0 23.5 0.5 0.5 0 0 0 5.1 2.2 0 25 7.8 83 97 0.8 -3.9
"17" "16" 2019-11-25 22.73 "PHI" "@" "TOR" "L" -5 0 3.43333333333333 0.436 0.333 0 0 0 0 14.9 0 0 43.3 99 77 1.1 -4.5
"18" "17" 2019-11-27 22.73 "PHI" "" "SAC" "W" 6 0 21 1.276 1.3 0 13.7 7.5 9.3 9.3 7.5 25.4 17.2 165 72 17.3 27.7
"19" "18" 2019-11-29 22.74 "PHI" "@" "NYK" "W" 6 1 21.45 0 0 0 4.8 2.7 14.4 2.4 0 0 4.2 52 102 0.1 -5.8
"20" "19" 2019-11-30 22.74 "PHI" "" "IND" "W" 3 0 19.8666666666667 0.833 0.833 0 7.8 3.8 0 0 0 0 6.9 149 124 3.2 -4.7
"21" "20" 2019-12-02 22.75 "PHI" "" "UTA" "W" 9 0 25.5333333333333 0.9 0.9 0 4.3 2.1 12 5.5 0 16.7 9.8 138 87 9.6 9.8
"22" "21" 2019-12-05 22.76 "PHI" "@" "WAS" "L" -6 0 30.9666666666667 0.625 0.625 0 3.2 1.8 24.5 3.1 4.9 0 5.7 165 117 10.1 8.2
"23" "22" 2019-12-07 22.76 "PHI" "" "CLE" "W" 47 0 8.68333333333333 0 0 0 0 0 9.7 0 9.1 0 10.2 42 99 0 -10.7
"24" "23" 2019-12-08 22.76 "PHI" "" "TOR" "W" 6 0 31.55 0.969 0.944 4.3 3.2 3.7 14.8 4.6 2.8 22.5 19.1 137 102 18.3 14.3
"25" "24" 2019-12-10 22.77 "PHI" "" "DEN" "W" 5 0 26.3333333333333 0.813 0.813 8.1 13 10.5 6.5 1.9 0 0 13.1 165 98 12.6 10.5
"26" "25" 2019-12-12 22.78 "PHI" "@" "BOS" "W" 6 0 29.7 0.75 0.75 5.1 0 2.1 8.6 1.7 5.4 0 6.3 167 117 7.7 4.8
"27" "26" 2019-12-13 22.78 "PHI" "" "NOP" "W" 7 0 26.5333333333333 0.375 0.375 0 7.2 3.9 4.4 1.8 0 20 8.2 69 114 1.9 -6
"28" "27" 2019-12-15 22.78 "PHI" "@" "BRK" "L" -20 0 18.8 0 0 0 0 0 13.8 5 3.6 34.7 6.7 31 105 1.6 -2.9
"29" "28" 2019-12-18 22.79 "PHI" "" "MIA" "L" -4 0 14.3 0.833 0.833 0 0 0 10.7 10.9 0 40 15.1 90 103 5 8.1
"30" "29" 2019-12-20 22.8 "PHI" "" "DAL" "L" -19 0 13.5666666666667 0 0 0 0 0 0 0 7.1 0 9.4 0 119 -1.4 -12.9
"31" "30" 2019-12-21 22.8 "PHI" "" "WAS" "W" 17 0 16.0333333333333 0.765 0.8 0 0 0 0 2.9 5.3 0 15 155 103 6.8 6.6
"32" "" 2019-12-23 22.81 "PHI" "@" "DET" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "" 2019-12-25 22.81 "PHI" "" "MIL" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "" 2019-12-27 22.82 "PHI" "@" "ORL" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "" 2019-12-28 22.82 "PHI" "@" "MIA" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "" 2019-12-31 22.83 "PHI" "@" "IND" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "" 2020-01-03 22.84 "PHI" "@" "HOU" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "" 2020-01-06 22.84 "PHI" "" "OKC" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "31" 2020-01-09 22.85 "PHI" "" "BOS" "W" 11 0 18.8333333333333 0 0 17.8 11.9 14.8 11.9 0 0 20 11.9 63 110 -0.1 -10.6
"40" "32" 2020-01-11 22.86 "PHI" "@" "DAL" "L" -18 0 19.6666666666667 0.205 0 4.3 12.2 7.5 0 2.7 4.7 0 11.1 61 115 0.6 -11.4
"41" "33" 2020-01-13 22.86 "PHI" "@" "IND" "L" -6 0 27.7833333333333 0.338 0.313 10.6 6.5 8.5 5.2 3.7 2.9 10.1 15.8 83 105 4.3 -1.6
"42" "34" 2020-01-15 22.87 "PHI" "" "BRK" "W" 11 1 26.9333333333333 0.625 0.625 0 11.4 5.7 4.3 3.6 11.5 0 6.4 137 97 7.4 6.3
"43" "35" 2020-01-17 22.87 "PHI" "" "CHI" "W" 11 1 36.1666666666667 0.444 0.357 6.6 6.5 6.6 7.1 2.9 8.7 11.3 12 102 92 8.6 0.2
"44" "36" 2020-01-18 22.88 "PHI" "@" "NYK" "W" 3 1 29.0666666666667 0.5 0.5 4 6.9 5.6 10.8 1.8 2.6 28.6 11.6 82 95 4.3 -2.7
"45" "37" 2020-01-20 22.88 "PHI" "@" "BRK" "W" 6 1 32.8833333333333 0.18 0.143 6.3 6.6 6.5 10.8 5.7 2.8 19.4 12.8 60 103 4.1 -5
"46" "38" 2020-01-22 22.89 "PHI" "@" "TOR" "L" -12 1 27.3833333333333 0.542 0.542 0 7.8 3.6 0 3.6 0 14.3 23.4 80 109 5.2 -4.5
