"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1981-10-30 23.14 "NJN" "" "NYK" "L" -4 0 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1981-11-04 23.15 "NJN" "" "ATL" "L" -9 0 11 0.143 0.143 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1981-11-05 23.15 "NJN" "@" "DET" "L" -6 0 7 0.45 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1981-11-07 23.16 "NJN" "@" "CHI" "L" -13 0 15 0.739 0.714 NA NA NA NA NA NA NA NA NA NA 7.6 NA
"5" "5" 1981-11-08 23.16 "NJN" "" "IND" "W" 3 0 15 0.4 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1981-11-10 23.17 "NJN" "@" "NYK" "L" -12 0 8 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1981-11-11 23.17 "NJN" "" "MIL" "L" -12 0 9 0.798 1 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1981-11-13 23.18 "NJN" "@" "BOS" "L" -14 0 9 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1981-11-18 23.19 "NJN" "@" "GSW" "L" -14 0 9 0.515 0.667 NA NA NA NA NA NA NA NA NA NA 4.6 NA
"10" "10" 1981-11-20 23.19 "NJN" "@" "POR" "L" -20 0 15 0.429 0.429 NA NA NA NA NA NA NA NA NA NA 3.6 NA
"11" "11" 1981-11-22 23.2 "NJN" "@" "SEA" "L" -17 0 10 0.429 0.429 NA NA NA NA NA NA NA NA NA NA 1.8 NA
"12" "12" 1981-11-24 23.21 "NJN" "@" "HOU" "W" 18 0 5 0.532 0 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1981-11-27 23.21 "SEA" "" "HOU" "W" 7 0 10 0.41 0.5 NA NA NA NA NA NA NA NA NA NA 3.6 NA
"14" "14" 1981-11-28 23.22 "SEA" "@" "SDC" "L" -2 0 9 0.436 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1981-12-04 23.23 "SEA" "@" "KCK" "L" -3 0 3 1 1 NA NA NA NA NA NA NA NA NA NA 1.6 NA
"16" "16" 1981-12-09 23.25 "SEA" "@" "SAS" "L" -11 0 7 0.4 0.4 NA NA NA NA NA NA NA NA NA NA 1.6 NA
"17" "17" 1981-12-13 23.26 "SEA" "" "SDC" "W" 24 0 13 1.031 1 NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1981-12-15 23.26 "SEA" "@" "DEN" "W" 6 0 12 0.833 0.833 NA NA NA NA NA NA NA NA NA NA 12 NA
"19" "19" 1981-12-17 23.27 "SEA" "@" "SDC" "W" 14 0 7 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1981-12-19 23.27 "SEA" "@" "UTA" "W" 12 0 7 0.4 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1981-12-23 23.28 "SEA" "" "UTA" "W" 14 0 14 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1981-12-25 23.29 "SEA" "@" "POR" "L" -5 0 11 NA NA NA NA NA NA NA NA NA NA NA NA 2.6 NA
"23" "23" 1982-01-02 23.31 "SEA" "@" "PHO" "L" -23 0 13 0.63 0.667 NA NA NA NA NA NA NA NA NA NA 4.8 NA
