"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1986-11-12 21.92 "BOS" NA "MIL" "W" 8 0 11 0.333 0.333 0 7.8 4.9 11.6 0 0 50 21.3 41 114 -1.7 -17.8
"2" "2" 1986-11-19 21.93 "BOS" NA "ATL" "W" 4 0 1 NA NA 0 0 0 0 0 0 NA 0 0 115 0 -2.4
"3" "3" 1986-11-21 21.94 "BOS" NA "GSW" "W" 15 0 6 0.5 0.5 26.7 0 10.1 0 0 0 50 26.5 61 125 -0.7 -20.9
"1" "1" 1987-11-06 22.9 "HOU" "" "SAS" "W" 6 0 8 0.17 0 13.6 0 7.1 40 0 0 25.4 38.1 55 105 -0.7 -18.7
"2" "2" 1987-11-08 22.9 "HOU" "@" "LAL" "L" -9 0 2 0.266 0 0 58.5 26.4 64.9 0 0 34.7 55.5 50 84 -0.5 -27.9
"3" "3" 1987-11-12 22.92 "HOU" "@" "SAC" "W" 2 0 15 0.521 0.5 0 9.7 4 62.7 3.3 0 25.8 11 125 116 5.9 3.4
"4" "4" 1987-11-14 22.92 "HOU" "" "UTA" "W" 8 0 14 0.512 0.5 5.2 0 3.3 27.3 10.8 0 17 15.7 105 87 6.7 13.3
"5" "5" 1987-11-15 22.92 "HOU" "" "SEA" "W" 2 0 6 0.667 0.667 0 22.2 11.4 100 8.4 0 40 35.8 99 96 4.1 12
"6" "6" 1987-11-17 22.93 "HOU" "@" "NJN" "L" -3 0 6 0.512 0.375 0 0 0 22.2 0 0 17 41.1 100 125 1.9 -5.9
"7" "7" 1987-11-19 22.93 "HOU" "@" "CLE" "W" 8 0 20 0.37 0.2 6 5.5 5.7 19.1 2.4 0 12.9 15.8 93 101 3.8 -3.9
"8" "8" 1987-11-21 22.94 "HOU" "@" "ATL" "L" -10 0 13 0.571 0.571 0 0 0 15.2 0 4.3 0 25.4 117 121 5.7 3.2
"9" "9" 1987-11-24 22.95 "HOU" "" "DET" "L" -14 0 4 0 0 21.8 0 12.6 0 0 0 50 20.9 21 111 -1.4 -23.5
"10" "10" 1987-11-25 22.95 "HOU" "@" "PHO" "W" 6 0 3 NA NA 0 0 0 0 15.7 0 100 14.2 0 77 -0.4 -5.1
"11" "11" 1987-11-27 22.96 "HOU" "@" "UTA" "L" -22 0 7 1 1 0 0 0 21.3 0 0 50 11.6 97 122 0.6 -10.7
"12" "12" 1987-11-28 22.96 "HOU" "" "CHI" "L" -12 0 1 0 0 0 0 0 0 0 0 0 40.9 0 112 -0.7 -35.8
"1" "1" 1989-01-04 24.06 "MIL" "" "LAC" "W" 8 0 1 1 1 0 88.9 46.2 0 0 0 0 33.7 200 67 2 41.3
"2" "2" 1989-01-06 24.07 "MIL" "@" "WSB" "W" 7 0 1 NA NA 0 98.3 55.2 0 0 0 NA 0 0 79 0.3 2.5
"3" "3" 1989-01-07 24.07 "MIL" "" "UTA" "W" 18 0 7 0.5 0.5 0 0 0 0 6.9 0 20 29.8 77 88 1.6 -3.4
"4" "4" 1989-01-18 24.1 "MIL" "" "CHH" "W" 12 0 4 0 0 0 40 18.2 0 12.5 0 75 41.6 0 84 -2.8 -41
"1" "1" 1989-11-07 24.9 "LAC" "@" "GSW" "L" -24 0 17 0.125 0.125 12.3 20.2 15.3 8.5 2.7 0 27.3 23.5 35 114 -2.9 -19.5
