"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1961-10-19 22.37 "CHP" "@" "NYK" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1961-10-21 22.38 "CHP" "@" "SYR" "L" -20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1961-11-08 22.43 "CHP" "" "NYK" "L" -22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1961-11-10 22.43 "CHP" "@" "CIN" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1961-11-12 22.44 "CHP" "" "BOS" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1961-11-13 22.44 "CHP" "@" "LAL" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1961-11-15 22.45 "CHP" "@" "LAL" "L" -15 NA NA 0.521 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1961-11-18 22.45 "CHP" "@" "DET" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1961-11-21 22.46 "CHP" "@" "NYK" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1961-11-25 22.47 "CHP" "@" "PHW" "L" -32 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1961-12-01 22.49 "CHP" "@" "BOS" "L" -19 NA 11 0.667 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1961-12-08 22.51 "CHP" "" "DET" "L" -26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1961-12-09 22.51 "CHP" "@" "PHW" "L" -22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1961-12-11 22.52 "CHP" "" "CIN" "L" -16 NA NA 0.533 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1961-12-14 22.53 "CHP" "" "BOS" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1961-12-26 22.56 "CHP" "" "DET" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1961-12-27 22.56 "CHP" "@" "DET" "L" -28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1961-12-29 22.57 "CHP" "" "STL" "L" -17 NA 17 0.619 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1961-12-30 22.57 "CHP" "@" "STL" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1962-01-02 22.58 "CHP" "" "SYR" "L" -25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1962-01-06 22.59 "CHP" "@" "SYR" "L" -18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1962-01-07 22.59 "CHP" "" "CIN" "L" -10 NA NA 0.432 NA NA NA NA NA NA NA NA NA NA NA NA NA
