"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1991-11-07 23.94 "HOU" "" "CLE" "W" 19 0 2 0.5 0.5 0 0 0 0 0 0 0 49.9 104 104 1 -1.7
"2" "2" 1991-11-16 23.96 "HOU" "@" "SAC" "W" 9 0 6 0.798 1 42.1 14 25.3 0 0 0 34.7 40.6 100 97 3.5 -3.9
"3" "3" 1991-11-19 23.97 "HOU" "" "NYK" "W" 11 0 2 NA NA 0 0 0 0 0 0 100 22.7 0 97 -1.4 -36.8
"4" "4" 1991-11-23 23.98 "HOU" "@" "MIN" "L" -13 0 12 0 0 0 10.5 4.9 10.5 0 0 0 3.7 50 119 -0.5 -11.6
"5" "5" 1991-11-26 23.99 "HOU" "" "NJN" "W" 9 0 22 0.609 0.636 12.9 12.4 12.6 6.3 0 0 7.5 27.3 124 118 10.5 -3
"6" "6" 1991-11-29 24 "HOU" "@" "IND" "L" -20 0 15 0.282 0.25 13.9 28.2 20 0 0 0 36.1 22.1 52 133 -2.1 -23.8
"7" "7" 1991-12-01 24 "HOU" "@" "DET" "L" -7 0 3 0.694 1 34 0 19.3 0 0 0 0 21.8 133 116 2 12.1
"8" "8" 1991-12-03 24.01 "HOU" "" "DEN" "L" -10 0 5 0.694 0.5 21.7 27.1 24.1 0 0 0 0 24.6 164 118 4 9
"9" "9" 1991-12-05 24.01 "HOU" "" "ATL" "L" -12 0 22 0.473 0.333 22.3 10.9 16.5 0 2.4 2.9 17.4 23.1 99 115 6.7 -4
"10" "10" 1991-12-07 24.02 "HOU" "" "UTA" "L" -5 0 11 0.34 0.4 27.6 0 16.4 0 0 0 0 23.3 92 117 1.8 -10.7
"11" "11" 1991-12-10 24.03 "HOU" "@" "POR" "W" 2 0 10 0.658 0.75 11.2 55.8 33.5 0 0 0 27.3 30.9 87 99 4.8 -1.8
"12" "12" 1991-12-12 24.03 "HOU" "@" "GSW" "W" 3 0 5 0 0 24 0 10.3 0 0 0 34.7 26.1 25 113 -1.8 -26.9
"13" "13" 1991-12-14 24.04 "HOU" "" "SAS" "L" -7 0 7 0 NA 30.5 0 18.3 0 0 0 0 5.8 86 124 -0.6 -16.6
"14" "14" 1991-12-19 24.05 "HOU" "" "SAC" "W" 7 0 12 0.333 0.333 0 0 0 11.7 0 0 0 11.2 94 116 0.2 -8.4
"15" "15" 1991-12-20 24.05 "HOU" "@" "CHH" "W" 4 0 11 0 0 0 0 0 0 0 4.1 0 7.4 0 106 -1.5 -13.6
"16" "16" 1991-12-22 24.06 "HOU" "@" "ORL" "W" 5 0 5 NA NA 0 20 11.7 0 0 0 100 8.8 0 104 -0.7 -14.1
"17" "17" 1991-12-23 24.06 "HOU" "" "DAL" "L" -20 0 8 0.25 0.25 61.4 41.8 51.1 0 0 0 0 23.5 95 111 3.3 -6.1
"18" "18" 1991-12-26 24.07 "HOU" "@" "NJN" "L" -6 0 18 0.868 1 0 16 8.8 8.4 0 0 0 7.6 179 108 5.2 5.1
"19" "19" 1991-12-27 24.07 "HOU" "@" "WSB" "W" 7 0 11 0.5 0.5 29.1 0 11.3 0 0 0 50 16.6 71 111 -0.4 -15.2
"20" "20" 1991-12-29 24.08 "HOU" "@" "MIL" "L" -10 0 4 1 1 0 0 0 0 0 0 0 12.4 200 134 1.7 5.7
"21" "21" 1991-12-30 24.08 "HOU" "@" "CLE" "L" -32 0 27 0.217 0.125 16.5 10.8 14.3 5 1.8 0 20.7 21.8 55 123 -1.4 -17.5
"22" "22" 1992-01-02 24.09 "HOU" "" "DET" "L" -23 0 7 0 0 13.5 0 7.8 0 8 0 0 6.4 46 109 1 -2.5
"23" "23" 1992-01-04 24.1 "HOU" "@" "SAS" "W" 2 0 1 NA NA 0 0 0 0 0 0 NA 0 0 110 0 -6.4
"24" "24" 1992-01-06 24.1 "HOU" "@" "ATL" "L" -12 0 1 NA NA 0 0 0 0 0 0 NA 0 0 122 0 -6.9
"25" "25" 1992-01-08 24.11 "HOU" "@" "PHI" "L" -10 0 3 1 1 0 0 0 0 0 0 0 15.2 200 125 1.7 7.2
"26" "26" 1992-01-10 24.11 "HOU" "@" "MIA" "W" 4 0 8 0 0 13.5 0 6.8 0 0 0 50 10.8 28 119 -1.4 -18.2
