"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2015-10-28 19.6 "IND" "@" "TOR" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "1" 2015-10-29 19.6 "IND" "" "MEM" "L" -9 0 17.9666666666667 0.581 0.667 6.7 20 13.4 0 5.6 4 22.5 21.9 84 105 5.3 -3.2
"3" "2" 2015-10-31 19.61 "IND" "" "UTA" "L" -21 0 22.6833333333333 0.563 0.5 5.4 15.1 10.4 0 0 2.9 10.1 20.3 106 106 6.9 1.6
"4" "3" 2015-11-03 19.61 "IND" "@" "DET" "W" 12 0 15.4833333333333 0.75 0.75 0 25.3 13.5 0 3.3 14.5 0 11.5 149 75 7.5 9.8
"5" "4" 2015-11-04 19.62 "IND" "" "BOS" "W" 2 0 18.4833333333333 0.451 0.333 14.2 5.5 10.2 8.7 0 4.6 0 17.1 124 110 6.6 1.1
"6" "5" 2015-11-06 19.62 "IND" "" "MIA" "W" 3 0 12.75 0.25 0.25 0 18.4 9.1 0 0 0 20 18.4 41 99 -2 -17.6
"7" "6" 2015-11-08 19.63 "IND" "@" "CLE" "L" -4 0 18.2833333333333 0.75 0.75 0 5.7 2.8 0 0 4.4 0 10 147 113 4.6 -0.9
"8" "7" 2015-11-09 19.63 "IND" "" "ORL" "W" 13 0 19.8 0.727 0.667 0 22.6 11.3 0 0 0 22.5 20.6 101 92 5.8 -3.3
"9" "8" 2015-11-11 19.64 "IND" "@" "BOS" "W" 11 0 1.31666666666667 NA NA 0 0 0 0 0 0 NA 0 0 103 0 -3.7
"10" "" 2015-11-13 19.64 "IND" "" "MIN" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2015-11-16 19.65 "IND" "@" "CHI" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2015-11-18 19.65 "IND" "@" "PHI" "W" 27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2015-11-21 19.66 "IND" "" "MIL" "W" 37 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2015-11-24 19.67 "IND" "@" "WAS" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2015-11-27 19.68 "IND" "" "CHI" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 2015-11-29 19.68 "IND" "@" "LAL" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2015-12-02 19.69 "IND" "@" "LAC" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2015-12-03 19.7 "IND" "@" "POR" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2015-12-05 19.7 "IND" "@" "UTA" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2015-12-08 19.71 "IND" "" "GSW" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 2015-12-11 19.72 "IND" "" "MIA" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2015-12-12 19.72 "IND" "@" "DET" "L" -22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2015-12-14 19.73 "IND" "" "TOR" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "" 2015-12-16 19.73 "IND" "" "DAL" "W" 26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2015-12-18 19.74 "IND" "" "BRK" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2015-12-19 19.74 "IND" "@" "MEM" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "" 2015-12-21 19.75 "IND" "@" "SAS" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "" 2015-12-23 19.75 "IND" "" "SAC" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 2015-12-26 19.76 "IND" "@" "MIN" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "" 2015-12-28 19.76 "IND" "" "ATL" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "9" 2015-12-30 19.77 "IND" "@" "CHI" "L" -2 0 21.5 0.376 0.25 4.5 22.4 12.5 7.7 0 10.9 0 21.9 95 99 5.5 -3
"32" "10" 2015-12-31 19.77 "IND" "" "MIL" "L" -4 0 17.1333333333333 0.463 0.333 16 57.7 36.5 0 0 0 10.4 24 99 120 5.5 -10.3
"33" "11" 2016-01-02 19.78 "IND" "" "DET" "W" 12 0 10.3166666666667 0.34 0.2 11.1 26.3 19.6 0 0 12.7 14.5 32.4 70 77 2.1 -7.8
"34" "12" 2016-01-04 19.78 "IND" "@" "MIA" "L" -3 0 6.76666666666667 0 0 0 42 22 0 0 0 0 13.6 0 96 -0.5 -13.1
"35" "13" 2016-01-06 19.79 "IND" "@" "ORL" "W" 9 0 12.5166666666667 1 1 9.8 36.5 23.7 0 0 8 25 14.6 133 89 6.3 7.4
"36" "14" 2016-01-08 19.79 "IND" "@" "NOP" "W" 5 0 10.6666666666667 0.644 0.667 10.5 18.8 14.8 16.7 0 8.3 0 15.4 145 87 5.6 11.2
"37" "15" 2016-01-10 19.8 "IND" "@" "HOU" "L" -4 0 12.7833333333333 0.667 0.667 9.4 9.4 9.4 11.9 0 8.1 0 11.1 143 103 4.7 3.7
