"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2016-10-27 22.95 "CHI" "" "BOS" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "1" 2016-10-29 22.95 "CHI" "" "IND" "W" 17 0 4.78333333333333 0 0 0 23.9 12.5 0 0 0 66.7 28.1 0 112 -2.4 -37.8
"3" "2" 2016-10-31 22.96 "CHI" "@" "BRK" "W" 30 0 7.01666666666667 0.5 0.5 0 0 0 0 0 10.5 0 17.7 110 94 1.6 1.2
"4" "3" 2016-11-02 22.96 "CHI" "@" "BOS" "L" -7 0 6.7 0.75 0.75 0 0 0 0 0 0 33.3 18.9 87 122 1 -3
"5" "4" 2016-11-04 22.97 "CHI" "" "NYK" "L" -13 0 0.466666666666667 NA NA 0 0 0 0 0 0 NA 0 0 138 0 -7.6
"6" "5" 2016-11-05 22.97 "CHI" "@" "IND" "L" -17 0 7.8 0.515 0.5 15 17.6 16.2 22.1 0 0 0 22.5 131 126 2.8 1.7
"7" "6" 2016-11-07 22.98 "CHI" "" "ORL" "W" 32 0 6.28333333333333 0.75 0.75 0 16.3 8 0 0 0 0 13.8 148 90 2.3 5.3
"8" "" 2016-11-09 22.98 "CHI" "@" "ATL" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2016-11-10 22.99 "CHI" "@" "MIA" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2016-11-12 22.99 "CHI" "" "WAS" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "7" 2016-11-15 23 "CHI" "@" "POR" "W" 25 0 16.0166666666667 0 0 0 19 10.3 14.6 0 0 0 5 55 91 0 -6.2
"12" "8" 2016-11-17 23 "CHI" "@" "UTA" "W" 8 0 15.2166666666667 0.5 0.5 0 7.5 3.4 10.6 0 0 0 9 121 98 1.1 -2
"13" "9" 2016-11-19 23.01 "CHI" "@" "LAC" "L" -7 0 2.43333333333333 0 0 0 0 0 0 0 0 0 19.8 0 130 -0.7 -25.9
"14" "10" 2016-11-20 23.01 "CHI" "@" "LAL" "W" 8 0 17.75 0.571 0.571 0 10.8 5.8 0 2.7 0 12.5 18.8 104 109 3.7 -4
"15" "11" 2016-11-22 23.02 "CHI" "@" "DEN" "L" -3 0 14.2166666666667 0 0 0 18.4 9.8 7.9 0 0 0 3.1 48 116 0.5 -9.4
"16" "12" 2016-11-25 23.02 "CHI" "@" "PHI" "W" 16 0 22.3333333333333 0.278 0.278 0 13.4 6.5 0 2.2 0 0 17.1 59 92 0.6 -9.9
"17" "13" 2016-11-30 23.04 "CHI" "" "LAL" "L" -6 0 5.71666666666667 0 0 0 0 0 26.2 16.6 0 0 14.3 23 73 0.5 0.5
"18" "14" 2016-12-02 23.04 "CHI" "" "CLE" "W" 6 0 3.71666666666667 NA NA 0 0 0 0 0 0 NA 0 0 116 0 -8
"19" "15" 2016-12-03 23.05 "CHI" "@" "DAL" "L" -25 0 19.5333333333333 0.5 0.5 0 16.4 8.7 0 0 0 0 12.3 112 123 3.2 -1.8
"20" "16" 2016-12-05 23.05 "CHI" "" "POR" "L" -2 0 21.8666666666667 0.167 0.167 0 19.5 10 0 0 0 14.3 13.4 35 121 -2.4 -17.9
"21" "" 2016-12-06 23.05 "CHI" "@" "DET" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2016-12-08 23.06 "CHI" "" "SAS" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "17" 2016-12-10 23.07 "CHI" "" "MIA" "W" 5 0 5.1 0.532 0 0 19.2 10.5 0 0 0 0 16.3 130 109 1.6 -2.4
"24" "" 2016-12-13 23.07 "CHI" "" "MIN" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "18" 2016-12-15 23.08 "CHI" "@" "MIL" "L" -11 0 18.8333333333333 0.363 0.25 0 15.9 9.2 15.7 0 0 22.5 22 68 118 1.1 -9.6
"26" "19" 2016-12-16 23.08 "CHI" "" "MIL" "L" -26 0 21.95 0.381 0.286 0 20.8 8.5 18.5 2.5 0 0 15.6 97 106 5.1 0.4
"27" "20" 2016-12-19 23.09 "CHI" "" "DET" "W" 31 0 12 0.75 0.75 0 34 20.5 0 0 0 33.3 12.2 85 93 2.2 -3.5
"28" "" 2016-12-21 23.1 "CHI" "" "WAS" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 2016-12-23 23.1 "CHI" "@" "CHO" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "21" 2016-12-25 23.11 "CHI" "@" "SAS" "L" -19 0 2.38333333333333 NA NA 0 0 0 0 0 0 NA 0 0 136 0 -7.4
"31" "" 2016-12-26 23.11 "CHI" "" "IND" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "" 2016-12-28 23.12 "CHI" "" "BRK" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "" 2016-12-30 23.12 "CHI" "@" "IND" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "22" 2016-12-31 23.12 "CHI" "" "MIL" "L" -20 0 2.26666666666667 0.5 0.5 0 0 0 0 23.6 0 33.3 59.8 58 86 1 1.1
"35" "23" 2017-01-02 23.13 "CHI" "" "CHO" "W" 7 0 17.55 0.75 0.75 0 0 0 24.3 2.9 0 25 19.4 121 120 6.3 4
"36" "" 2017-01-04 23.13 "CHI" "@" "CLE" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "" 2017-01-07 23.14 "CHI" "" "TOR" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "" 2017-01-09 23.15 "CHI" "" "OKC" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "24" 2017-01-10 23.15 "CHI" "@" "WAS" "L" -2 0 30.15 0.633 0.633 0 8.2 3.7 13.3 3.2 0 6.3 22.3 122 101 13.9 9.8
"40" "" 2017-01-12 23.16 "CHI" "@" "NYK" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "25" 2017-01-14 23.16 "CHI" "" "NOP" "W" 8 0 5.41666666666667 NA NA 0 0 0 0 0 0 NA 0 0 111 0 -8.6
"42" "26" 2017-01-15 23.16 "CHI" "@" "MEM" "W" 4 0 10.1666666666667 0 0 0 0 0 11.8 4.9 0 50 9 26 107 -0.4 -6.6
"43" "" 2017-01-17 23.17 "CHI" "" "DAL" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "27" 2017-01-20 23.18 "CHI" "@" "ATL" "L" -9 0 24.0666666666667 0.4 0.4 4.7 25.6 14.8 7.1 6.1 6.6 16.7 21.1 78 91 6.7 3.6
"45" "" 2017-01-21 23.18 "CHI" "" "SAC" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "" 2017-01-24 23.19 "CHI" "@" "ORL" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "" 2017-01-25 23.19 "CHI" "" "ATL" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "" 2017-01-27 23.2 "CHI" "" "MIA" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "" 2017-01-29 23.2 "CHI" "" "PHI" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "" 2017-02-01 23.21 "CHI" "@" "OKC" "W" 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "" 2017-02-03 23.22 "CHI" "@" "HOU" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "" 2017-02-06 23.22 "CHI" "@" "SAC" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
