"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1997-10-31 22.72 "UTA" "@" "LAL" "L" -17 0 16.2333333333333 0.481 0.333 0 14.3 6.4 11.1 0 0 36.6 21.5 68 119 -0.8 -15.2
"2" "2" 1997-11-01 22.72 "UTA" "" "DEN" "W" 18 0 15.5833333333333 0.773 1 0 6.4 3.5 41.4 0 0 20.5 13.1 123 107 6 3.2
"3" "3" 1997-11-03 22.73 "UTA" "" "WAS" "L" -4 0 25.6666666666667 0.717 0.75 0 7.9 4.1 42.1 0 0 38.1 13.8 99 103 4 -1.9
"4" "4" 1997-11-04 22.73 "UTA" "@" "PHO" "L" -22 0 15.7833333333333 0.333 0.333 6.3 8.3 7.1 39.1 3.2 0 33.3 24.6 61 112 -0.3 -10.8
"5" "5" 1997-11-07 22.74 "UTA" "@" "DEN" "W" 2 0 18.1666666666667 0 0 0 13.3 7.4 29.6 2.9 0 40 13.2 42 97 -0.1 -8.8
"6" "6" 1997-11-08 22.74 "UTA" "@" "SAS" "L" -7 0 10.3666666666667 0.222 0 0 0 0 0 0 0 12.9 37.9 45 110 -2.7 -24.2
"7" "7" 1997-11-12 22.75 "UTA" "" "VAN" "W" 18 0 19.4333333333333 0.143 0.143 0 5.7 2.7 48.5 0 0 22.2 20.6 64 98 -0.1 -14.4
"8" "8" 1997-11-14 22.76 "UTA" "" "SEA" "W" 6 0 23.8166666666667 0.521 0.5 0 10.5 5.6 30.3 0 0 25.8 15.6 103 128 4.1 -4.9
"9" "9" 1997-11-15 22.76 "UTA" "@" "DAL" "W" 8 0 16.8 0.583 0.583 0 0 0 41 0 0 0 17.1 138 103 6.4 7.1
"10" "10" 1997-11-18 22.77 "UTA" "" "LAL" "L" -5 0 15.6666666666667 0.381 0.286 7.5 15 11.3 21.4 0 0 0 23.9 104 118 3.4 -5.8
"11" "11" 1997-11-20 22.77 "UTA" "@" "SAC" "L" -2 0 14.35 0.291 0.167 0 9.5 4.7 33.6 0 0 12.7 26.1 72 115 1.2 -11.2
"12" "12" 1997-11-22 22.78 "UTA" "" "SAS" "W" 29 0 11.7166666666667 0.5 0.5 0 9.3 5.5 41.4 0 0 33.3 12 104 92 0.8 -5.7
"13" "13" 1997-11-24 22.78 "UTA" "" "MIN" "W" 9 0 12.0166666666667 0.515 0.333 19.2 7.7 11 22.3 0 0 20.5 19.2 115 125 2.1 -10.7
"14" "14" 1997-11-28 22.79 "UTA" "" "GSW" "W" 29 0 24 0.286 0.286 0 14 9 41 4.1 0 30 18 76 81 4.9 -4.4
"15" "15" 1997-11-29 22.8 "UTA" "@" "LAC" "W" 3 0 20.0666666666667 0.466 0.5 0 5.6 2.7 25.9 2.7 0 31.8 20.5 74 105 3 -6.6
"16" "16" 1997-12-01 22.8 "UTA" "" "NJN" "W" 5 0 21.0166666666667 0.666 0.6 0 0 0 33.7 5 0 42.5 24.9 83 101 4.9 -1.7
"17" "17" 1997-12-03 22.81 "UTA" "" "TOR" "W" 17 0 22.2833333333333 0.481 0.429 0 9.5 5.1 17 2.4 3.1 32.5 23 84 106 3.5 -8.6
