"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1980-10-11 24.8 "UTA" "@" "KCK" "L" -7 0 12 0.231 0 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1980-10-12 24.8 "UTA" "@" "DEN" "W" 4 0 14 0.699 0.667 NA NA NA NA NA NA NA NA NA NA 6 NA
"3" "3" 1980-10-15 24.81 "UTA" "" "PHO" "L" -14 0 4 0.347 0 NA NA NA NA NA NA NA NA NA NA 0.5 NA
"4" "4" 1980-10-20 24.82 "UTA" "" "SEA" "L" -6 0 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1980-10-25 24.84 "UTA" "" "LAL" "L" -28 0 14 0 0 NA NA NA NA NA NA NA NA NA NA -6.1 NA
"6" "6" 1980-10-31 24.85 "UTA" "" "DAL" "W" 22 0 5 0.931 1 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1980-11-01 24.85 "UTA" "@" "POR" "W" 8 0 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1980-11-15 24.89 "UTA" "@" "SAS" "L" -16 0 12 0.515 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1980-11-18 24.9 "UTA" "" "MIL" "L" -33 0 12 0.615 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1980-11-28 24.93 "UTA" "@" "NJN" "L" -27 0 8 0.385 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1980-11-29 24.93 "UTA" "@" "PHI" "L" -20 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
