"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2004-11-03 23.41 "PHO" "" "ATL" "W" 30 0 15.9666666666667 0.4 0.4 13.6 13.8 13.8 7.7 3 3.7 37.5 19.8 69 76 1.4 -6.3
"2" "2" 2004-11-05 23.42 "PHO" "@" "PHI" "W" 10 1 4.78333333333333 NA NA 0 0 0 0 0 0 NA 0 0 112 0 -5.7
"3" "" 2004-11-06 23.42 "PHO" "@" "NJN" "W" 32 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2004-11-09 23.43 "PHO" "@" "CHI" "W" 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2004-11-10 23.43 "PHO" "@" "CLE" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "3" 2004-11-13 23.44 "PHO" "" "SAC" "L" -2 0 2.25 NA NA 0 0 0 0 0 0 NA 0 0 136 -0.4 -12.7
"7" "" 2004-11-16 23.45 "PHO" "@" "DAL" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2004-11-17 23.45 "PHO" "@" "NOH" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2004-11-19 23.45 "PHO" "" "LAL" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2004-11-21 23.46 "PHO" "@" "LAC" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "4" 2004-11-22 23.46 "PHO" "" "CHI" "W" 18 0 4.11666666666667 0.521 0.5 28.6 0 12.5 0 0 18.2 0 31.8 122 85 2.6 12.2
"12" "" 2004-11-24 23.47 "PHO" "" "MIL" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2004-11-26 23.47 "PHO" "" "NOH" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2004-11-30 23.48 "PHO" "@" "UTA" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "5" 2004-12-01 23.49 "PHO" "" "CLE" "W" 19 0 3.16666666666667 NA NA 0 66.7 37.6 34 0 0 NA 0 217 92 0.9 9.2
"16" "" 2004-12-03 23.49 "PHO" "" "MIN" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2004-12-05 23.5 "PHO" "@" "POR" "W" 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2004-12-18 23.53 "PHO" "" "WAS" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2004-12-20 23.54 "PHO" "@" "DEN" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2004-12-23 23.55 "PHO" "" "MEM" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
