"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2018-10-18 21.48 "LAL" "@" "POR" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2018-10-20 21.48 "LAL" "" "HOU" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2018-10-22 21.49 "LAL" "" "SAS" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2018-10-24 21.5 "LAL" "@" "PHO" "W" 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2018-10-25 21.5 "LAL" "" "DEN" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 2018-10-27 21.5 "LAL" "@" "SAS" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 2018-10-29 21.51 "LAL" "@" "MIN" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2018-10-31 21.52 "LAL" "" "DAL" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2018-11-03 21.52 "LAL" "@" "POR" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2018-11-04 21.53 "LAL" "" "TOR" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2018-11-07 21.53 "LAL" "" "MIN" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2018-11-10 21.54 "LAL" "@" "SAC" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2018-11-11 21.55 "LAL" "" "ATL" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2018-11-14 21.55 "LAL" "" "POR" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "1" 2018-11-17 21.56 "LAL" "@" "ORL" "L" -13 0 2.1 0 0 0 0 0 0 0 0 0 19.9 0 132 -0.7 -27.3
"16" "" 2018-11-18 21.56 "LAL" "@" "MIA" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2018-11-21 21.57 "LAL" "@" "CLE" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2018-11-23 21.58 "LAL" "" "UTA" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2018-11-25 21.58 "LAL" "" "ORL" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "2" 2018-11-27 21.59 "LAL" "@" "DEN" "L" -32 0 4.11666666666667 0 0 0 24.8 11.8 34.3 0 0 0 10.9 41 121 0.3 -4.8
"21" "" 2018-11-29 21.59 "LAL" "" "IND" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "3" 2018-11-30 21.6 "LAL" "" "DAL" "W" 11 0 1.05 0 0 0 0 0 100 0 0 0 39 54 107 0 -1.3
"23" "4" 2018-12-02 21.6 "LAL" "" "PHO" "W" 24 0 9.9 0.563 0.5 0 28 15.2 15.4 4.6 0 18.4 43.6 96 83 4.6 -2.1
"24" "" 2018-12-05 21.61 "LAL" "" "SAS" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2018-12-07 21.62 "LAL" "@" "SAS" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "5" 2018-12-08 21.62 "LAL" "@" "MEM" "W" 23 0 3.83333333333333 0 0 0 0 0 29.1 0 0 0 30 27 103 -1.5 -25.3
"27" "" 2018-12-10 21.62 "LAL" "" "MIA" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "" 2018-12-13 21.63 "LAL" "@" "HOU" "L" -15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "6" 2018-12-15 21.64 "LAL" "@" "CHO" "W" 28 0 6.9 0.625 0.625 0 40.9 23.2 0 0 0 0 23.7 119 95 3.5 0
"30" "7" 2018-12-16 21.64 "LAL" "@" "WAS" "L" -18 0 16.5833333333333 0.857 0.857 6.6 11.6 9.2 9.8 0 0 12.5 19.1 143 122 9.7 6
"31" "8" 2018-12-18 21.65 "LAL" "@" "BRK" "L" -5 0 8 0.694 0.75 0 13.6 6.8 0 0 0 0 15.1 137 114 2.1 -1.8
"32" "" 2018-12-21 21.65 "LAL" "" "NOP" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "9" 2018-12-23 21.66 "LAL" "" "MEM" "L" -8 0 4.1 0 0 58.5 26.6 41.8 0 0 0 33.3 34.9 48 116 -1.1 -37.2
"34" "10" 2018-12-25 21.67 "LAL" "@" "GSW" "W" 26 0 1.83333333333333 NA NA 0 0 0 100 0 0 NA 0 228 104 1.4 42.5
"35" "" 2018-12-27 21.67 "LAL" "@" "SAC" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "" 2018-12-28 21.67 "LAL" "" "LAC" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "" 2018-12-30 21.68 "LAL" "" "SAC" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "" 2019-01-02 21.69 "LAL" "" "OKC" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "" 2019-01-04 21.69 "LAL" "" "NYK" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "11" 2019-01-06 21.7 "LAL" "@" "MIN" "L" -22 0 18.7666666666667 0.383 0.35 4.7 23.3 13 0 0 4.5 16.1 26.4 68 103 0.8 -10.2
"41" "" 2019-01-07 21.7 "LAL" "@" "DAL" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "12" 2019-01-09 21.71 "LAL" "" "DET" "W" 13 0 2.78333333333333 0 0 0 0 0 0 0 0 50 33.2 0 116 -1.7 -42.5
"43" "13" 2019-01-11 21.71 "LAL" "@" "UTA" "L" -18 0 7.75 0.615 0.5 9.4 22.9 15.5 0 5.8 0 0 24.1 136 94 6.3 15
