"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1976-11-17 21.65 "NOJ" "@" "DET" "L" -23 0 21 0.527 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1976-11-19 21.65 "NOJ" "@" "PHI" "L" -5 0 20 0.475 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1976-11-23 21.67 "NOJ" "" "GSW" "W" 23 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1976-11-28 21.68 "NOJ" "" "BUF" "W" 9 0 3 0.532 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1976-12-01 21.69 "NOJ" "" "MIL" "W" 21 0 6 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1976-12-03 21.69 "NOJ" "" "ATL" "W" 16 0 4 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1976-12-05 21.7 "NOJ" "" "DEN" "L" -12 0 10 0.258 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1976-12-07 21.7 "NOJ" "" "SEA" "W" 12 0 6 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1976-12-10 21.71 "NOJ" "" "CHI" "L" -14 0 6 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1976-12-11 21.72 "NOJ" "@" "SAS" "L" -15 0 3 0.205 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1977-01-14 21.81 "NOJ" "@" "BUF" "L" -28 0 8 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1977-01-16 21.81 "NOJ" "@" "PHI" "L" -21 0 4 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1977-01-22 21.83 "NOJ" "" "GSW" "W" 18 0 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1977-01-28 21.85 "NOJ" "@" "DEN" "L" -12 0 3 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1977-01-29 21.85 "NOJ" "@" "PHO" "L" -16 0 11 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1977-02-02 21.86 "NOJ" "@" "SEA" "L" -25 0 7 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1977-02-03 21.86 "NOJ" "@" "GSW" "W" 6 0 3 0.431 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1977-02-06 21.87 "NOJ" "" "HOU" "W" 9 0 2 1.136 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1977-02-09 21.88 "NOJ" "@" "NYN" "L" -4 1 26 0.51 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1977-02-11 21.88 "NOJ" "@" "CHI" "L" -18 1 10 0.258 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1977-02-20 21.91 "NOJ" "@" "SAS" "L" -20 0 5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1977-02-22 21.92 "NOJ" "@" "NYK" "L" -17 0 3 1.064 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1977-02-25 21.92 "NOJ" "" "NYK" "W" 17 0 3 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1977-02-27 21.93 "NOJ" "" "SAS" "L" -17 0 3 0.694 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1977-03-01 21.93 "NOJ" "@" "KCK" "L" -22 0 6 0.2 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1977-03-12 21.96 "NOJ" "@" "HOU" "L" -16 0 1 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1977-03-15 21.97 "NOJ" "@" "POR" "L" -27 0 12 0.968 NA NA NA NA NA NA NA NA NA NA NA NA NA
