"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1974-10-18 21.95 "POR" "" "CLE" "W" 2 1 46 0.436 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1974-10-19 21.95 "POR" "" "DET" "L" -23 1 41 0.522 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1974-10-22 21.96 "POR" "@" "GSW" "W" 1 1 42 0.638 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1974-10-23 21.96 "POR" "@" "SEA" "L" -10 1 33 0.519 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1974-10-25 21.97 "POR" "" "GSW" "L" -2 1 45 0.83 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1974-10-27 21.98 "POR" "" "SEA" "W" 26 1 30 0.791 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1974-10-29 21.98 "POR" "" "LAL" "L" -3 1 39 0.346 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1974-11-01 21.99 "POR" "" "BUF" "W" 7 1 34 0.652 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1974-11-03 21.99 "POR" "" "GSW" "L" -9 1 46 0.533 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1974-11-06 22 "POR" "@" "BOS" "L" -18 1 39 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1974-11-08 22.01 "POR" "@" "PHI" "L" -16 1 39 0.414 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1974-11-09 22.01 "POR" "@" "ATL" "W" 4 1 31 0.812 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1974-11-10 22.01 "POR" "@" "NOJ" "L" -1 1 37 0.705 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1974-11-12 22.02 "POR" "" "NYK" "W" 2 1 18 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1974-11-14 22.02 "POR" "" "ATL" "W" 12 1 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1974-11-22 22.05 "POR" "" "WSB" "L" -18 0 31 0.438 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1974-11-23 22.05 "POR" "" "SEA" "L" -7 1 30 0.46 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1975-01-16 22.2 "POR" "@" "CLE" "L" -8 0 14 0.17 NA NA NA NA NA NA NA NA NA NA NA NA NA
