"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2003-10-28 23.59 "LAL" "" "DAL" "W" 16 0 6.18333333333333 0.833 0.833 16.3 13.7 14.9 0 0 0 0 19.1 156 100 3.5 6.9
"2" "" 2003-11-01 23.6 "LAL" "@" "PHO" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "2" 2003-11-02 23.6 "LAL" "" "GSW" "W" 15 0 4.41666666666667 0 0 27.3 25 26.1 35.3 0 0 0 22.7 52 83 0.3 -7.2
"4" "3" 2003-11-04 23.61 "LAL" "@" "MIL" "W" 6 0 6.48333333333333 1 1 0 0 0 0 0 0 50 11.9 72 124 0.7 -8.5
"5" "4" 2003-11-06 23.61 "LAL" "@" "SAS" "W" 3 0 3.08333333333333 0 0 0 0 0 0 0 25.4 0 13.7 0 87 -0.4 -4.1
"6" "5" 2003-11-07 23.61 "LAL" "@" "NOH" "L" -19 0 13.55 0.615 0.5 0 0 0 12.2 7.7 0 17 19.7 109 116 4.9 2.7
"7" "6" 2003-11-10 23.62 "LAL" "@" "MEM" "L" -10 0 7.73333333333333 1.215 1.5 16.3 0 8.1 35.6 7 0 0 17.6 219 103 8 36.3
"8" "7" 2003-11-12 23.63 "LAL" "" "TOR" "W" 15 0 7.6 0 0 0 14.3 6.6 18.8 0 0 0 11.1 24 91 -0.8 -11.9
"9" "8" 2003-11-14 23.63 "LAL" "" "DET" "W" 5 0 0.333333333333333 0 0 0 0 0 0 0 0 0 22.7 0 110 -0.7 -120.8
"10" "9" 2003-11-16 23.64 "LAL" "" "MIA" "W" 22 0 14.85 0.338 0.25 0 12.8 6.8 0 0 0 31.1 17.4 47 83 -1.2 -11.8
"11" "" 2003-11-18 23.64 "LAL" "@" "DET" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "10" 2003-11-19 23.65 "LAL" "@" "NYK" "W" 21 0 4.18333333333333 0 0 0 0 0 30 0 0 0 8.8 45 96 0 -5.5
"13" "11" 2003-11-21 23.65 "LAL" "" "CHI" "W" 7 0 0.133333333333333 NA NA 0 0 0 0 0 0 NA 0 0 109 0 -8.4
"14" "12" 2003-11-23 23.66 "LAL" "" "MEM" "W" 32 0 12.45 0.717 0.75 0 10.3 5.7 32.7 3.8 0 0 17.6 154 90 8.4 14.3
"15" "13" 2003-11-26 23.67 "LAL" "" "WAS" "W" 21 0 13.2 1 1 0 16.8 10.9 37.6 0 0 0 3.5 211 105 4.7 7.2
"16" "14" 2003-11-28 23.67 "LAL" "" "SAS" "W" 16 0 7.88333333333333 0 0 15.4 0 6.7 0 0 0 0 11.9 42 105 -1.1 -16.6
"17" "15" 2003-11-30 23.68 "LAL" "" "IND" "W" 22 0 4.76666666666667 0 0 0 0 0 26.7 0 0 0 9.6 50 93 -0.4 -8.7
"18" "" 2003-12-03 23.68 "LAL" "@" "SAS" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "16" 2003-12-04 23.69 "LAL" "@" "DAL" "W" 11 0 3.63333333333333 0 0 0 0 0 31.6 0 0 0 10.2 53 109 0 -6.1
"20" "17" 2003-12-07 23.7 "LAL" "" "UTA" "W" 2 0 6.96666666666667 NA NA 0 0 0 0 0 0 100 7 0 112 -1 -16.7
"21" "" 2003-12-09 23.7 "LAL" "" "NYK" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2003-12-12 23.71 "LAL" "" "DAL" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2003-12-13 23.71 "LAL" "@" "POR" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
