"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1963-10-16 22.11 "STL" "" "CIN" "L" -19 NA 2 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1963-10-26 22.14 "STL" "" "DET" "W" 24 NA 6 0.532 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1963-10-27 22.14 "STL" "@" "BAL" "W" 11 NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1963-10-30 22.15 "STL" "" "NYK" "W" 17 NA 7 0.174 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1963-11-02 22.16 "STL" "" "PHI" "W" 29 NA 12 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1963-11-11 22.18 "STL" "@" "BOS" "L" -6 NA 10 0.644 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1963-11-19 22.2 "STL" "@" "SFW" "L" -33 NA 12 0.75 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1963-11-21 22.21 "STL" "@" "LAL" "L" -12 NA 7 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1963-11-23 22.21 "STL" "" "CIN" "W" 12 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1963-12-04 22.24 "STL" "" "SFW" "W" 22 NA 2 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1963-12-14 22.27 "STL" "" "DET" "W" 12 NA 3 0.266 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1963-12-22 22.29 "STL" "" "BAL" "W" 12 NA 2 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1963-12-31 22.32 "STL" "@" "LAL" "L" -13 NA 4 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1964-01-05 22.33 "STL" "" "DET" "W" 17 NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1964-01-07 22.34 "STL" "" "BAL" "W" 10 NA 4 0.615 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1964-02-01 22.41 "STL" "" "LAL" "W" 17 NA 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1964-02-04 22.41 "STL" "" "BOS" "L" -12 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1964-02-11 22.43 "STL" "" "NYK" "W" 22 NA 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1964-03-01 22.48 "STL" "@" "LAL" "L" -23 NA 4 0.174 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1964-03-08 22.5 "STL" "" "BAL" "W" 18 NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1964-03-10 22.51 "STL" "@" "NYK" "W" 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1964-03-15 22.52 "STL" "@" "CIN" "L" -23 NA 27 0.423 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1964-03-17 22.53 "STL" "" "DET" "W" 16 NA 12 0.233 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1964-03-18 22.53 "STL" "@" "DET" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"1" "1" 1964-11-07 23.17 "BOS" NA "DET" "W" 17 NA 18 0.125 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1964-11-11 23.18 "BOS" NA "SFW" "W" 26 NA 7 0.145 NA NA NA NA NA NA NA NA NA NA NA NA NA
