"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2005-11-02 23.32 "MEM" "" "MIA" "L" -19 0 1.61666666666667 0 0 0 0 0 0 0 0 0 26.6 0 111 -0.7 -24.7
"2" "2" 2005-11-04 23.33 "MEM" "@" "ORL" "W" 9 0 3.11666666666667 0.568 NA 0 0 0 0 0 0 53.2 31.3 54 109 -0.4 -19.2
"3" "3" 2005-11-05 23.33 "MEM" "" "CLE" "W" 7 0 6.43333333333333 0.568 NA 0 0 0 0 0 0 53.2 14.7 53 127 -1.2 -20.1
"4" "4" 2005-11-08 23.34 "MEM" "" "SEA" "W" 25 0 3.21666666666667 0.798 1 0 33.2 17 0 0 0 0 28.3 152 75 2.2 9.6
"5" "" 2005-11-09 23.34 "MEM" "@" "BOS" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "5" 2005-11-11 23.35 "MEM" "@" "CLE" "L" -19 0 17.5666666666667 0.451 0.5 12.1 0 7 0 3.2 0 7.6 35.5 83 107 5 -0.7
"7" "6" 2005-11-12 23.35 "MEM" "@" "ATL" "W" 1 0 6.85 0.568 NA 0 15.9 8.4 0 0 0 69.4 21.1 34 104 -1.9 -26.5
"8" "7" 2005-11-14 23.35 "MEM" "" "LAL" "W" 12 0 1.15 0 0 0 0 0 0 0 0 0 39 0 100 -0.7 -37.4
"9" "" 2005-11-16 23.36 "MEM" "@" "PHO" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2005-11-19 23.37 "MEM" "@" "UTA" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "8" 2005-11-20 23.37 "MEM" "@" "DEN" "L" -16 0 4.03333333333333 NA NA 0 71.4 36.4 0 0 0 100 11.5 0 87 -0.1 -13
"12" "9" 2005-11-22 23.38 "MEM" "" "POR" "L" -8 0 9.3 0 0 10.1 0 5.9 14.7 6 7.8 50 9.5 42 102 0.6 -5
"13" "" 2005-11-25 23.38 "MEM" "" "HOU" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "10" 2005-11-26 23.39 "MEM" "@" "DAL" "W" 20 0 12.1333333333333 0.87 1 24 8.8 15.2 0 4.5 0 32.2 35.8 101 101 7.2 2.2
"15" "11" 2005-11-30 23.4 "MEM" "@" "TOR" "W" 26 0 12.7333333333333 0.515 0.333 0 52.6 29.8 0 0 0 20.5 18.8 87 68 3.1 -1.3
