"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1992-11-06 22.16 "PHI" "" "NJN" "L" -3 1 32 0.489 0.538 0 20 10.8 0 2.8 3.3 5.4 24 89 101 10.5 -3
"2" "2" 1992-11-07 22.16 "PHI" "@" "NYK" "L" -4 1 33 0.289 0.25 6.1 9.7 7.8 6 3 0 14.8 27 57 90 0.4 -8.2
"3" "3" 1992-11-11 22.18 "PHI" "@" "IND" "L" -6 1 35 0.538 0.538 12 17.1 13.9 7.3 1.3 2 13.3 16.1 110 115 12.7 -0.8
"4" "4" 1992-11-13 22.18 "PHI" "@" "BOS" "W" 11 1 22 0.666 0.625 6.2 11.5 9 12.1 4.6 0 9.3 22.1 131 116 11.1 0.9
"5" "5" 1992-11-18 22.19 "PHI" "" "ORL" "L" -10 1 22 0.338 0.25 5 5.7 5.3 11.6 4.1 2.7 10.1 18.9 75 111 5.3 -4.4
"6" "6" 1992-11-20 22.2 "PHI" "" "MIA" "W" 1 1 23 0.604 0.556 5.1 9.8 7.5 7.2 0 2.8 21.8 24.5 100 109 6.8 -3.6
"7" "7" 1992-11-21 22.2 "PHI" "@" "NJN" "W" 9 1 35 0.415 0.375 12.7 7.5 10.1 13.4 0 1.6 5.6 20.6 105 103 10.2 -1.3
"8" "8" 1992-11-24 22.21 "PHI" "@" "CHH" "L" -8 1 11 0.355 0.375 9.1 10.6 9.8 24.3 0 5 10.6 33.8 79 116 2.1 -9.9
"9" "9" 1992-11-25 22.21 "PHI" "" "ATL" "L" -6 1 34 0.526 0.462 10.3 22.1 16.9 13 4.4 1.6 16.5 23.4 101 104 15.4 0.7
"10" "10" 1992-11-27 22.22 "PHI" "" "MIL" "L" -4 1 33 0.555 0.5 6.6 20.8 12.9 8.4 1.4 4.3 16.4 23 100 112 12.1 -3.5
"11" "11" 1992-11-28 22.22 "PHI" "" "BOS" "L" -8 1 29 0.709 0.667 4.6 20.2 12.9 9.4 5.1 0 27.9 16.7 107 111 10.4 1.4
"12" "12" 1992-12-02 22.23 "PHI" "" "SAS" "L" -16 1 33 0.3 0.214 6.2 39.7 22.4 15.2 0 0 5.7 23.2 71 93 6.3 -3.5
"13" "13" 1992-12-04 22.24 "PHI" "" "DET" "L" -2 1 31 0.492 0.4 7 13.8 10.8 15.6 0 1.8 7.6 18.2 112 107 10.1 1.1
"14" "14" 1992-12-05 22.24 "PHI" "@" "DET" "L" -24 1 27 0.379 0.364 7.1 14.2 10.7 0 1.7 0 20.2 22.5 66 110 2.3 -11.2
