"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1974-10-25 23.88 "HOU" "" "PHI" "W" 24 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1974-10-30 23.89 "HOU" "@" "NOJ" "W" 13 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1974-11-02 23.9 "HOU" "" "KCO" "W" 23 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1974-11-16 23.94 "HOU" "" "DET" "W" 20 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1974-11-19 23.95 "HOU" "" "CLE" "W" 9 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1974-11-26 23.96 "HOU" "@" "GSW" "L" -20 0 9 0.619 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1974-11-27 23.97 "HOU" "@" "POR" "L" -14 0 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1974-12-04 23.99 "HOU" "@" "DET" "L" -17 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1974-12-10 24 "HOU" "" "GSW" "W" 14 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1974-12-14 24.01 "HOU" "" "KCO" "W" 39 0 NA 0.75 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1974-12-17 24.02 "HOU" "" "NOJ" "W" 26 0 NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1974-12-20 24.03 "HOU" "" "WSB" "W" 25 0 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1975-01-17 24.11 "HOU" "" "POR" "L" -21 0 6 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1975-01-18 24.11 "HOU" "@" "BOS" "L" -22 0 9 0.434 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1975-01-26 24.13 "HOU" "@" "WSB" "L" -28 0 16 0.372 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1975-01-28 24.14 "HOU" "" "LAL" "W" 15 0 1 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1975-01-30 24.14 "HOU" "" "DET" "W" 15 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1975-02-05 24.16 "HOU" "@" "NOJ" "W" 27 0 NA 0.524 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1975-02-07 24.16 "HOU" "" "ATL" "W" 8 0 NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1975-02-09 24.17 "HOU" "@" "POR" "W" 10 0 29 0.2 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1975-02-11 24.18 "HOU" "@" "GSW" "W" 4 0 16 0.45 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1975-02-12 24.18 "HOU" "@" "SEA" "L" -1 0 11 0.205 NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1975-02-14 24.18 "HOU" "" "NOJ" "L" -12 0 NA 1.094 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1975-02-18 24.19 "HOU" "" "POR" "W" 24 0 4 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1975-02-21 24.2 "HOU" "" "PHI" "W" 18 0 5 0.667 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1975-02-25 24.21 "HOU" "" "CLE" "W" 27 0 17 0.375 NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1975-02-28 24.22 "HOU" "" "CHI" "W" 15 0 4 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1975-03-01 24.22 "HOU" "" "NOJ" "W" 12 0 NA 0.667 NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1975-03-07 24.24 "HOU" "" "CLE" "W" 7 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1975-03-12 24.25 "HOU" "@" "WSB" "L" -29 0 10 0.381 NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1975-03-21 24.28 "HOU" "@" "DET" "L" -11 0 NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1975-03-28 24.3 "HOU" "" "CLE" "W" 7 0 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1975-04-02 24.31 "HOU" "@" "WSB" "L" -27 0 3 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
