"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2018-10-17 22.7 "DEN" "@" "LAC" "W" 9 0 0 NA NA NA NA NA NA NA NA NA NA NA NA 0 -7.7
"2" "2" 2018-10-20 22.71 "DEN" "" "PHO" "W" 28 0 2.71666666666667 0 0 0 32.1 18.8 0 0 0 0 15.3 0 91 -0.4 -18.4
"3" "" 2018-10-21 22.71 "DEN" "" "GSW" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "3" 2018-10-23 22.72 "DEN" "" "SAC" "W" 14 0 3.95 NA NA 0 28.3 13.8 47.7 0 0 NA 0 222 113 1.3 10.2
"5" "" 2018-10-25 22.72 "DEN" "@" "LAL" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 2018-10-29 22.73 "DEN" "" "NOP" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 2018-10-31 22.74 "DEN" "@" "CHI" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2018-11-01 22.74 "DEN" "@" "CLE" "W" 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2018-11-03 22.75 "DEN" "" "UTA" "W" 15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2018-11-05 22.75 "DEN" "" "BOS" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "" 2018-11-07 22.76 "DEN" "@" "MEM" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2018-11-09 22.76 "DEN" "" "BRK" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2018-11-11 22.77 "DEN" "" "MIL" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2018-11-13 22.78 "DEN" "" "HOU" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2018-11-15 22.78 "DEN" "" "ATL" "W" 45 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 2018-11-17 22.79 "DEN" "@" "NOP" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2018-11-19 22.79 "DEN" "@" "MIL" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2018-11-21 22.8 "DEN" "@" "MIN" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "4" 2018-11-23 22.8 "DEN" "" "ORL" "W" 25 0 5.25 1.25 1.25 0 21.3 10.4 0 0 0 33.3 24.6 104 97 3.7 13.9
