"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2019-10-23 19.68 "CHI" "@" "CHO" "L" -1 0 27.15 0.559 0.5 0 14 5.9 32.2 0 0 6.2 23 132 131 13.9 0.7
"2" "2" 2019-10-25 19.69 "CHI" "@" "MEM" "W" 8 0 30.3166666666667 0.741 0.75 0 18.6 9.4 13.1 0 0 0 22.9 148 104 20.2 9.7
"3" "3" 2019-10-26 19.69 "CHI" "" "TOR" "L" -24 0 22.2 0.269 0.214 0 30.2 12.5 9.6 4.2 0 16.8 31.4 49 95 0.1 -8.9
"4" "4" 2019-10-28 19.7 "CHI" "@" "NYK" "L" -7 0 16.0666666666667 0.5 0.5 0 10.9 5.9 29.9 0 0 0 14.5 119 115 5 1.6
"5" "5" 2019-10-30 19.7 "CHI" "@" "CLE" "L" -6 0 20.5166666666667 0.333 0.333 5.1 0 3 7.3 4.9 0 0 26.5 78 119 3.4 -8.1
"6" "6" 2019-11-01 19.71 "CHI" "" "DET" "W" 6 0 19.45 0.375 0.375 5.1 0 2.8 0 0 0 20 31.9 61 112 -0.1 -17.5
"7" "7" 2019-11-03 19.71 "CHI" "@" "IND" "L" -13 0 23.5833333333333 0.073 0 0 17.7 8.9 11.3 0 0 22.5 16 25 109 -3 -16.2
"8" "8" 2019-11-05 19.72 "CHI" "" "LAL" "L" -6 0 23.5 0.551 0.5 0 21.7 11.2 28.5 2 0 10.9 33.7 108 114 13.2 1.6
"9" "9" 2019-11-06 19.72 "CHI" "@" "ATL" "W" 20 0 29.5333333333333 0.32 0.269 0 7.7 3.9 13.5 0 0 0 22.9 79 98 3.6 -10.8
"10" "10" 2019-11-09 19.73 "CHI" "" "HOU" "L" -23 0 27.1333333333333 0.289 0.25 0 12.1 5.3 5.9 1.7 0 10.4 28.3 56 114 -0.2 -14.2
"11" "11" 2019-11-12 19.74 "CHI" "" "NYK" "W" 18 0 27.1166666666667 0.857 0.821 0 10.6 6.3 6.6 1.7 0 6 26.1 160 101 21.2 15.1
"12" "12" 2019-11-14 19.74 "CHI" "@" "MIL" "L" -9 0 34.7 0.544 0.522 0 13.3 6.7 16.2 3.7 0 11.2 30 98 108 16.7 4
"13" "13" 2019-11-16 19.75 "CHI" "" "BRK" "L" -6 0 28.95 0.269 0.269 9.6 22.6 15.5 18.4 1.5 0 18.8 20.7 67 108 0.7 -10.5
"14" "14" 2019-11-18 19.75 "CHI" "" "MIL" "L" -14 0 24.6 0.433 0.433 0 13 6 20 1.9 0 0 25 99 113 7.7 1.2
"15" "15" 2019-11-20 19.76 "CHI" "" "DET" "W" 20 0 22.5166666666667 0.721 0.643 0 19.4 10.6 6.5 0 0 0 15.2 153 93 8.9 3.8
"16" "16" 2019-11-22 19.76 "CHI" "" "MIA" "L" -8 0 20.8166666666667 0.551 0.5 0 12.8 5.4 7.3 0 0 21.6 28.6 90 126 4.5 -8.3
"17" "17" 2019-11-23 19.77 "CHI" "@" "CHO" "W" 1 0 34.3 0.737 0.737 0 7.8 3.4 16 1.4 0 13.6 27.2 125 123 19.8 3.3
"18" "18" 2019-11-25 19.77 "CHI" "" "POR" "L" -23 0 28.2666666666667 0.288 0.269 0 12.1 5.5 11 3.4 0 0 21.1 66 114 3.6 -7.3
"19" "19" 2019-11-27 19.78 "CHI" "@" "GSW" "L" -14 0 26.0333333333333 0.127 0 0 4.5 1.9 0 3.8 0 27.6 17.6 21 109 -3.6 -18.6
"20" "20" 2019-11-29 19.78 "CHI" "@" "POR" "L" -4 0 20.5 0.484 0.462 0 21.3 9.8 9.6 0 0 0 27.1 100 110 7.8 0.4
"21" "21" 2019-12-02 19.79 "CHI" "@" "SAC" "W" 7 0 21.2333333333333 0.611 0.611 0 17.4 9.3 25.2 0 0 0 19.2 128 111 9.3 5.5
"22" "22" 2019-12-04 19.8 "CHI" "" "MEM" "W" 7 0 22.3 0.178 0.188 4.8 16.9 11.2 7 0 0 19.2 19.8 43 102 -3.2 -18
"23" "23" 2019-12-06 19.8 "CHI" "" "GSW" "L" -2 0 19.4666666666667 0.7 0.7 0 22.4 9.7 18.5 0 0 0 23.7 145 114 11.3 11.2
"24" "24" 2019-12-08 19.81 "CHI" "@" "MIA" "L" -5 0 31.8 0.557 0.5 4.3 11.6 8.1 44.4 0 0 23.3 20.3 111 116 9.3 3.1
"25" "25" 2019-12-09 19.81 "CHI" "" "TOR" "L" -1 0 29.7666666666667 0 0 0 25.8 13 23 0 0 30 14.8 28 94 -3.2 -14.6
"26" "26" 2019-12-11 19.82 "CHI" "" "ATL" "W" 34 0 25.3166666666667 0.607 0.538 0 8.4 4.6 14 1.8 4.2 6 27.3 123 101 15.7 0.4
"27" "27" 2019-12-13 19.82 "CHI" "" "CHO" "L" -10 0 20.3833333333333 0.188 0.188 3.9 10.5 6.7 28.7 5 0 20 21.8 46 85 0.8 -6.1
"28" "28" 2019-12-14 19.82 "CHI" "" "LAC" "W" 3 0 13.0166666666667 0.167 0.167 0 16 8.2 10.2 3.7 0 25 26.8 36 107 -1.9 -21.8
"29" "29" 2019-12-16 19.83 "CHI" "@" "OKC" "L" -3 0 19.6 0.167 0.167 0 14 6.7 30.2 5 7 0 13.9 74 106 4.2 -1.8
"30" "30" 2019-12-18 19.84 "CHI" "@" "WAS" "W" 1 0 17.9333333333333 0.25 0.25 0 15.8 8.2 0 0 0 0 14.5 54 108 0.1 -12.1
"31" "31" 2019-12-21 19.84 "CHI" "@" "DET" "W" 12 0 17.5 0.873 0.85 8.1 26.8 18.3 11.7 0 0 15.5 33.3 146 114 15 13.6
