"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1971-10-15 22.07 "POR" "" "SEA" "L" -31 1 27 0.226 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1971-10-17 22.08 "POR" "" "MIL" "L" -33 1 34 0.436 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1971-10-19 22.08 "POR" "" "DET" "L" -2 1 42 0.348 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1971-10-23 22.09 "POR" "" "CIN" "W" 4 1 43 0.502 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1971-10-26 22.1 "POR" "" "CHI" "L" -12 1 35 0.448 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1971-10-29 22.11 "POR" "" "BUF" "L" -1 1 41 0.515 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1971-11-04 22.13 "POR" "@" "HOU" "W" 2 1 39 0.448 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1971-11-06 22.13 "POR" "@" "BOS" "L" -15 1 39 0.471 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1971-11-07 22.13 "POR" "@" "CLE" "L" -21 1 7 0.581 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1971-11-09 22.14 "POR" "@" "BUF" "L" -9 1 41 0.582 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1971-11-10 22.14 "POR" "@" "DET" "L" -17 1 40 0.572 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1971-11-12 22.15 "POR" "" "CLE" "L" -2 1 33 0.28 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1971-11-13 22.15 "POR" "" "LAL" "L" -22 1 41 0.543 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1971-11-16 22.16 "POR" "" "MIL" "L" -20 1 36 0.353 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1971-11-18 22.16 "POR" "@" "GSW" "L" -10 1 38 0.475 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1971-11-19 22.17 "POR" "" "CLE" "W" 13 1 45 0.421 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1971-11-20 22.17 "POR" "" "SEA" "L" -4 1 42 0.545 NA NA NA NA NA NA NA NA NA NA NA NA NA
