"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1957-10-22 24.6 "STL" "" "BOS" "L" -25 NA 20 0.41 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1957-10-23 24.6 "STL" "" "NYK" "L" -17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1957-11-01 24.62 "STL" "@" "CIN" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1957-11-02 24.63 "STL" "" "CIN" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1957-11-05 24.64 "STL" "" "SYR" "W" 14 NA 8 0.518 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1957-11-09 24.65 "STL" "" "PHW" "W" 5 NA NA 0.615 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1957-11-11 24.65 "STL" "@" "BOS" "L" -4 NA 11 0.361 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1957-11-15 24.66 "STL" "@" "SYR" "L" -5 NA 18 0.338 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1957-11-16 24.67 "STL" "" "SYR" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1957-11-17 24.67 "STL" "@" "CIN" "W" 1 NA NA 0.633 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1957-11-19 24.67 "STL" "" "NYK" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1957-11-23 24.68 "STL" "" "DET" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1957-11-26 24.69 "STL" "@" "NYK" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1957-11-27 24.7 "STL" "@" "DET" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1957-11-28 24.7 "STL" "" "CIN" "W" 16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1957-11-30 24.7 "STL" "@" "MNL" "L" -5 NA NA 0.475 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1957-12-03 24.71 "STL" "" "MNL" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1957-12-05 24.72 "STL" "@" "PHW" "L" -15 NA NA 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1957-12-06 24.72 "STL" "@" "BOS" "L" -14 NA NA 0.563 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1957-12-08 24.73 "STL" "" "NYK" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1957-12-10 24.73 "STL" "" "CIN" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1957-12-11 24.73 "STL" "" "NYK" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1957-12-12 24.74 "STL" "" "BOS" "W" 3 NA NA 0.233 NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1957-12-14 24.74 "STL" "" "NYK" "W" 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1957-12-15 24.75 "STL" "@" "MNL" "W" 20 NA NA 0.435 NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1957-12-17 24.75 "STL" "" "DET" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1957-12-21 24.76 "STL" "" "SYR" "W" 10 NA NA 0.727 NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1957-12-22 24.76 "STL" "" "MNL" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1957-12-26 24.78 "STL" "" "DET" "L" -4 NA NA 0.341 NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1957-12-27 24.78 "STL" "@" "CIN" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1957-12-28 24.78 "STL" "" "BOS" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1957-12-30 24.79 "STL" "" "MNL" "W" 7 NA NA 0.556 NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1958-01-02 24.79 "STL" "@" "PHW" "L" -2 NA NA 0.304 NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1958-01-05 24.8 "STL" "" "DET" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1958-01-07 24.81 "STL" "@" "NYK" "W" 2 NA NA 0.513 NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1958-01-10 24.82 "STL" "@" "PHW" "L" -31 NA NA 0.621 NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1958-01-11 24.82 "STL" "" "BOS" "W" 4 NA NA 0.436 NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1958-01-12 24.82 "STL" "" "MNL" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1958-01-14 24.83 "STL" "" "PHW" "L" -1 NA NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1958-01-16 24.83 "STL" "@" "SYR" "L" -16 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"41" "41" 1958-01-17 24.84 "STL" "" "MNL" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "42" 1958-01-18 24.84 "STL" "" "DET" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"43" "43" 1958-01-19 24.84 "STL" "" "CIN" "W" 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"44" "44" 1958-01-25 24.86 "STL" "@" "DET" "L" -7 NA NA 0.359 NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "45" 1958-01-26 24.86 "STL" "" "PHW" "L" -13 NA NA 0.543 NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "46" 1958-01-28 24.87 "STL" "" "PHW" "W" 14 NA NA 0.322 NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "47" 1958-01-29 24.87 "STL" "@" "BOS" "L" -10 NA 37 0.418 NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "48" 1958-01-31 24.87 "STL" "@" "CIN" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"49" "49" 1958-02-01 24.88 "STL" "" "CIN" "W" 39 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" "50" 1958-02-02 24.88 "STL" "" "SYR" "L" -2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" "51" 1958-02-04 24.88 "STL" "@" "NYK" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" "52" 1958-02-07 24.89 "STL" "" "DET" "L" -18 NA NA 0.714 NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" "53" 1958-02-08 24.9 "STL" "@" "SYR" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" "54" 1958-02-09 24.9 "STL" "@" "PHW" "L" -7 NA NA 0.393 NA NA NA NA NA NA NA NA NA NA NA NA NA
