"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1976-12-16 22.96 "CLE" "" "IND" "W" 6 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1976-12-19 22.97 "CLE" "" "SAS" "W" 1 0 2 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1976-12-25 22.99 "CLE" "@" "WSB" "L" -18 0 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1976-12-30 23 "CLE" "" "SEA" "W" 5 0 2 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1977-01-01 23 "CLE" "@" "NYK" "L" -11 0 2 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1977-01-02 23.01 "CLE" "" "HOU" "W" 24 0 3 0.347 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1977-01-06 23.02 "CLE" "" "GSW" "W" 29 0 7 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1977-01-07 23.02 "CLE" "@" "PHI" "L" -20 0 7 0.6 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1977-01-08 23.02 "CLE" "" "WSB" "W" 7 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1977-01-14 23.04 "CLE" "@" "DEN" "L" -20 0 6 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1977-01-15 23.04 "CLE" "@" "PHO" "L" -15 0 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1977-01-22 23.06 "CLE" "" "MIL" "W" 14 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1977-01-26 23.07 "CLE" "@" "CHI" "L" -13 0 2 0.333 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1977-02-06 23.1 "CLE" "" "NYN" "L" -4 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1977-02-10 23.11 "CLE" "" "IND" "W" 15 0 3 0.258 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1977-02-15 23.13 "CLE" "" "POR" "W" 21 0 2 0.512 NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1977-03-02 23.17 "CLE" "@" "SEA" "W" 20 0 1 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1977-03-04 23.17 "CLE" "@" "POR" "W" 12 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1977-03-08 23.18 "CLE" "@" "GSW" "L" -10 0 1 1.136 NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1977-03-15 23.2 "CLE" "" "PHI" "L" -31 0 7 0.317 NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1977-03-22 23.22 "CLE" "" "SEA" "W" 4 0 4 0.174 NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1977-03-29 23.24 "CLE" "" "BOS" "W" 28 0 5 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
