"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1995-12-10 22.02 "SAC" "" "MIA" "W" 20 0 17 0.788 0.75 0 0 0 14.1 3 0 18.4 27.9 122 101 10.1 4.8
"2" "2" 1995-12-12 22.02 "SAC" "" "HOU" "L" -40 0 15 0.444 0.429 12.1 7 9.7 0 3.1 3.8 11.3 24.4 90 126 4.1 -3.6
"3" "3" 1995-12-15 22.03 "SAC" "@" "HOU" "W" 4 0 8 0.25 0.25 0 0 0 0 0 0 0 22.7 56 121 -0.4 -18.4
"4" "4" 1995-12-16 22.03 "SAC" "@" "SAS" "L" -16 0 3 0 0 0 0 0 0 0 0 0 41.3 0 141 -2.5 -52.9
"5" "5" 1995-12-18 22.04 "SAC" "" "VAN" "W" 7 0 5 NA NA 0 0 0 28.2 0 0 100 9.8 38 106 -1.1 -13.9
"6" "6" 1995-12-21 22.05 "SAC" "@" "LAC" "L" -7 0 5 0.615 0.5 21.8 0 12.6 0 0 17.5 0 40.9 140 99 4.6 14
"7" "7" 1995-12-22 22.05 "SAC" "@" "LAL" "L" -33 0 15 0.429 0.429 20 16.8 18.6 14.3 0 0 12.5 22.5 93 123 2.7 -8.9
"8" "8" 1995-12-29 22.07 "SAC" "" "PHI" "W" 20 0 10 0.347 0.5 0 0 0 0 0 0 63.5 36.1 22 111 -5.6 -38.6
"9" "9" 1996-01-04 22.08 "SAC" "" "DEN" "W" 30 0 18 0.75 0.75 24.2 18.6 21.1 0 0 0 20 24.6 122 107 8.2 -3.9
"10" "10" 1996-01-06 22.09 "SAC" "" "GSW" "W" 9 0 12 0 0 9.3 18.2 13.8 0 0 0 40 17.5 17 108 -3.6 -22.7
"11" "11" 1996-01-09 22.1 "SAC" "@" "ATL" "L" -16 0 14 0.75 0.75 0 8.4 4.1 0 3.4 0 0 12.3 149 104 4.9 4.8
"12" "12" 1996-01-10 22.1 "SAC" "@" "BOS" "L" -9 0 9 0.563 0.5 17.2 14.4 15.7 0 0 0 31.1 32.5 80 120 1.2 -17.6
"13" "13" 1996-01-12 22.11 "SAC" "@" "WSB" "L" -29 0 13 0.145 0.167 0 43.4 18.9 0 0 0 30.4 33.9 21 118 -6 -32.6
"14" "14" 1996-01-13 22.11 "SAC" "@" "NYK" "W" 8 0 6 1 1 0 0 0 0 0 0 0 7.5 200 134 1.7 0.4
"15" "15" 1996-01-15 22.12 "SAC" "@" "MIN" "L" -9 0 3 0 0 0 0 0 0 0 27.1 0 14.4 0 95 -0.4 -9.4
"16" "16" 1996-01-18 22.12 "SAC" "" "POR" "W" 5 0 5 0 0 67 0 33.5 0 0 0 0 27.7 70 133 0 -27.3
"17" "17" 1996-01-20 22.13 "SAC" "@" "DEN" "W" 5 0 4 0 0 40 0 16.9 0 0 0 0 35.4 35 124 -1.8 -42.6
"18" "18" 1996-01-21 22.13 "SAC" "@" "PHO" "L" -14 0 9 0.833 0.833 12.1 0 6.1 100 0 7.1 0 29.4 167 115 9.4 23.7
"19" "19" 1996-01-26 22.15 "SAC" "@" "GSW" "L" -6 0 11 0.362 0 11.2 9.7 10.4 0 4.5 0 26.6 15 74 122 0.3 -11.9
"20" "20" 1996-01-30 22.16 "SAC" "" "TOR" "W" 27 0 24 0.317 0.286 14.6 15.8 15.2 10.8 2.1 0 38.8 22.1 59 83 -1.1 -14.3
"21" "21" 1996-02-01 22.16 "SAC" "" "CHI" "L" -20 0 3 NA NA 0 0 0 48.5 0 0 NA 0 224 132 0.7 11.7
"22" "22" 1996-02-03 22.17 "SAC" "@" "DET" "W" 9 0 7 1 1 0 0 0 0 0 0 0 7.1 200 114 1.7 1.3
"23" "23" 1996-02-06 22.18 "SAC" "@" "ORL" "L" -10 0 5 0.727 0.667 20.9 0 12 0 0 0 0 27.6 161 121 4 9.5
"24" "24" 1996-02-08 22.18 "SAC" "@" "CHH" "L" -10 0 2 1 1 0 0 0 0 0 0 0 65.3 200 132 5.1 61
"25" "25" 1996-02-13 22.19 "SAC" "" "MIN" "L" -4 0 5 0.694 1 0 56.5 23.4 0 0 0 25.8 33 69 96 0.6 -14.3
"26" "26" 1996-02-16 22.2 "SAC" "" "BOS" "L" -28 0 12 0.652 0.625 8.3 20 13.6 23.5 0 0 19.2 34.5 102 124 6.6 0.1
"27" "27" 1996-02-21 22.22 "SAC" "@" "DAL" "L" -2 0 13 0.633 0.8 14.5 0 6.9 0 0 0 32.2 30.5 76 112 2.5 -8.3
"28" "28" 1996-02-23 22.22 "SAC" "" "SAS" "L" -7 0 15 0.833 0.833 0 27.2 14.4 0 0 0 25 23.5 110 116 6.6 0.1
"29" "29" 1996-02-24 22.22 "SAC" "@" "SEA" "L" -13 0 19 0.45 0.375 0 23 11.5 9.2 0 3.7 25.3 25.3 73 102 1.2 -9
"30" "30" 1996-02-26 22.23 "SAC" "" "DET" "L" -15 0 5 0 0 0 0 0 0 0 0 50 19.7 0 122 -1.7 -26
"31" "31" 1996-02-28 22.24 "SAC" "" "NYK" "W" 5 0 6 0.102 0 32.7 0 16 0 0 0 0 34.2 52 104 -0.8 -20.9
"32" "32" 1996-03-03 22.25 "SAC" "" "WSB" "L" -9 0 5 0 0 0 0 0 0 0 0 0 18.2 0 125 -1.8 -28.1
"33" "33" 1996-03-05 22.25 "SAC" "" "UTA" "L" -15 1 25 0.576 0.538 26.5 19.2 22.3 25.5 0 5.3 6.7 28.4 131 124 13.8 4
"34" "34" 1996-03-07 22.26 "SAC" "" "LAL" "L" -13 0 11 0.174 0 0 0 0 0 4.9 0 0 25.3 42 112 -1.4 -17.3
"35" "35" 1996-03-08 22.26 "SAC" "@" "POR" "L" -12 0 32 0.62 0.588 10.5 6.7 8.5 0 3.2 0 12.5 31.7 114 122 17 0.9
"36" "36" 1996-03-10 22.27 "SAC" "@" "GSW" "W" 1 0 29 0.517 0.5 6.8 9.2 7.8 0 0 0 10.8 28.3 93 106 7.4 -8
"37" "37" 1996-03-11 22.27 "SAC" "" "VAN" "W" 4 0 15 0.296 0.25 8.4 16.8 12.6 10.8 0 0 19.2 32.3 64 106 -1 -22.7
"38" "38" 1996-03-13 22.27 "SAC" "" "MIL" "W" 9 0 17 0.512 0.375 11.8 13.1 12.4 10.3 0 0 9.3 26.6 116 104 5.3 -4.6
"39" "39" 1996-03-15 22.28 "SAC" "@" "MIN" "L" -26 1 30 0.509 0.545 3.9 15 8.8 0 0 0 28.2 25.8 66 120 0.7 -15.9
"40" "40" 1996-03-17 22.28 "SAC" "@" "CLE" "L" -31 0 14 0.42 0.333 17.1 25.7 21.4 0 0 0 45.7 28.5 54 132 -1.8 -23.9
