"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2011-12-26 20.59 "MIN" "" "OKC" "L" -4 0 23.8 0.437 0.429 9.2 21.2 14.8 7.5 2.1 0 11.8 30.8 85 103 6.3 -3.3
"2" "2" 2011-12-27 20.59 "MIN" "@" "MIL" "L" -3 0 18.65 0.387 0.333 5.7 19.1 13 10.1 0 0 50.8 17.7 49 101 -1.3 -10.9
"3" "3" 2011-12-30 20.6 "MIN" "" "MIA" "L" -2 0 20.6 0.727 0.833 10.4 10.1 10.2 0 2.2 0 22.5 17.7 106 102 7.6 4.7
"4" "4" 2012-01-01 20.61 "MIN" "" "DAL" "W" 17 0 15.6666666666667 0.42 0.333 13.3 35.6 24.1 0 9.9 0 0 13.1 112 67 7 10.7
"5" "5" 2012-01-02 20.61 "MIN" "" "SAS" "W" 10 0 11.7333333333333 1.167 1.167 0 10.2 6 0 0 0 25 16.9 152 114 4.2 3.8
"6" "6" 2012-01-04 20.61 "MIN" "" "MEM" "L" -4 0 15.9666666666667 0.615 0.625 0 12.8 6.3 11.1 0 0 0 13.4 140 107 4.1 4.8
"7" "7" 2012-01-06 20.62 "MIN" "" "CLE" "L" -11 0 26.35 0.588 0.5 4 13 8.3 7.7 2 5.8 0 17.1 132 103 11.9 8.2
"8" "8" 2012-01-08 20.62 "MIN" "@" "WAS" "W" 21 0 30.45 0.583 0.583 8.1 15.8 12.4 0 0 0 7.7 20 112 85 8.7 1.6
"9" "9" 2012-01-09 20.63 "MIN" "@" "TOR" "L" -10 0 28.3666666666667 0.492 0.364 11.3 22.3 16.3 16.7 2 2.9 13.2 23.5 106 108 10.4 2.8
"10" "10" 2012-01-10 20.63 "MIN" "" "CHI" "L" -11 0 21.8333333333333 0.272 0.214 5 6.7 5.7 0 2.3 3.6 9.8 21.8 58 117 0.6 -10.3
"11" "11" 2012-01-13 20.64 "MIN" "@" "NOH" "W" 7 0 15.5166666666667 0.41 0.25 21.1 5.6 12.5 0 0 0 17 17.7 95 99 2.6 -4.4
"12" "12" 2012-01-14 20.64 "MIN" "@" "ATL" "L" -2 0 7.95 0.25 0.25 12.8 0 6.6 18.9 6.5 0 0 23.2 77 99 2 0.3
"13" "13" 2012-01-16 20.65 "MIN" "" "SAC" "W" 13 0 9.1 0.258 0 0 27.8 14.1 28.5 0 0 0 20.2 87 99 1.5 -6
