"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1981-10-30 23.7 "IND" "" "CHI" "W" 2 0 24 0.571 0.571 NA NA NA NA NA NA NA NA NA NA 9 NA
"2" "2" 1981-10-31 23.7 "IND" "@" "NYK" "W" 7 0 15 0.387 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1981-11-04 23.72 "IND" "@" "PHI" "L" -8 0 13 0.6 0.6 NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1981-11-06 23.72 "IND" "@" "BOS" "L" -17 0 17 0.68 0.6 NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1981-11-08 23.73 "IND" "@" "NJN" "L" -3 0 10 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1981-11-10 23.73 "IND" "" "CLE" "W" 7 1 21 0.781 0.75 NA NA NA NA NA NA NA NA NA NA 9.4 NA
"7" "7" 1981-11-12 23.74 "IND" "@" "PHO" "L" -2 1 23 0.615 0.5 NA NA NA NA NA NA NA NA NA NA 7 NA
"8" "8" 1981-11-14 23.74 "IND" "@" "SDC" "W" 9 1 11 0.8 0.8 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1981-11-15 23.75 "IND" "@" "LAL" "L" -1 1 44 0.504 0.538 NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1981-11-17 23.75 "IND" "" "HOU" "L" -20 1 25 0.3 0.3 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1981-11-19 23.76 "IND" "" "KCK" "W" 3 1 24 0.429 0.429 NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1981-11-21 23.76 "IND" "@" "ATL" "L" -7 1 6 0.25 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1981-11-24 23.77 "IND" "" "NYK" "W" 15 1 26 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1981-11-25 23.77 "IND" "@" "CLE" "W" 6 1 26 0.742 0.714 NA NA NA NA NA NA NA NA NA NA 11.8 NA
"15" "15" 1981-11-27 23.78 "IND" "" "PHI" "L" -12 1 21 0.338 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1981-11-28 23.78 "IND" "@" "WSB" "W" 2 1 30 0.603 0.583 NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1981-12-01 23.79 "IND" "" "BOS" "W" 3 1 31 0.338 0.313 NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1981-12-04 23.8 "IND" "" "DET" "W" 10 1 30 0.815 0.833 NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1981-12-08 23.81 "IND" "@" "CHI" "L" -2 1 34 0.255 0.2 NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1981-12-09 23.81 "IND" "" "UTA" "W" 36 1 22 0.557 0.556 NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1981-12-11 23.82 "IND" "@" "MIL" "L" -3 1 22 0.563 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1981-12-12 23.82 "IND" "" "NJN" "W" 13 1 31 0.649 0.636 NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1981-12-15 23.83 "IND" "" "MIL" "L" -8 1 22 0.318 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1981-12-17 23.83 "IND" "@" "DET" "W" 4 1 19 0.595 0.615 NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1981-12-18 23.84 "IND" "" "CLE" "W" 36 1 31 0.488 0.417 NA NA NA NA NA NA NA NA NA NA 14.3 NA
"26" "26" 1981-12-22 23.85 "IND" "" "ATL" "W" 4 1 33 0.697 0.625 NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1981-12-25 23.85 "IND" "@" "WSB" "L" -17 1 35 0.658 0.643 NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1981-12-26 23.86 "IND" "" "NYK" "L" -6 1 34 0.649 0.636 NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1981-12-28 23.86 "IND" "@" "NJN" "W" 8 1 43 0.414 0.4 NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1981-12-29 23.87 "IND" "" "MIL" "L" -11 1 34 0.357 0.357 NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1982-01-02 23.88 "IND" "" "WSB" "L" -4 1 25 0.355 0.375 NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1982-01-05 23.88 "IND" "" "PHO" "W" 5 1 26 0.167 0.167 NA NA NA NA NA NA NA NA NA NA 2.8 NA
"33" "33" 1982-01-08 23.89 "IND" "@" "UTA" "L" -6 1 34 0.515 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1982-01-09 23.9 "IND" "@" "GSW" "L" -9 1 28 0.44 0.385 NA NA NA NA NA NA NA NA NA NA 10.4 NA
"35" "35" 1982-01-12 23.9 "IND" "@" "POR" "L" -12 1 21 0.2 0.2 NA NA NA NA NA NA NA NA NA NA 1.9 NA
