"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1986-11-01 24.23 "CLE" "" "WSB" "W" 7 1 39 0.781 0.727 6.2 13.1 9.9 10.2 1.1 1.3 12.4 16.3 142 99 20.2 5.2
"2" "2" 1986-11-02 24.23 "CLE" "" "CHI" "L" -5 1 32 0.428 0.385 9.4 14.7 12.1 9.5 0 3.4 11.6 21.3 94 97 8.7 1.1
"3" "3" 1986-11-05 24.24 "CLE" "@" "UTA" "L" -16 1 29 0.502 0.375 10.8 3 6.5 0 4.5 4.8 20.1 19.3 91 97 9.3 0.6
"4" "4" 1986-11-07 24.25 "CLE" "@" "GSW" "W" 1 1 26 0.286 0.286 3.9 22 12.4 19.3 1.8 0 0 10.8 93 110 5.1 -1.9
"5" "5" 1986-11-08 24.25 "CLE" "@" "LAC" "W" 7 1 29 0.538 0.538 0 24.1 14.7 5 0 0 7.1 21.4 101 91 7.8 -3.4
"6" "6" 1986-11-11 24.26 "CLE" "@" "SAC" "L" -5 1 39 0.513 0.4 3.2 11 7.8 3.9 0 5.9 17.8 23.5 92 115 11.7 -5
"7" "7" 1986-11-13 24.26 "CLE" "@" "SAS" "L" -13 1 36 0.615 0.583 6.5 15.4 11.5 4.8 0 2.9 12 18.6 114 109 14.1 3.1
"8" "8" 1986-11-15 24.27 "CLE" "@" "DAL" "L" -15 1 23 0.286 0.286 10.2 10.6 10.4 11.7 0 0 12.5 13.3 75 106 1.8 -7.1
"9" "9" 1986-11-16 24.27 "CLE" "@" "HOU" "L" -28 1 27 0.713 0.667 4 14.8 9.7 6 0 0 13.1 20.8 124 120 13.6 1.4
"10" "10" 1986-11-19 24.28 "CLE" "" "GSW" "L" -8 1 42 0.51 0.438 19 8.6 14.6 3.4 1.1 3.5 13.9 18.6 112 112 18.2 1.8
"11" "11" 1986-11-20 24.28 "CLE" "@" "ATL" "L" -19 1 40 0.409 0.4 13.6 11.5 12.6 15.1 2.4 1.3 11.2 18.1 95 104 12.5 2.7
"12" "12" 1986-11-22 24.29 "CLE" "@" "DET" "L" -9 1 41 0.477 0.467 9.3 18.2 13 11.4 1.2 5.7 5.6 18 108 96 17.2 5.8
"13" "13" 1986-11-26 24.3 "CLE" "" "POR" "W" 4 1 38 0.601 0.571 3.1 28.4 15.6 9.7 0 3.2 15.3 20.8 109 110 15.7 -0.1
"14" "14" 1986-11-29 24.31 "CLE" "@" "NYK" "W" 2 1 42 0.617 0.611 14.8 24.3 19.2 10.2 1.2 5.9 8.7 23.2 124 90 25.7 9.1
"15" "15" 1986-12-02 24.32 "CLE" "" "SAS" "W" 10 1 37 0.477 0.4 3.2 7.6 5.7 17.4 0 4.3 15.2 20.1 104 105 12.1 -1
"16" "16" 1986-12-04 24.32 "CLE" "" "DET" "W" 8 1 43 0.474 0.429 15.9 25.6 20.7 10.5 0 5.4 14.7 23.7 101 96 18.8 2.7
"17" "17" 1986-12-06 24.33 "CLE" "" "BOS" "W" 2 1 41 0.666 0.625 5 17.8 11.3 8 2.6 4.6 9.3 22.5 131 88 24.2 12.6
"18" "18" 1986-12-09 24.33 "CLE" "" "ATL" "L" -24 1 22 0.37 0.2 0 16.8 7.4 7.4 2.1 2.6 6.9 27.3 77 113 4.9 -6
"19" "19" 1986-12-13 24.35 "CLE" "" "PHI" "W" 3 1 40 0.494 0.429 9.2 16 12.9 5.6 1.1 8 5.8 16.5 110 104 17.3 0.8
"20" "20" 1986-12-16 24.35 "CLE" "" "LAL" "L" -5 1 42 0.733 0.733 5.2 13.9 9.4 6.6 3.4 1.3 11.8 17 131 116 21.9 5.7
"21" "21" 1986-12-17 24.36 "CLE" "@" "PHI" "W" 3 1 37 0.605 0.571 2.9 8.6 5.8 11.2 0 3.1 16.8 18.8 109 106 12.7 0.6
"22" "22" 1986-12-19 24.36 "CLE" "" "UTA" "L" -6 1 52 0.436 0.368 13 18.6 15.7 13.2 0 3.2 8 18.3 109 108 17.9 0.5
"23" "23" 1986-12-21 24.37 "CLE" "" "IND" "W" 10 1 27 0.2 0.2 3.6 6.6 5.1 4.9 0 8.6 0 14.1 72 98 1.8 -3.9
"24" "24" 1986-12-23 24.37 "CLE" "@" "CHI" "L" -16 1 39 0.629 0.5 10 21 15.8 4.1 2.7 1.4 12.9 17.4 130 113 16.8 3.2
"25" "25" 1986-12-26 24.38 "CLE" "" "NJN" "W" 9 1 26 0.558 0.444 12 22.2 17.3 9.8 0 4 0 17.1 144 104 13 2.4
"26" "26" 1986-12-27 24.38 "CLE" "@" "NJN" "L" -9 1 42 0.578 0.5 4.8 13 8.7 6.9 3.1 2.6 5.2 17.6 124 107 19.9 4.7
