"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2019-10-23 25.1 "UTA" "" "OKC" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "1" 2019-10-25 25.11 "UTA" "@" "LAL" "L" -9 0 0.466666666666667 NA NA 0 0 0 0 0 0 NA 0 0 108 0 -3.7
"3" "2" 2019-10-26 25.11 "UTA" "" "SAC" "W" 32 0 4.7 0 0 0 0 0 23.2 0 0 0 9.8 65 89 -0.4 -10.2
"4" "" 2019-10-28 25.12 "UTA" "@" "PHO" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "3" 2019-10-30 25.12 "UTA" "" "LAC" "W" 14 0 1.36666666666667 NA NA 0 0 0 0 0 0 100 34.8 0 108 -1 -40.5
"6" "" 2019-11-01 25.13 "UTA" "@" "SAC" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 2019-11-03 25.13 "UTA" "@" "LAC" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2019-11-06 25.14 "UTA" "" "PHI" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2019-11-08 25.15 "UTA" "" "MIL" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "4" 2019-11-11 25.15 "UTA" "@" "GSW" "W" 14 0 1.85 0 0 0 0 0 0 0 0 0 24.2 0 113 -0.7 -31.4
"11" "" 2019-11-12 25.16 "UTA" "" "BRK" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2019-11-15 25.16 "UTA" "@" "MEM" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2019-11-18 25.17 "UTA" "" "MIN" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2019-11-20 25.18 "UTA" "@" "MIN" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2019-11-22 25.18 "UTA" "" "GSW" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
