"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2018-10-16 21 "BOS" "" "PHI" "W" 18 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2018-10-19 21.01 "BOS" "@" "TOR" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2018-10-20 21.01 "BOS" "@" "NYK" "W" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "1" 2018-10-22 21.01 "BOS" "" "ORL" "L" -3 0 3.5 NA NA 0 0 0 0 0 0 NA 0 0 105 0 -7
"5" "" 2018-10-25 21.02 "BOS" "@" "OKC" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "2" 2018-10-27 21.03 "BOS" "@" "DET" "W" 20 0 7.98333333333333 1 1 24.5 0 11.9 18.2 0 34.7 0 5.5 218 68 5.5 20
"7" "3" 2018-10-30 21.04 "BOS" "" "DET" "W" 3 0 0.983333333333333 NA NA 0 0 0 0 0 0 NA 0 0 111 0 -6.1
"8" "4" 2018-11-01 21.04 "BOS" "" "MIL" "W" 4 0 0.0333333333333333 NA NA 0 0 0 0 0 0 NA 0 0 120 0 -7.5
"9" "" 2018-11-03 21.05 "BOS" "@" "IND" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "5" 2018-11-05 21.05 "BOS" "@" "DEN" "L" -8 0 2.35 0.798 1 52.4 42.6 47 0 0 0 0 36.8 169 108 2.1 -3.7
"11" "" 2018-11-08 21.06 "BOS" "@" "PHO" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "" 2018-11-09 21.06 "BOS" "@" "UTA" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2018-11-11 21.07 "BOS" "@" "POR" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2018-11-14 21.08 "BOS" "" "CHI" "W" 29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2018-11-16 21.08 "BOS" "" "TOR" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 2018-11-17 21.08 "BOS" "" "UTA" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2018-11-19 21.09 "BOS" "@" "CHO" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2018-11-21 21.1 "BOS" "" "NYK" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "6" 2018-11-23 21.1 "BOS" "@" "ATL" "W" 18 0 8.61666666666667 1 1 0 40.8 20.1 0 0 12.1 0 9.6 200 86 4.6 7.2
"20" "" 2018-11-24 21.1 "BOS" "@" "DAL" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "7" 2018-11-26 21.11 "BOS" "@" "NOP" "W" 17 0 1.71666666666667 1 1 0 100 68.2 0 0 0 0 24.4 200 82 2.3 26.2
"22" "8" 2018-11-30 21.12 "BOS" "" "CLE" "W" 33 0 7.83333333333333 0.333 0.333 15.7 13.9 14.8 0 0 22.3 0 16.9 98 89 1.9 -6.6
"23" "9" 2018-12-01 21.12 "BOS" "@" "MIN" "W" 9 0 0 NA NA NA NA NA NA NA NA NA NA NA NA 0 -5.5
"24" "" 2018-12-06 21.14 "BOS" "" "NYK" "W" 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2018-12-08 21.14 "BOS" "@" "CHI" "W" 56 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "10" 2018-12-10 21.15 "BOS" "" "NOP" "W" 13 0 25.5 0.595 0.6 16 30.6 23 0 1.9 9.3 0 9.9 146 92 11.9 5
"27" "11" 2018-12-12 21.15 "BOS" "@" "WAS" "W" 5 0 14.1166666666667 0.6 0.6 24 25.6 24.8 0 0 12.9 0 14.7 146 106 7.3 3.7
"28" "12" 2018-12-14 21.16 "BOS" "" "ATL" "W" 21 0 16.4 1 1 7.1 23.4 16.1 0 0 30.5 66.7 7 66 93 4.7 0.8
"29" "13" 2018-12-15 21.16 "BOS" "@" "DET" "L" -9 0 10.0166666666667 1 1 0 11.4 5.2 0 0 9.6 0 4.1 200 112 2.7 1.1
"30" "14" 2018-12-19 21.17 "BOS" "" "PHO" "L" -8 0 24.0666666666667 0.82 1 22.7 12.2 17.2 6.6 2.1 14.5 17 10.9 149 112 13.8 5.3
"31" "15" 2018-12-21 21.18 "BOS" "" "MIL" "L" -13 0 8.05 1.064 1 0 0 0 0 0 29.8 34.7 15.4 130 117 3.7 3.2
"32" "16" 2018-12-23 21.18 "BOS" "" "CHO" "W" 16 0 11 0.773 0.667 0 19.4 10.4 0 4.5 7.8 43.6 27 78 95 3.6 -4.2
"33" "" 2018-12-25 21.19 "BOS" "" "PHI" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"34" "" 2018-12-27 21.19 "BOS" "@" "HOU" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"35" "" 2018-12-29 21.2 "BOS" "@" "MEM" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "" 2018-12-31 21.21 "BOS" "@" "SAS" "L" -9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "" 2019-01-02 21.21 "BOS" "" "MIN" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"38" "" 2019-01-04 21.22 "BOS" "" "DAL" "W" 21 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "17" 2019-01-07 21.22 "BOS" "" "BRK" "W" 21 0 4.43333333333333 1 1 0 23.5 12 0 10.6 0 0 9.7 200 72 3 14.5
"40" "18" 2019-01-09 21.23 "BOS" "" "IND" "W" 27 0 12 1 1 11.1 15.7 13.8 10.5 0 12.7 25 14.3 149 101 6.3 6.8
"41" "19" 2019-01-10 21.23 "BOS" "@" "MIA" "L" -16 0 14.3166666666667 1 1 0 35.3 15.2 10.3 3.6 5.9 0 3.1 208 109 4.9 4.9
"42" "20" 2019-01-12 21.24 "BOS" "@" "ORL" "L" -2 0 2.25 NA NA 0 47.4 22.2 0 0 0 NA 0 0 102 -0.5 -18.7
"43" "21" 2019-01-14 21.24 "BOS" "@" "BRK" "L" -7 0 9.83333333333333 0 0 9.4 11.1 10.2 0 5 10.2 0 8.8 36 102 0.5 -10.2
"44" "" 2019-01-16 21.25 "BOS" "" "TOR" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"45" "" 2019-01-18 21.25 "BOS" "" "MEM" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"46" "" 2019-01-19 21.26 "BOS" "@" "ATL" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"47" "" 2019-01-21 21.26 "BOS" "" "MIA" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"48" "22" 2019-01-23 21.27 "BOS" "" "CLE" "W" 20 0 13.4833333333333 1 1 0 0 0 9.4 0 18.7 0 6.5 205 105 4.6 3.9
"49" "" 2019-01-26 21.28 "BOS" "" "GSW" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
