"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1975-10-23 18.43 "ATL" "" "NOJ" "W" 18 0 4 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1975-10-25 18.43 "ATL" "" "DET" "L" -6 0 9 0.255 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1975-11-02 18.45 "ATL" "@" "LAL" "L" -3 0 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1975-11-08 18.47 "ATL" "" "SEA" "W" 13 0 4 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1975-11-15 18.49 "ATL" "@" "NYK" "L" -6 0 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1975-11-22 18.51 "ATL" "" "NOJ" "L" -4 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1975-11-23 18.51 "ATL" "" "PHI" "W" 4 0 2 1 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1975-12-10 18.56 "ATL" "@" "KCK" "L" -6 0 NA 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1975-12-11 18.56 "ATL" "" "BUF" "W" 23 0 7 0.615 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1975-12-18 18.58 "ATL" "" "LAL" "W" 16 1 24 0.732 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1975-12-19 18.58 "ATL" "@" "HOU" "L" -6 1 21 0.4 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1975-12-20 18.59 "ATL" "" "HOU" "W" 15 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1975-12-21 18.59 "ATL" "" "CHI" "L" -7 1 16 0.63 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1975-12-25 18.6 "ATL" "@" "WSB" "L" -5 0 18 0.666 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1975-12-26 18.6 "ATL" "@" "CLE" "W" 1 0 12 1.064 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1975-12-27 18.61 "ATL" "" "MIL" "W" 5 0 3 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
