"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1987-11-06 23.7 "POR" "" "PHO" "W" 14 0 1 1.136 NA 0 0 0 100 0 0 0 36.9 237 104 2.7 73.7
"2" "2" 1987-11-07 23.7 "POR" "@" "LAC" "W" 25 0 8 0.521 0.5 0 30.5 18.4 0 0 0 25.8 18.9 77 89 1.1 -8.8
"3" "3" 1987-11-12 23.71 "POR" "@" "DEN" "L" -13 0 3 1 1 0 38.1 17.2 0 0 0 0 12.1 200 115 2 12.2
"4" "4" 1987-11-14 23.72 "POR" "@" "DAL" "L" -11 0 2 0 0 54.5 0 24.7 51.1 0 0 0 38.6 60 133 0 -14.3
"5" "5" 1987-11-17 23.73 "POR" "@" "LAL" "L" -27 0 5 0.258 0 0 0 0 0 0 0 34 42.2 41 134 -2.9 -41.8
"6" "6" 1987-11-18 23.73 "POR" "@" "SEA" "L" -6 0 4 NA NA 0 27.3 13.2 28.6 0 0 NA 0 205 114 1 7.4
"7" "7" 1987-11-20 23.73 "POR" "" "WSB" "W" 19 0 3 0 0 0 0 0 0 0 0 0 12.3 0 105 -0.7 -15.2
"8" "8" 1987-11-22 23.74 "POR" "" "IND" "W" 10 0 3 NA NA 0 0 0 0 0 0 NA 0 0 123 -0.8 -16.5
"9" "9" 1987-11-27 23.75 "POR" "" "LAC" "W" 10 0 3 1 1 0 0 0 0 0 0 0 13.5 200 101 1.7 11.6
"10" "10" 1987-11-29 23.76 "POR" "" "NJN" "W" 21 0 9 0.25 0.25 13 16.2 14.4 0 0 0 20 21.5 57 103 -0.8 -19
"11" "11" 1987-12-01 23.76 "POR" "" "PHO" "W" 2 0 2 0 0 0 61.5 30.4 0 0 0 0 21.6 0 97 -0.8 -33.8
"12" "12" 1987-12-05 23.78 "POR" "@" "PHO" "W" 18 0 1 NA NA 0 100 71.6 0 0 0 NA 0 0 96 0.3 4
"13" "13" 1987-12-06 23.78 "POR" "" "NYK" "W" 18 0 3 0.333 0.333 0 0 0 0 0 0 25 51.9 54 104 -0.7 -34.2
"14" "14" 1987-12-11 23.79 "POR" "@" "MIL" "L" -13 0 5 0.25 0.25 0 0 0 0 0 0 0 29.8 66 126 -0.4 -17
"15" "15" 1987-12-15 23.8 "POR" "" "SEA" "W" 19 0 2 1 1 0 45.3 27.6 0 0 0 0 20.5 200 91 2 19
