"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 2002-10-30 21.7 "POR" "" "LAL" "W" 12 0 5.06666666666667 0.667 0.667 0 22.9 11 0 0 0 0 25.7 138 102 3 6
"2" "2" 2002-10-31 21.7 "POR" "@" "SAC" "L" -28 0 7.25 0.521 0.5 0 0 0 0 0 0 0 18.5 108 117 1.6 -0.4
"3" "3" 2002-11-02 21.71 "POR" "" "DEN" "L" -17 0 4.15 NA NA 0 0 0 0 0 0 NA 0 0 122 0 -8.5
"4" "" 2002-11-03 21.71 "POR" "@" "LAL" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2002-11-06 21.72 "POR" "" "MEM" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "4" 2002-11-08 21.73 "POR" "@" "PHO" "L" -11 0 1.95 NA NA 0 0 0 0 0 0 NA 0 0 114 0 -7.7
"7" "5" 2002-11-09 21.73 "POR" "@" "SAS" "W" 19 0 1.55 1 1 0 100 64.9 0 0 0 0 49.4 200 59 2 31.9
"8" "6" 2002-11-11 21.73 "POR" "@" "DAL" "L" -9 0 13.2833333333333 0.42 0.333 6.5 0 3.7 0 0 0 29.6 23.4 65 106 0.2 -9.2
"9" "" 2002-11-12 21.74 "POR" "@" "HOU" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "7" 2002-11-15 21.75 "POR" "" "LAC" "W" 24 0 12 0.75 0.75 0 9.3 5.3 13.3 0 0 20 17.8 124 101 3.6 0
"11" "8" 2002-11-20 21.76 "POR" "" "ORL" "W" 14 0 1.73333333333333 0 0 0 51.1 28.9 0 0 0 0 46.7 0 86 -1.1 -49.9
"12" "" 2002-11-21 21.76 "POR" "@" "SEA" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2002-11-23 21.77 "POR" "" "SAC" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "9" 2002-11-26 21.78 "POR" "" "HOU" "W" 6 0 5.91666666666667 0 0 0 18.6 9.4 0 0 0 0 8.4 0 88 -0.4 -11.8
"15" "" 2002-11-30 21.79 "POR" "" "NJN" "L" -7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "10" 2002-12-04 21.8 "POR" "" "DAL" "L" -15 0 2.96666666666667 0 0 29.6 0 16.5 44.4 0 0 0 14 79 125 0.3 -4.5
"17" "11" 2002-12-06 21.8 "POR" "" "MIA" "W" 19 0 7.1 0 0 0 50.2 23.4 0 0 0 33.3 19.3 0 75 -1.9 -23.7
