"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1992-11-10 22.13 "LAC" "@" "SAC" "L" -2 0 6 0 0 19 0 8.9 21.1 0 0 0 6.9 85 116 0.7 -5.3
"2" "2" 1992-11-11 22.13 "LAC" "" "SAC" "W" 8 0 2 NA NA 0 0 0 0 0 0 100 19.6 0 104 -1 -30.3
"3" "3" 1992-11-13 22.14 "LAC" "@" "LAL" "W" 26 0 3 1 1 0 30.8 17.6 0 0 19.3 0 13.9 200 85 2.7 27.7
"4" "4" 1992-11-14 22.14 "LAC" "@" "UTA" "L" -20 0 2 0 0 0 0 0 0 23.9 0 50 40.6 0 81 -0.7 -16.3
"5" "5" 1992-11-25 22.17 "LAC" "@" "DAL" "W" 18 0 4 0.515 0.333 26.1 0 12.6 57.1 0 0 20.5 46.5 113 113 3 -1.5
"6" "6" 1992-12-03 22.19 "LAC" "" "ORL" "W" 18 0 6 0 0 0 0 0 14.3 0 0 0 26.8 22 108 -2.5 -32.9
"7" "7" 1992-12-05 22.2 "LAC" "" "CHH" "W" 10 0 1 0 0 0 0 0 0 0 0 0 37 0 116 -0.7 -41.7
"8" "8" 1992-12-11 22.22 "LAC" "@" "PHI" "W" 15 1 8 0.347 0 0 0 0 33.3 11.7 0 0 13.9 127 93 3.9 7.3
"9" "9" 1992-12-13 22.22 "LAC" "" "IND" "W" 11 0 2 0 0 0 0 0 0 0 0 0 37.3 0 106 -1.4 -40.2
"10" "10" 1992-12-15 22.23 "LAC" "@" "GSW" "L" -19 0 3 1.042 1.25 0 0 0 100 0 0 0 40.3 204 117 5.3 57.7
"11" "11" 1992-12-18 22.24 "LAC" "" "MIN" "W" 8 0 1 NA NA 0 0 0 100 0 0 100 42.9 39 115 -0.3 -30.3
"12" "12" 1992-12-19 22.24 "LAC" "@" "SEA" "L" -20 0 9 0.2 0.2 0 0 0 14.5 5.1 0 0 21.7 59 114 0.6 -6.5
"13" "13" 1992-12-22 22.25 "LAC" "" "DAL" "W" 14 0 2 NA NA 0 41.4 24.2 57.1 0 0 100 20.8 38 82 -0.4 -25.4
"14" "14" 1992-12-30 22.27 "LAC" "" "BOS" "W" 6 0 1 1 1 0 0 0 0 0 0 0 41.6 200 117 1.7 41.8
"15" "15" 1993-01-06 22.29 "LAC" "@" "DET" "L" -7 0 1 NA NA 0 0 0 0 0 0 NA 0 0 130 0 -12.9
"16" "16" 1993-01-08 22.29 "LAC" "@" "CHH" "L" -14 0 2 NA NA 0 0 0 0 0 0 100 19.4 0 117 -1 -32.1
"17" "17" 1993-01-12 22.3 "LAC" "" "HOU" "L" -10 0 2 0.5 0.5 0 0 0 0 24.7 0 0 44.7 94 69 2 29.7
"18" "18" 1993-01-15 22.31 "LAC" "@" "SEA" "L" -19 0 5 1.064 1 0 0 0 0 0 0 21 39 164 136 6 19
"19" "19" 1993-01-24 22.34 "LAC" "" "SEA" "W" 21 0 3 1.5 1.5 57.1 0 19 100 0 0 50 29.5 163 106 3.8 36.3
"20" "20" 1993-01-29 22.35 "LAC" "@" "GSW" "W" 1 0 4 0 0 0 0 0 26.1 0 0 0 10.3 58 118 0 -11.1
"21" "21" 1993-01-30 22.35 "LAC" "@" "UTA" "L" -8 0 3 1 1 0 40 18.2 0 16.2 0 50 26.5 66 76 2 16.8
"22" "22" 1993-02-02 22.36 "LAC" "" "PHO" "W" 4 0 5 0 0 0 0 0 60 9.7 0 0 16.2 71 98 1.7 7.2
"23" "23" 1993-02-04 22.37 "LAC" "" "CHI" "L" -2 0 3 NA NA 0 0 0 42.1 0 0 NA 0 207 126 0.3 -2.5
"24" "24" 1993-02-06 22.37 "LAC" "" "SAC" "W" 9 0 13 0.694 0.625 0 7.9 4.6 32 7.5 0 14.8 21.9 139 104 8.6 10.7
"25" "25" 1993-02-09 22.38 "LAC" "@" "SAS" "L" -15 0 3 0.362 0 0 0 0 42.1 0 0 0 41.1 89 122 1.2 -1.2
"26" "26" 1993-02-10 22.38 "LAC" "@" "PHO" "L" -22 0 8 0.667 0.667 0 0 0 26.1 5.8 0 14.3 34.6 110 115 5.7 11.5
"27" "27" 1993-02-14 22.39 "LAC" "@" "POR" "W" 10 0 1 NA NA 0 0 0 0 0 0 NA 0 0 105 0 -4.4
"28" "28" 1993-02-18 22.41 "LAC" "" "WSB" "W" 13 0 12 0.25 0.25 9.5 8 8.7 38.1 0 0 0 13.4 114 103 3.4 -2.8
"29" "29" 1993-03-02 22.44 "LAC" "" "HOU" "L" -16 0 2 0 0 0 0 0 0 0 0 50 43.6 0 116 -2.5 -70
"30" "30" 1993-03-04 22.44 "LAC" "@" "WSB" "W" 19 0 7 0.266 0 15.6 0 7.4 14 0 0 0 11 106 110 0.5 -11.6
"31" "31" 1993-03-07 22.45 "LAC" "@" "ORL" "L" -17 0 2 0 0 0 0 0 0 0 0 0 21.4 0 125 -1.1 -36
"32" "32" 1993-03-12 22.47 "LAC" "" "MIN" "W" 24 0 9 0.798 1 0 0 0 35.8 5.2 0 0 8.9 174 92 4.6 8.4
"33" "33" 1993-03-14 22.47 "LAC" "@" "MIN" "W" 17 0 3 1 1 0 0 0 0 0 0 50 26.6 64 117 -0.1 -23.4
"34" "34" 1993-03-18 22.48 "LAC" "" "MIA" "L" -16 0 2 0 0 0 0 0 98 23.7 0 0 59.4 38 87 0.3 -3.7
"35" "35" 1993-03-26 22.5 "LAC" "@" "POR" "L" -12 0 2 0.5 0.5 0 0 0 0 0 0 0 42.2 96 130 0.6 -12.3
"36" "36" 1993-03-27 22.51 "LAC" "@" "SEA" "L" -4 0 6 NA NA 0 0 0 20.5 8.2 0 NA 0 205 108 0.9 3.3
"37" "37" 1993-04-02 22.52 "LAC" "" "ATL" "W" 12 0 1 1.136 NA 0 0 0 100 0 0 69.4 100 81 119 0.7 -27.6
"38" "38" 1993-04-06 22.53 "LAC" "@" "HOU" "L" -13 0 2 NA NA 0 0 0 0 0 0 NA 0 0 125 0 -9.4
"39" "39" 1993-04-10 22.55 "LAC" "" "DEN" "W" 17 0 3 0.333 0.333 0 29.6 17.6 50 0 0 0 41.5 88 96 1.3 -10.6
"40" "40" 1993-04-20 22.57 "LAC" "@" "DAL" "W" 9 0 1 0.568 NA 0 0 0 0 0 0 0 35 122 110 0.6 2.1
"41" "41" 1993-04-25 22.59 "LAC" "" "POR" "W" 11 0 19 0.167 0.167 5 14 8.7 21.7 2.3 0 14.3 13.8 66 105 0.7 -11.8
"1" "1" 1993-11-09 23.13 "LAC" "" "PHO" "L" -15 0 1 0 NA 0 100 100 0 0 0 0 36.9 0 56 -0.6 -44.3
"2" "2" 1993-11-11 23.13 "LAC" "" "DET" "W" 12 0 3 0 0 0 0 0 0 0 0 0 28 0 109 -1.4 -34.4
"3" "3" 1993-11-20 23.16 "LAC" "@" "HOU" "L" -22 0 3 0.532 0 0 0 0 43.2 16.6 0 0 27 136 85 3 31.6
"4" "4" 1993-12-17 23.23 "LAC" "" "MIN" "L" -15 0 10 0 0 0 0 0 13.3 9.8 0 66.7 12.3 15 96 0 -6.5
"5" "5" 1993-12-18 23.24 "LAC" "@" "PHO" "L" -7 0 14 1.042 1.25 0 9.5 4.8 18.5 7 0 51 17.6 95 109 4.5 4.5
"6" "6" 1993-12-20 23.24 "LAC" "" "MIL" "L" -13 0 17 0.615 0.667 0 12 6 20.4 5.8 0 12 21 106 102 7.4 2
"7" "7" 1993-12-22 23.25 "LAC" "" "WSB" "W" 17 0 1 NA NA 0 0 0 0 0 0 NA 0 0 106 0 -10.4
