"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "" 2005-11-02 21.74 "NJN" "" "MIL" "L" -14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "" 2005-11-04 21.74 "NJN" "@" "TOR" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "" 2005-11-05 21.75 "NJN" "" "CHI" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "" 2005-11-07 21.75 "NJN" "@" "MIA" "L" -1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "" 2005-11-09 21.76 "NJN" "" "UTA" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "" 2005-11-11 21.76 "NJN" "@" "IND" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "" 2005-11-12 21.76 "NJN" "" "HOU" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "" 2005-11-15 21.77 "NJN" "" "SEA" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "" 2005-11-19 21.78 "NJN" "" "WAS" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "" 2005-11-21 21.79 "NJN" "@" "GSW" "L" -3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "1" 2005-11-23 21.79 "NJN" "@" "SAC" "L" -9 0 1.96666666666667 1 1 0 0 0 0 0 0 0 23.4 200 129 1.7 13.7
"12" "" 2005-11-25 21.8 "NJN" "@" "PHO" "L" -11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "" 2005-11-27 21.81 "NJN" "@" "LAL" "W" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "" 2005-11-28 21.81 "NJN" "@" "DEN" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "" 2005-11-30 21.81 "NJN" "" "DET" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "" 2005-12-03 21.82 "NJN" "" "TOR" "L" -13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "" 2005-12-07 21.83 "NJN" "@" "CHA" "W" 13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "" 2005-12-09 21.84 "NJN" "@" "CLE" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"19" "" 2005-12-10 21.84 "NJN" "" "PHI" "L" -12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"20" "" 2005-12-13 21.85 "NJN" "@" "WAS" "L" -20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"21" "" 2005-12-14 21.85 "NJN" "" "CHA" "L" -8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"22" "" 2005-12-16 21.86 "NJN" "" "DEN" "W" 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"23" "" 2005-12-18 21.86 "NJN" "" "GSW" "W" 28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "" 2005-12-20 21.87 "NJN" "" "LAC" "W" 14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"25" "" 2005-12-21 21.87 "NJN" "@" "ORL" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"26" "" 2005-12-23 21.88 "NJN" "@" "MIA" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"27" "" 2005-12-26 21.88 "NJN" "@" "NYK" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "" 2005-12-27 21.89 "NJN" "" "CLE" "W" 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"29" "" 2005-12-30 21.9 "NJN" "" "ATL" "W" 8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"30" "" 2006-01-06 21.92 "NJN" "" "ORL" "W" 7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"31" "" 2006-01-08 21.92 "NJN" "@" "TOR" "W" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" "" 2006-01-10 21.93 "NJN" "@" "SAS" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "2" 2006-01-13 21.93 "NJN" "@" "MEM" "L" -12 0 12 0.333 0.333 0 0 0 19 0 0 0 12.4 78 103 1 -2.6
"34" "3" 2006-01-14 21.94 "NJN" "@" "DAL" "L" -33 0 23.1333333333333 0.5 0.5 5.2 23.7 13.8 8.3 0 0 0 8.1 120 124 3.8 -2.7
"35" "4" 2006-01-16 21.94 "NJN" "" "IND" "W" 5 0 1.06666666666667 NA NA 0 0 0 0 0 0 NA 0 0 112 0 -4.8
"36" "" 2006-01-18 21.95 "NJN" "@" "PHI" "W" 11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "5" 2006-01-20 21.95 "NJN" "@" "BOS" "L" -3 0 3.3 0 0 32.3 0 17.3 0 0 0 33.3 43.2 24 116 -2.1 -48.1
"38" "6" 2006-01-21 21.96 "NJN" "" "BOS" "W" 20 0 12.35 0.174 0 9.7 18.5 14.2 0 0 0 41 18 36 96 -1.5 -15.9
"39" "7" 2006-01-23 21.96 "NJN" "@" "UTA" "L" -11 0 1.13333333333333 NA NA 0 0 0 0 0 0 NA 0 0 110 0 -5.7
"40" "8" 2006-01-25 21.97 "NJN" "@" "LAC" "L" -13 0 10.2666666666667 0.667 0.667 0 0 0 23.8 5 0 40 23 72 92 1.6 -1.5
"41" "" 2006-01-27 21.97 "NJN" "@" "POR" "L" -5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"42" "9" 2006-01-28 21.98 "NJN" "@" "SEA" "L" -9 0 4.65 NA NA 0 30.4 12.9 26.5 0 0 100 9.5 38 124 -0.4 -10.4
"43" "10" 2006-01-31 21.98 "NJN" "" "DET" "W" 7 0 6.93333333333333 0.5 0.5 0 14.4 8.1 0 0 0 0 13.8 101 101 0.9 -5.7
"44" "11" 2006-02-01 21.99 "NJN" "@" "CLE" "L" -6 0 2.48333333333333 0 0 0 0 0 0 0 0 0 37.7 0 106 -1.9 -42.7
"45" "12" 2006-02-04 21.99 "NJN" "" "MIA" "W" 13 0 5.35 1 1 0 20.9 11.5 0 0 0 50 17.8 68 101 1 -4.1
"46" "13" 2006-02-06 22 "NJN" "" "NOK" "W" 8 0 9.93333333333333 0.667 0.667 14.2 0 6.5 18.3 0 0 0 15.5 142 109 4.1 4.8
"47" "14" 2006-02-08 22.01 "NJN" "" "NYK" "W" 13 0 20.9166666666667 0 0 0 0 0 6.7 2.6 0 16.7 13.8 12 97 -3.6 -15.7
"48" "15" 2006-02-10 22.01 "NJN" "" "SAS" "L" -10 0 2.08333333333333 NA NA 0 0 0 0 0 0 100 23.9 0 115 -1 -32
"49" "16" 2006-02-12 22.02 "NJN" "" "MIL" "W" 15 0 16.1666666666667 0.7 0.7 0 0 0 0 3.4 0 0 15.8 122 92 5.3 3.6
"50" "17" 2006-02-14 22.02 "NJN" "@" "DET" "L" -14 0 19.1166666666667 0.258 0.333 0 15.1 8.2 9.9 0 0 20.5 13.2 46 98 -1.1 -9.3
"51" "18" 2006-02-15 22.02 "NJN" "@" "CHA" "W" 1 0 11.45 0 0 19.1 0 10.2 0 0 0 0 11.5 42 115 -1.5 -17.2
"52" "19" 2006-02-21 22.04 "NJN" "@" "MIL" "W" 4 0 9.7 1 1 0 0 0 0 0 0 50 10.3 71 105 -0.1 -7.7
"53" "20" 2006-02-22 22.04 "NJN" "" "ORL" "W" 3 0 21.7 0.615 0.5 0 6.5 2.9 0 0 0 29.1 14.9 88 113 1.1 -11.1
"54" "21" 2006-02-24 22.05 "NJN" "@" "NYK" "W" 4 0 14.6333333333333 0.532 0 0 6.8 4 0 0 0 34.7 19.6 72 102 -0.3 -12.4
"55" "22" 2006-02-26 22.05 "NJN" "" "IND" "L" -10 0 7.48333333333333 0 0 0 0 0 0 0 0 50 13.1 0 124 -1.7 -21.8
"56" "23" 2006-02-27 22.06 "NJN" "@" "ATL" "L" -2 0 10.4166666666667 0.5 0.5 0 25.4 11.8 0 0 0 0 9.6 101 116 1.2 -9.1
"57" "24" 2006-03-01 22.06 "NJN" "@" "MIN" "L" -10 0 12.4166666666667 0.5 0.5 0 0 0 13.3 0 0 0 7.7 114 118 1.7 -2.3
"58" "25" 2006-03-04 22.07 "NJN" "" "TOR" "W" 5 0 11.5 0.667 0.667 0 0 0 0 0 0 25 16.2 85 108 0.9 -7.5
"59" "26" 2006-03-06 22.08 "NJN" "" "SAC" "L" -25 0 18.05 0 0 0 0 0 16.1 0 4.1 20.5 11.9 19 120 -2.2 -12
"60" "27" 2006-03-07 22.08 "NJN" "@" "CHI" "L" -8 0 18.8833333333333 0.5 0.5 0 0 0 0 2.9 0 20 12.3 76 108 0 -8.7
"61" "28" 2006-03-12 22.09 "NJN" "@" "NOK" "W" 11 0 9.8 0 0 0 10.9 6.7 0 0 0 0 9.9 0 100 -1.2 -10.2
"62" "29" 2006-03-13 22.1 "NJN" "@" "HOU" "W" 13 0 10.7333333333333 0.333 0.333 10.9 0 5.4 0 0 6.9 0 14.3 86 99 1.7 -1.3
"63" "30" 2006-03-15 22.1 "NJN" "" "POR" "W" 13 0 7.68333333333333 0.266 0 0 0 0 20.8 0 0 0 11.8 83 86 0.6 -4.5
"64" "" 2006-03-17 22.11 "NJN" "" "LAL" "W" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"65" "31" 2006-03-19 22.11 "NJN" "" "DAL" "W" 11 0 2.5 1.136 NA 0 53.3 24.3 0 0 0 0 16.4 250 95 2.3 19.4
"66" "32" 2006-03-21 22.12 "NJN" "@" "WAS" "W" 12 0 0.216666666666667 NA NA 0 0 0 0 0 0 NA 0 0 122 -0.4 -96.4
