"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1976-10-22 21.92 "WSB" "" "LAL" "L" -19 0 17 0.571 NA NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1976-10-23 21.92 "WSB" "@" "DET" "W" 1 0 14 0.515 NA NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1976-10-27 21.93 "WSB" "@" "NYN" "L" -3 0 13 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1976-10-29 21.93 "WSB" "@" "NOJ" "L" -18 0 17 0.361 NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1976-10-30 21.94 "WSB" "@" "HOU" "L" -13 0 29 0.735 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1976-11-03 21.95 "WSB" "" "MIL" "W" 12 0 30 0.581 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1976-11-05 21.95 "WSB" "@" "BOS" "W" 3 0 32 0.621 NA NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1976-11-06 21.96 "WSB" "" "BOS" "W" 6 0 26 0.615 NA NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1976-11-09 21.96 "WSB" "@" "NYK" "L" -9 0 33 0.692 NA NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1976-11-10 21.97 "WSB" "" "NOJ" "W" 13 1 22 0.23 NA NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1976-11-12 21.97 "WSB" "@" "PHI" "L" -39 0 23 0.167 NA NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1976-11-13 21.98 "WSB" "" "PHI" "L" -5 0 9 0.5 NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1976-11-17 21.99 "WSB" "" "NYK" "W" 14 0 14 0.25 NA NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1976-11-20 21.99 "WSB" "" "SAS" "W" 6 0 12 0 NA NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1976-11-23 22 "WSB" "@" "DEN" "L" -21 0 22 0.556 NA NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1976-11-25 22.01 "WSB" "@" "PHO" "L" -6 0 5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1976-11-27 22.01 "WSB" "@" "POR" "L" -8 0 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1976-11-28 22.01 "WSB" "@" "SEA" "L" -1 0 28 0.47 NA NA NA NA NA NA NA NA NA NA NA NA NA
