"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1982-03-08 23.43 "SAS" "" "DAL" "L" -8 0 6 0.75 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1982-03-09 23.43 "SAS" "@" "SDC" "L" -11 0 12 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1982-03-12 23.44 "SAS" "" "POR" "L" -4 0 5 NA NA NA NA NA NA NA NA NA NA NA NA -0.1 NA
"4" "4" 1982-03-16 23.45 "SAS" "@" "NYK" "W" 23 0 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1982-03-19 23.46 "SAS" "@" "BOS" "L" -24 0 12 0.508 0.429 NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1982-03-20 23.46 "SAS" "@" "CLE" "W" 13 0 7 1 1 NA NA NA NA NA NA NA NA NA NA 2.4 NA
"7" "7" 1982-03-24 23.47 "SAS" "@" "DEN" "L" -14 0 2 0.521 0.5 NA NA NA NA NA NA NA NA NA NA 4 NA
"8" "8" 1982-04-02 23.5 "SAS" "@" "SEA" "L" -25 0 3 0 0 NA NA NA NA NA NA NA NA NA NA -1.4 NA
"9" "9" 1982-04-14 23.53 "SAS" "@" "PHO" "L" -12 0 4 0.615 0.5 NA NA NA NA NA NA NA NA NA NA 3.7 NA
"10" "10" 1982-04-18 23.54 "SAS" "" "UTA" "L" -8 0 16 0.698 0.714 NA NA NA NA NA NA NA NA NA NA NA NA
