"Rk" "G" "Date" "Age" "Tm" "H/A" "Opp" "W/L" "By Amt" "GS" "MP" "TS%" "eFG%" "ORB%" "DRB%" "TRB%" "AST%" "STL%" "BLK%" "TOV%" "USG%" "ORtg" "DRtg" "GmSc" "BPM"
"1" "1" 1961-11-03 22.41 "CIN" "@" "LAL" "W" 18 NA NA 0.615 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"2" "2" 1961-11-07 22.42 "CIN" "" "NYK" "W" 25 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"3" "3" 1961-11-12 22.43 "CIN" "" "STL" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"4" "4" 1961-11-15 22.44 "CIN" "@" "PHW" "L" -12 NA NA 0.615 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"5" "5" 1961-11-16 22.44 "CIN" "" "BOS" "L" -6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "6" 1961-11-19 22.45 "CIN" "" "DET" "W" 16 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"7" "7" 1961-11-23 22.46 "CIN" "" "SYR" "L" -18 NA NA 0.167 0.167 NA NA NA NA NA NA NA NA NA NA NA NA
"8" "8" 1961-11-26 22.47 "CIN" "" "LAL" "W" 15 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"9" "9" 1961-11-29 22.48 "CIN" "" "SYR" "L" -14 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"10" "10" 1961-12-03 22.49 "CIN" "" "BOS" "L" -23 NA NA 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"11" "11" 1961-12-10 22.51 "CIN" "" "NYK" "W" 40 NA NA 0.515 0.667 NA NA NA NA NA NA NA NA NA NA NA NA
"12" "12" 1961-12-13 22.52 "CIN" "@" "SYR" "W" 10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"13" "13" 1961-12-16 22.52 "CIN" "@" "DET" "W" 11 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"14" "14" 1961-12-23 22.54 "CIN" "" "DET" "L" -9 NA NA 0.75 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"15" "15" 1961-12-25 22.55 "CIN" "" "LAL" "L" -14 NA NA 0.333 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"16" "16" 1961-12-26 22.55 "CIN" "@" "STL" "W" 11 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"17" "17" 1961-12-27 22.55 "CIN" "" "STL" "W" 25 NA NA 0.25 0.25 NA NA NA NA NA NA NA NA NA NA NA NA
"18" "18" 1961-12-29 22.56 "CIN" "" "DET" "L" -15 NA NA 0.347 0 NA NA NA NA NA NA NA NA NA NA NA NA
"19" "19" 1961-12-30 22.56 "CIN" "" "NYK" "L" -4 NA NA 0.888 0.833 NA NA NA NA NA NA NA NA NA NA NA NA
"20" "20" 1962-01-01 22.57 "CIN" "" "SYR" "L" -4 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"21" "21" 1962-01-03 22.57 "CIN" "" "NYK" "W" 11 NA NA 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"22" "22" 1962-01-05 22.58 "CIN" "" "BOS" "L" -21 NA NA 0.463 0.333 NA NA NA NA NA NA NA NA NA NA NA NA
"23" "23" 1962-01-11 22.59 "CIN" "" "PHW" "W" 17 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"24" "24" 1962-01-12 22.6 "CIN" "@" "BOS" "L" -16 NA 3 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"25" "25" 1962-01-18 22.61 "CIN" "@" "PHW" "W" 18 NA NA 0.75 0.75 NA NA NA NA NA NA NA NA NA NA NA NA
"26" "26" 1962-01-24 22.63 "CIN" "@" "LAL" "L" -13 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"27" "27" 1962-01-30 22.65 "CIN" "@" "STL" "W" 10 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"28" "28" 1962-02-01 22.65 "CIN" "@" "PHW" "L" -21 NA NA 0.595 0.6 NA NA NA NA NA NA NA NA NA NA NA NA
"29" "29" 1962-02-02 22.65 "CIN" "@" "BOS" "L" -19 NA 5 0.5 0.5 NA NA NA NA NA NA NA NA NA NA NA NA
"30" "30" 1962-02-05 22.66 "CIN" "" "LAL" "L" -6 NA NA 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"31" "31" 1962-02-07 22.67 "CIN" "@" "DET" "L" -6 NA NA 1 1 NA NA NA NA NA NA NA NA NA NA NA NA
"32" "32" 1962-02-08 22.67 "CIN" "" "LAL" "W" 4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"33" "33" 1962-02-10 22.68 "CIN" "" "STL" "W" 16 NA 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"34" "34" 1962-02-11 22.68 "CIN" "@" "STL" "L" -20 NA 6 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
"35" "35" 1962-02-13 22.68 "CIN" "" "PHW" "W" 20 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"36" "36" 1962-02-14 22.69 "CIN" "" "CHP" "L" -4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"37" "37" 1962-02-16 22.69 "CIN" "@" "PHW" "L" -4 NA NA 0.347 0 NA NA NA NA NA NA NA NA NA NA NA NA
"38" "38" 1962-02-17 22.7 "CIN" "" "DET" "L" -10 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"39" "39" 1962-02-18 22.7 "CIN" "" "CHP" "W" 17 NA NA 0.2 0.2 NA NA NA NA NA NA NA NA NA NA NA NA
"40" "40" 1962-02-20 22.7 "CIN" "" "STL" "W" 20 NA 4 0 0 NA NA NA NA NA NA NA NA NA NA NA NA
