player,min,VORP,id,opp_id,season_id,win,year,adj_VORP,avg_VORP,link
carrke01,40,-0.5,198510250POR-POR,198510250POR-PHO,POR-1986,1,1986,-20,22.945454545454545,carrke01-1986
bowiesa01,38,-2.9,198510250POR-POR,198510250POR-PHO,POR-1986,1,1986,-110.2,22.945454545454545,bowiesa01-1986
vandeki01,37,3,198510250POR-POR,198510250POR-PHO,POR-1986,1,1986,111,22.945454545454545,vandeki01-1986
valenda01,33,4,198510250POR-POR,198510250POR-PHO,POR-1986,1,1986,132,22.945454545454545,valenda01-1986
paxsoji02,32,1.6,198510250POR-POR,198510250POR-PHO,POR-1986,1,1986,51.2,22.945454545454545,paxsoji02-1986
drexlcl01,27,0,198510250POR-POR,198510250POR-PHO,POR-1986,1,1986,0,22.945454545454545,drexlcl01-1986
thompmy01,23,-0.7,198510250POR-POR,198510250POR-PHO,POR-1986,1,1986,-16.099999999999998,22.945454545454545,thompmy01-1986
portete01,18,4.3,198510250POR-POR,198510250POR-PHO,POR-1986,1,1986,77.39999999999999,22.945454545454545,portete01-1986
kerseje01,9,4.5,198510250POR-POR,198510250POR-PHO,POR-1986,1,1986,40.5,22.945454545454545,kerseje01-1986
jonesca01,5,-2.5,198510250POR-POR,198510250POR-PHO,POR-1986,1,1986,-12.5,22.945454545454545,jonesca01-1986
coltest01,3,-0.3,198510250POR-POR,198510250POR-PHO,POR-1986,1,1986,-0.8999999999999999,22.945454545454545,coltest01-1986
drexlcl01,34,4.7,198510270POR-POR,198510270POR-GSW,POR-1986,1,1986,159.8,42.30833333333333,drexlcl01-1986
vandeki01,29,0.6,198510270POR-POR,198510270POR-GSW,POR-1986,1,1986,17.4,42.30833333333333,vandeki01-1986
valenda01,28,9.7,198510270POR-POR,198510270POR-GSW,POR-1986,1,1986,271.59999999999997,42.30833333333333,valenda01-1986
thompmy01,27,5.2,198510270POR-POR,198510270POR-GSW,POR-1986,1,1986,140.4,42.30833333333333,thompmy01-1986
carrke01,27,-1,198510270POR-POR,198510270POR-GSW,POR-1986,1,1986,-27,42.30833333333333,carrke01-1986
bowiesa01,26,-2.1,198510270POR-POR,198510270POR-GSW,POR-1986,1,1986,-54.6,42.30833333333333,bowiesa01-1986
paxsoji02,18,-1,198510270POR-POR,198510270POR-GSW,POR-1986,1,1986,-18,42.30833333333333,paxsoji02-1986
jonesca01,15,-0.7,198510270POR-POR,198510270POR-GSW,POR-1986,1,1986,-10.5,42.30833333333333,jonesca01-1986
portete01,15,2.1,198510270POR-POR,198510270POR-GSW,POR-1986,1,1986,31.5,42.30833333333333,portete01-1986
kerseje01,10,0.4,198510270POR-POR,198510270POR-GSW,POR-1986,1,1986,4,42.30833333333333,kerseje01-1986
coltest01,8,-0.3,198510270POR-POR,198510270POR-GSW,POR-1986,1,1986,-2.4,42.30833333333333,coltest01-1986
