player,min,VORP,id,opp_id,season_id,win,year,adj_VORP,avg_VORP,link
donalja01,29,4,198610310DAL-DAL,198610310DAL-UTA,DAL-1987,1,1987,116,55.38333333333333,donalja01-1987
aguirma01,28,6.8,198610310DAL-DAL,198610310DAL-UTA,DAL-1987,1,1987,190.4,55.38333333333333,aguirma01-1987
perkisa01,27,7.4,198610310DAL-DAL,198610310DAL-UTA,DAL-1987,1,1987,199.8,55.38333333333333,perkisa01-1987
harpede01,25,-1.9,198610310DAL-DAL,198610310DAL-UTA,DAL-1987,1,1987,-47.5,55.38333333333333,harpede01-1987
woodal01,23,2.4,198610310DAL-DAL,198610310DAL-UTA,DAL-1987,1,1987,55.199999999999996,55.38333333333333,woodal01-1987
blackro01,22,2.7,198610310DAL-DAL,198610310DAL-UTA,DAL-1987,1,1987,59.400000000000006,55.38333333333333,blackro01-1987
davisbr01,22,5.3,198610310DAL-DAL,198610310DAL-UTA,DAL-1987,1,1987,116.6,55.38333333333333,davisbr01-1987
schrede01,20,0.8,198610310DAL-DAL,198610310DAL-UTA,DAL-1987,1,1987,16,55.38333333333333,schrede01-1987
tarplro01,19,-3,198610310DAL-DAL,198610310DAL-UTA,DAL-1987,1,1987,-57,55.38333333333333,tarplro01-1987
wennibi01,14,2.3,198610310DAL-DAL,198610310DAL-UTA,DAL-1987,1,1987,32.199999999999996,55.38333333333333,wennibi01-1987
blabuw01,9,-1.9,198610310DAL-DAL,198610310DAL-UTA,DAL-1987,1,1987,-17.099999999999998,55.38333333333333,blabuw01-1987
jacksmy01,2,0.3,198610310DAL-DAL,198610310DAL-UTA,DAL-1987,1,1987,0.6,55.38333333333333,jacksmy01-1987
eatonma01,38,5.4,198611010UTA-UTA,198611010UTA-POR,UTA-1987,1,1987,205.20000000000002,46.190000000000005,eatonma01-1987
malonka01,35,0.9,198611010UTA-UTA,198611010UTA-POR,UTA-1987,1,1987,31.5,46.190000000000005,malonka01-1987
greenri01,33,5,198611010UTA-UTA,198611010UTA-POR,UTA-1987,1,1987,165,46.190000000000005,greenri01-1987
baileth01,28,3.2,198611010UTA-UTA,198611010UTA-POR,UTA-1987,1,1987,89.60000000000001,46.190000000000005,baileth01-1987
griffda01,28,1.4,198611010UTA-UTA,198611010UTA-POR,UTA-1987,1,1987,39.199999999999996,46.190000000000005,griffda01-1987
hansebo01,22,2.1,198611010UTA-UTA,198611010UTA-POR,UTA-1987,1,1987,46.2,46.190000000000005,hansebo01-1987
tripuke01,21,-7,198611010UTA-UTA,198611010UTA-POR,UTA-1987,1,1987,-147,46.190000000000005,tripuke01-1987
iavarma01,16,-0.3,198611010UTA-UTA,198611010UTA-POR,UTA-1987,1,1987,-4.8,46.190000000000005,iavarma01-1987
stockjo01,16,1.9,198611010UTA-UTA,198611010UTA-POR,UTA-1987,1,1987,30.4,46.190000000000005,stockjo01-1987
bensoke01,3,2.2,198611010UTA-UTA,198611010UTA-POR,UTA-1987,1,1987,6.6000000000000005,46.190000000000005,bensoke01-1987
eatonma01,34,2.8,198611050UTA-UTA,198611050UTA-CLE,UTA-1987,1,1987,95.19999999999999,30.333333333333332,eatonma01-1987
tripuke01,30,-3.9,198611050UTA-UTA,198611050UTA-CLE,UTA-1987,1,1987,-117,30.333333333333332,tripuke01-1987
malonka01,29,-4.1,198611050UTA-UTA,198611050UTA-CLE,UTA-1987,1,1987,-118.89999999999999,30.333333333333332,malonka01-1987
baileth01,29,2,198611050UTA-UTA,198611050UTA-CLE,UTA-1987,1,1987,58,30.333333333333332,baileth01-1987
greenri01,26,3.6,198611050UTA-UTA,198611050UTA-CLE,UTA-1987,1,1987,93.60000000000001,30.333333333333332,greenri01-1987
hansebo01,23,3.3,198611050UTA-UTA,198611050UTA-CLE,UTA-1987,1,1987,75.89999999999999,30.333333333333332,hansebo01-1987
griffda01,22,5.6,198611050UTA-UTA,198611050UTA-CLE,UTA-1987,1,1987,123.19999999999999,30.333333333333332,griffda01-1987
stockjo01,22,5.7,198611050UTA-UTA,198611050UTA-CLE,UTA-1987,1,1987,125.4,30.333333333333332,stockjo01-1987
bensoke01,14,2.7,198611050UTA-UTA,198611050UTA-CLE,UTA-1987,1,1987,37.800000000000004,30.333333333333332,bensoke01-1987
iavarma01,5,-0.7,198611050UTA-UTA,198611050UTA-CLE,UTA-1987,1,1987,-3.5,30.333333333333332,iavarma01-1987
curryde01,3,-1.1,198611050UTA-UTA,198611050UTA-CLE,UTA-1987,1,1987,-3.3000000000000003,30.333333333333332,curryde01-1987
scurrca01,3,-0.8,198611050UTA-UTA,198611050UTA-CLE,UTA-1987,1,1987,-2.4000000000000004,30.333333333333332,scurrca01-1987
leverfa01,37,1.5,198611060DEN-DEN,198611060DEN-UTA,DEN-1987,1,1987,55.5,68.21,leverfa01-1987
dunntr01,36,6.5,198611060DEN-DEN,198611060DEN-UTA,DEN-1987,1,1987,234,68.21,dunntr01-1987
englial01,36,7.8,198611060DEN-DEN,198611060DEN-UTA,DEN-1987,1,1987,280.8,68.21,englial01-1987
hanzlbi01,32,-0.6,198611060DEN-DEN,198611060DEN-UTA,DEN-1987,1,1987,-19.2,68.21,hanzlbi01-1987
alarima01,27,2.2,198611060DEN-DEN,198611060DEN-UTA,DEN-1987,1,1987,59.400000000000006,68.21,alarima01-1987
walkeda01,27,9.7,198611060DEN-DEN,198611060DEN-UTA,DEN-1987,1,1987,261.9,68.21,walkeda01-1987
evansmi01,23,-6,198611060DEN-DEN,198611060DEN-UTA,DEN-1987,1,1987,-138,68.21,evansmi01-1987
rasmubl01,16,-3.1,198611060DEN-DEN,198611060DEN-UTA,DEN-1987,1,1987,-49.6,68.21,rasmubl01-1987
martima01,3,-1.1,198611060DEN-DEN,198611060DEN-UTA,DEN-1987,1,1987,-3.3000000000000003,68.21,martima01-1987
willipe01,3,0.2,198611060DEN-DEN,198611060DEN-UTA,DEN-1987,1,1987,0.6000000000000001,68.21,willipe01-1987
eatonma01,42,3.7,198611110UTA-UTA,198611110UTA-DAL,UTA-1987,1,1987,155.4,52.59,eatonma01-1987
malonka01,33,5.4,198611110UTA-UTA,198611110UTA-DAL,UTA-1987,1,1987,178.20000000000002,52.59,malonka01-1987
hansebo01,32,8.4,198611110UTA-UTA,198611110UTA-DAL,UTA-1987,1,1987,268.8,52.59,hansebo01-1987
greenri01,28,2.1,198611110UTA-UTA,198611110UTA-DAL,UTA-1987,1,1987,58.800000000000004,52.59,greenri01-1987
baileth01,27,-2.1,198611110UTA-UTA,198611110UTA-DAL,UTA-1987,1,1987,-56.7,52.59,baileth01-1987
tripuke01,22,-4.5,198611110UTA-UTA,198611110UTA-DAL,UTA-1987,1,1987,-99,52.59,tripuke01-1987
stockjo01,21,0.1,198611110UTA-UTA,198611110UTA-DAL,UTA-1987,1,1987,2.1,52.59,stockjo01-1987
griffda01,17,1.1,198611110UTA-UTA,198611110UTA-DAL,UTA-1987,1,1987,18.700000000000003,52.59,griffda01-1987
bensoke01,13,0.7,198611110UTA-UTA,198611110UTA-DAL,UTA-1987,1,1987,9.1,52.59,bensoke01-1987
iavarma01,5,-1.9,198611110UTA-UTA,198611110UTA-DAL,UTA-1987,1,1987,-9.5,52.59,iavarma01-1987
malonka01,28,3.6,198611130UTA-UTA,198611130UTA-LAC,UTA-1987,1,1987,100.8,27.083333333333332,malonka01-1987
greenri01,26,0,198611130UTA-UTA,198611130UTA-LAC,UTA-1987,1,1987,0,27.083333333333332,greenri01-1987
eatonma01,25,3.9,198611130UTA-UTA,198611130UTA-LAC,UTA-1987,1,1987,97.5,27.083333333333332,eatonma01-1987
tripuke01,25,1,198611130UTA-UTA,198611130UTA-LAC,UTA-1987,1,1987,25,27.083333333333332,tripuke01-1987
bensoke01,25,2.8,198611130UTA-UTA,198611130UTA-LAC,UTA-1987,1,1987,70,27.083333333333332,bensoke01-1987
griffda01,24,-1.1,198611130UTA-UTA,198611130UTA-LAC,UTA-1987,1,1987,-26.400000000000002,27.083333333333332,griffda01-1987
baileth01,22,2.3,198611130UTA-UTA,198611130UTA-LAC,UTA-1987,1,1987,50.599999999999994,27.083333333333332,baileth01-1987
stockjo01,22,-0.9,198611130UTA-UTA,198611130UTA-LAC,UTA-1987,1,1987,-19.8,27.083333333333332,stockjo01-1987
hansebo01,20,1.7,198611130UTA-UTA,198611130UTA-LAC,UTA-1987,1,1987,34,27.083333333333332,hansebo01-1987
iavarma01,13,-0.3,198611130UTA-UTA,198611130UTA-LAC,UTA-1987,1,1987,-3.9,27.083333333333332,iavarma01-1987
scurrca01,6,0,198611130UTA-UTA,198611130UTA-LAC,UTA-1987,1,1987,0,27.083333333333332,scurrca01-1987
curryde01,4,-0.7,198611130UTA-UTA,198611130UTA-LAC,UTA-1987,1,1987,-2.8,27.083333333333332,curryde01-1987
greenri01,33,7.7,198611150UTA-UTA,198611150UTA-DEN,UTA-1987,1,1987,254.1,21.15,greenri01-1987
baileth01,30,-12.3,198611150UTA-UTA,198611150UTA-DEN,UTA-1987,1,1987,-369,21.15,baileth01-1987
malonka01,26,2.4,198611150UTA-UTA,198611150UTA-DEN,UTA-1987,1,1987,62.4,21.15,malonka01-1987
hansebo01,25,3.5,198611150UTA-UTA,198611150UTA-DEN,UTA-1987,1,1987,87.5,21.15,hansebo01-1987
tripuke01,23,5,198611150UTA-UTA,198611150UTA-DEN,UTA-1987,1,1987,115,21.15,tripuke01-1987
eatonma01,21,0.3,198611150UTA-UTA,198611150UTA-DEN,UTA-1987,1,1987,6.3,21.15,eatonma01-1987
griffda01,20,-1.4,198611150UTA-UTA,198611150UTA-DEN,UTA-1987,1,1987,-28,21.15,griffda01-1987
iavarma01,19,2.9,198611150UTA-UTA,198611150UTA-DEN,UTA-1987,1,1987,55.1,21.15,iavarma01-1987
scurrca01,15,2.7,198611150UTA-UTA,198611150UTA-DEN,UTA-1987,1,1987,40.5,21.15,scurrca01-1987
stockjo01,15,3.5,198611150UTA-UTA,198611150UTA-DEN,UTA-1987,1,1987,52.5,21.15,stockjo01-1987
bensoke01,10,-2.8,198611150UTA-UTA,198611150UTA-DEN,UTA-1987,1,1987,-28,21.15,bensoke01-1987
curryde01,3,1.8,198611150UTA-UTA,198611150UTA-DEN,UTA-1987,1,1987,5.4,21.15,curryde01-1987
vandeki01,37,7.7,198611160POR-POR,198611160POR-UTA,POR-1987,1,1987,284.90000000000003,63.96363636363637,vandeki01-1987
portete01,35,3.5,198611160POR-POR,198611160POR-UTA,POR-1987,1,1987,122.5,63.96363636363637,portete01-1987
carrke01,34,-0.2,198611160POR-POR,198611160POR-UTA,POR-1987,1,1987,-6.800000000000001,63.96363636363637,carrke01-1987
drexlcl01,34,4.2,198611160POR-POR,198611160POR-UTA,POR-1987,1,1987,142.8,63.96363636363637,drexlcl01-1987
johnsst03,25,0.9,198611160POR-POR,198611160POR-UTA,POR-1987,1,1987,22.5,63.96363636363637,johnsst03-1987
paxsoji02,25,0.6,198611160POR-POR,198611160POR-UTA,POR-1987,1,1987,15,63.96363636363637,paxsoji02-1987
jonesca01,21,2.5,198611160POR-POR,198611160POR-UTA,POR-1987,1,1987,52.5,63.96363636363637,jonesca01-1987
kerseje01,21,3.2,198611160POR-POR,198611160POR-UTA,POR-1987,1,1987,67.2,63.96363636363637,kerseje01-1987
holtomi01,4,1.1,198611160POR-POR,198611160POR-UTA,POR-1987,1,1987,4.4,63.96363636363637,holtomi01-1987
englech01,2,-0.1,198611160POR-POR,198611160POR-UTA,POR-1987,1,1987,-0.2,63.96363636363637,englech01-1987
martife01,2,-0.6,198611160POR-POR,198611160POR-UTA,POR-1987,1,1987,-1.2,63.96363636363637,martife01-1987
mccraro01,48,7.5,198611200HOU-HOU,198611200HOU-UTA,HOU-1987,1,1987,360,83.97,mccraro01-1987
peterji01,44,2.4,198611200HOU-HOU,198611200HOU-UTA,HOU-1987,1,1987,105.6,83.97,peterji01-1987
reidro01,41,4.2,198611200HOU-HOU,198611200HOU-UTA,HOU-1987,1,1987,172.20000000000002,83.97,reidro01-1987
olajuha01,33,10.3,198611200HOU-HOU,198611200HOU-UTA,HOU-1987,1,1987,339.90000000000003,83.97,olajuha01-1987
wiggimi01,32,-5,198611200HOU-HOU,198611200HOU-UTA,HOU-1987,1,1987,-160,83.97,wiggimi01-1987
harrist01,18,3.7,198611200HOU-HOU,198611200HOU-UTA,HOU-1987,1,1987,66.60000000000001,83.97,harrist01-1987
feitlda01,11,-3.1,198611200HOU-HOU,198611200HOU-UTA,HOU-1987,1,1987,-34.1,83.97,feitlda01-1987
johnsbu01,6,-1.2,198611200HOU-HOU,198611200HOU-UTA,HOU-1987,1,1987,-7.199999999999999,83.97,johnsbu01-1987
lloydle01,6,-0.7,198611200HOU-HOU,198611200HOU-UTA,HOU-1987,1,1987,-4.199999999999999,83.97,lloydle01-1987
anderri01,1,0.9,198611200HOU-HOU,198611200HOU-UTA,HOU-1987,1,1987,0.9,83.97,anderri01-1987
eatonma01,29,3.5,198611220UTA-UTA,198611220UTA-NJN,UTA-1987,1,1987,101.5,44.375,eatonma01-1987
greenri01,26,-2,198611220UTA-UTA,198611220UTA-NJN,UTA-1987,1,1987,-52,44.375,greenri01-1987
tripuke01,25,7.1,198611220UTA-UTA,198611220UTA-NJN,UTA-1987,1,1987,177.5,44.375,tripuke01-1987
hansebo01,24,9.2,198611220UTA-UTA,198611220UTA-NJN,UTA-1987,1,1987,220.79999999999998,44.375,hansebo01-1987
malonka01,24,-3.7,198611220UTA-UTA,198611220UTA-NJN,UTA-1987,1,1987,-88.80000000000001,44.375,malonka01-1987
baileth01,24,-3.3,198611220UTA-UTA,198611220UTA-NJN,UTA-1987,1,1987,-79.19999999999999,44.375,baileth01-1987
stockjo01,22,9.1,198611220UTA-UTA,198611220UTA-NJN,UTA-1987,1,1987,200.2,44.375,stockjo01-1987
bensoke01,19,4,198611220UTA-UTA,198611220UTA-NJN,UTA-1987,1,1987,76,44.375,bensoke01-1987
griffda01,19,1.1,198611220UTA-UTA,198611220UTA-NJN,UTA-1987,1,1987,20.900000000000002,44.375,griffda01-1987
scurrca01,16,-0.5,198611220UTA-UTA,198611220UTA-NJN,UTA-1987,1,1987,-8,44.375,scurrca01-1987
iavarma01,7,-3.2,198611220UTA-UTA,198611220UTA-NJN,UTA-1987,1,1987,-22.400000000000002,44.375,iavarma01-1987
curryde01,5,-2.8,198611220UTA-UTA,198611220UTA-NJN,UTA-1987,1,1987,-14,44.375,curryde01-1987
