player,min,VORP,id,opp_id,season_id,win,year,adj_VORP,avg_VORP,link
richmmi01,45,7.9,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,355.5,63.52,richmmi01-1993
webbsp01,42,2.9,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,121.8,63.52,webbsp01-1993
simmoli01,33,3.3,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,108.89999999999999,63.52,simmoli01-1993
tisdawa01,30,-3,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,-90,63.52,tisdawa01-1993
causwdu01,29,2.7,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,78.30000000000001,63.52,causwdu01-1993
williwa02,20,3.1,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,62,63.52,williwa02-1993
brownra02,19,1.9,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,36.1,63.52,brownra02-1993
askewvi01,17,-1.9,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,-32.3,63.52,askewvi01-1993
conloma01,3,-0.5,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,-1.5,63.52,conloma01-1993
chilcpe01,2,-1.8,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,-3.6,63.52,chilcpe01-1993
scottby01,41,-3.1,199211080LAL-LAL,199211080LAL-SAC,LAL-1993,0,1993,-127.10000000000001,14.429999999999996,scottby01-1993
threase01,39,-2.9,199211080LAL-LAL,199211080LAL-SAC,LAL-1993,0,1993,-113.1,14.429999999999996,threase01-1993
worthja01,36,7.6,199211080LAL-LAL,199211080LAL-SAC,LAL-1993,0,1993,273.59999999999997,14.429999999999996,worthja01-1993
greenac01,31,5.5,199211080LAL-LAL,199211080LAL-SAC,LAL-1993,0,1993,170.5,14.429999999999996,greenac01-1993
perkisa01,28,-1.6,199211080LAL-LAL,199211080LAL-SAC,LAL-1993,0,1993,-44.800000000000004,14.429999999999996,perkisa01-1993
campbel01,18,-0.1,199211080LAL-LAL,199211080LAL-SAC,LAL-1993,0,1993,-1.8,14.429999999999996,campbel01-1993
divacvl01,17,0.6,199211080LAL-LAL,199211080LAL-SAC,LAL-1993,0,1993,10.2,14.429999999999996,divacvl01-1993
peelean01,15,0.4,199211080LAL-LAL,199211080LAL-SAC,LAL-1993,0,1993,6,14.429999999999996,peelean01-1993
edwarja01,8,-1.2,199211080LAL-LAL,199211080LAL-SAC,LAL-1993,0,1993,-9.6,14.429999999999996,edwarja01-1993
coopedu01,7,-2.8,199211080LAL-LAL,199211080LAL-SAC,LAL-1993,0,1993,-19.599999999999998,14.429999999999996,coopedu01-1993
simmoli01,44,4.7,199211100SAC-SAC,199211100SAC-LAC,SAC-1993,1,1993,206.8,43.12,simmoli01-1993
tisdawa01,43,-8.6,199211100SAC-SAC,199211100SAC-LAC,SAC-1993,1,1993,-369.8,43.12,tisdawa01-1993
richmmi01,42,2,199211100SAC-SAC,199211100SAC-LAC,SAC-1993,1,1993,84,43.12,richmmi01-1993
brownra02,37,12.9,199211100SAC-SAC,199211100SAC-LAC,SAC-1993,1,1993,477.3,43.12,brownra02-1993
williwa02,25,-1.3,199211100SAC-SAC,199211100SAC-LAC,SAC-1993,1,1993,-32.5,43.12,williwa02-1993
causwdu01,20,4.6,199211100SAC-SAC,199211100SAC-LAC,SAC-1993,1,1993,92,43.12,causwdu01-1993
lesji01,16,0.1,199211100SAC-SAC,199211100SAC-LAC,SAC-1993,1,1993,1.6,43.12,lesji01-1993
conloma01,9,-3.1,199211100SAC-SAC,199211100SAC-LAC,SAC-1993,1,1993,-27.900000000000002,43.12,conloma01-1993
askewvi01,3,0.3,199211100SAC-SAC,199211100SAC-LAC,SAC-1993,1,1993,0.8999999999999999,43.12,askewvi01-1993
bonnean01,1,-1.2,199211100SAC-SAC,199211100SAC-LAC,SAC-1993,1,1993,-1.2,43.12,bonnean01-1993
jacksma01,36,5.1,199211110LAC-LAC,199211110LAC-SAC,LAC-1993,1,1993,183.6,53.599999999999994,jacksma01-1993
mannida01,36,14.2,199211110LAC-LAC,199211110LAC-SAC,LAC-1993,1,1993,511.2,53.599999999999994,mannida01-1993
harpero01,30,1.3,199211110LAC-LAC,199211110LAC-SAC,LAC-1993,1,1993,39,53.599999999999994,harpero01-1993
willijo02,28,-4.2,199211110LAC-LAC,199211110LAC-SAC,LAC-1993,1,1993,-117.60000000000001,53.599999999999994,willijo02-1993
normake01,21,-2.5,199211110LAC-LAC,199211110LAC-SAC,LAC-1993,1,1993,-52.5,53.599999999999994,normake01-1993
vaughlo01,21,2.5,199211110LAC-LAC,199211110LAC-SAC,LAC-1993,1,1993,52.5,53.599999999999994,vaughlo01-1993
jacksja01,19,6,199211110LAC-LAC,199211110LAC-SAC,LAC-1993,1,1993,114,53.599999999999994,jacksja01-1993
vandeki01,19,-1.5,199211110LAC-LAC,199211110LAC-SAC,LAC-1993,1,1993,-28.5,53.599999999999994,vandeki01-1993
grantga01,15,-6.1,199211110LAC-LAC,199211110LAC-SAC,LAC-1993,1,1993,-91.5,53.599999999999994,grantga01-1993
roberst01,13,-1.4,199211110LAC-LAC,199211110LAC-SAC,LAC-1993,1,1993,-18.2,53.599999999999994,roberst01-1993
woodsra01,2,-1.2,199211110LAC-LAC,199211110LAC-SAC,LAC-1993,1,1993,-2.4,53.599999999999994,woodsra01-1993
