player,min,VORP,id,opp_id,season_id,win,year,adj_VORP,avg_VORP,link
mchalke01,45,11.9,198804290BOS-BOS,198804290BOS-NYK,BOS-1988,1,1988,535.5,91.89166666666667,mchalke01-1988
birdla01,44,7.7,198804290BOS-BOS,198804290BOS-NYK,BOS-1988,1,1988,338.8,91.89166666666667,birdla01-1988
johnsde01,38,4.5,198804290BOS-BOS,198804290BOS-NYK,BOS-1988,1,1988,171,91.89166666666667,johnsde01-1988
parisro01,37,-0.5,198804290BOS-BOS,198804290BOS-NYK,BOS-1988,1,1988,-18.5,91.89166666666667,parisro01-1988
paxsoji02,28,3.8,198804290BOS-BOS,198804290BOS-NYK,BOS-1988,1,1988,106.39999999999999,91.89166666666667,paxsoji02-1988
aingeda01,22,-1.6,198804290BOS-BOS,198804290BOS-NYK,BOS-1988,1,1988,-35.2,91.89166666666667,aingeda01-1988
gilmoar01,9,0.6,198804290BOS-BOS,198804290BOS-NYK,BOS-1988,1,1988,5.3999999999999995,91.89166666666667,gilmoar01-1988
minnidi01,7,-1,198804290BOS-BOS,198804290BOS-NYK,BOS-1988,1,1988,-7,91.89166666666667,minnidi01-1988
roberfr01,5,0.7,198804290BOS-BOS,198804290BOS-NYK,BOS-1988,1,1988,3.5,91.89166666666667,roberfr01-1988
acresma01,3,0.2,198804290BOS-BOS,198804290BOS-NYK,BOS-1988,1,1988,0.6000000000000001,91.89166666666667,acresma01-1988
lewisre01,1,0.9,198804290BOS-BOS,198804290BOS-NYK,BOS-1988,1,1988,0.9,91.89166666666667,lewisre01-1988
lohaubr01,1,1.3,198804290BOS-BOS,198804290BOS-NYK,BOS-1988,1,1988,1.3,91.89166666666667,lohaubr01-1988
mchalke01,44,4.6,198805010BOS-BOS,198805010BOS-NYK,BOS-1988,1,1988,202.39999999999998,100.4,mchalke01-1988
birdla01,42,13.9,198805010BOS-BOS,198805010BOS-NYK,BOS-1988,1,1988,583.8000000000001,100.4,birdla01-1988
johnsde01,36,9.7,198805010BOS-BOS,198805010BOS-NYK,BOS-1988,1,1988,349.2,100.4,johnsde01-1988
aingeda01,32,0.8,198805010BOS-BOS,198805010BOS-NYK,BOS-1988,1,1988,25.6,100.4,aingeda01-1988
parisro01,31,0.7,198805010BOS-BOS,198805010BOS-NYK,BOS-1988,1,1988,21.7,100.4,parisro01-1988
paxsoji02,20,1.2,198805010BOS-BOS,198805010BOS-NYK,BOS-1988,1,1988,24,100.4,paxsoji02-1988
acresma01,12,-0.8,198805010BOS-BOS,198805010BOS-NYK,BOS-1988,1,1988,-9.600000000000001,100.4,acresma01-1988
gilmoar01,6,0.5,198805010BOS-BOS,198805010BOS-NYK,BOS-1988,1,1988,3,100.4,gilmoar01-1988
roberfr01,6,-0.2,198805010BOS-BOS,198805010BOS-NYK,BOS-1988,1,1988,-1.2000000000000002,100.4,roberfr01-1988
minnidi01,5,-1.1,198805010BOS-BOS,198805010BOS-NYK,BOS-1988,1,1988,-5.5,100.4,minnidi01-1988
lewisre01,3,1,198805010BOS-BOS,198805010BOS-NYK,BOS-1988,1,1988,3,100.4,lewisre01-1988
lohaubr01,3,2.8,198805010BOS-BOS,198805010BOS-NYK,BOS-1988,1,1988,8.399999999999999,100.4,lohaubr01-1988
jacksma01,46,5.5,198805040NYK-NYK,198805040NYK-BOS,NYK-1988,1,1988,253,102.83333333333333,jacksma01-1988
newmajo01,42,11.7,198805040NYK-NYK,198805040NYK-BOS,NYK-1988,1,1988,491.4,102.83333333333333,newmajo01-1988
ewingpa01,39,6.8,198805040NYK-NYK,198805040NYK-BOS,NYK-1988,1,1988,265.2,102.83333333333333,ewingpa01-1988
wilkige01,38,-2.6,198805040NYK-NYK,198805040NYK-BOS,NYK-1988,1,1988,-98.8,102.83333333333333,wilkige01-1988
cartwbi01,18,0.1,198805040NYK-NYK,198805040NYK-BOS,NYK-1988,1,1988,1.8,102.83333333333333,cartwbi01-1988
walkeke01,18,-0.6,198805040NYK-NYK,198805040NYK-BOS,NYK-1988,1,1988,-10.799999999999999,102.83333333333333,walkeke01-1988
greensi02,14,-0.3,198805040NYK-NYK,198805040NYK-BOS,NYK-1988,1,1988,-4.2,102.83333333333333,greensi02-1988
cummipa01,13,0.3,198805040NYK-NYK,198805040NYK-BOS,NYK-1988,1,1988,3.9,102.83333333333333,cummipa01-1988
tucketr01,12,2,198805040NYK-NYK,198805040NYK-BOS,NYK-1988,1,1988,24,102.83333333333333,tucketr01-1988
jacksma01,47,12.2,198805060NYK-NYK,198805060NYK-BOS,NYK-1988,0,1988,573.4,58.71818181818182,jacksma01-1988
newmajo01,39,4,198805060NYK-NYK,198805060NYK-BOS,NYK-1988,0,1988,156,58.71818181818182,newmajo01-1988
wilkige01,39,2.4,198805060NYK-NYK,198805060NYK-BOS,NYK-1988,0,1988,93.6,58.71818181818182,wilkige01-1988
ewingpa01,38,-0.7,198805060NYK-NYK,198805060NYK-BOS,NYK-1988,0,1988,-26.599999999999998,58.71818181818182,ewingpa01-1988
greensi02,31,-3.4,198805060NYK-NYK,198805060NYK-BOS,NYK-1988,0,1988,-105.39999999999999,58.71818181818182,greensi02-1988
cartwbi01,15,-3.1,198805060NYK-NYK,198805060NYK-BOS,NYK-1988,0,1988,-46.5,58.71818181818182,cartwbi01-1988
