player,min,VORP,id,opp_id,season_id,win,year,adj_VORP,avg_VORP,link
cartevi01,46,1.8,200710310NJN-NJN,200710310NJN-CHI,NJN-2008,1,2008,82.8,60.7630303030303,cartevi01-2008
jefferi01,44.95,7.1,200710310NJN-NJN,200710310NJN-CHI,NJN-2008,1,2008,319.145,60.7630303030303,jefferi01-2008
kiddja01,40.75,8.3,200710310NJN-NJN,200710310NJN-CHI,NJN-2008,1,2008,338.225,60.7630303030303,kiddja01-2008
wrighan01,27.9,6.1,200710310NJN-NJN,200710310NJN-CHI,NJN-2008,1,2008,170.18999999999997,60.7630303030303,wrighan01-2008
collija04,25.933333333333334,-2.9,200710310NJN-NJN,200710310NJN-CHI,NJN-2008,1,2008,-75.20666666666666,60.7630303030303,collija04-2008
nachbbo01,20.883333333333333,-3.1,200710310NJN-NJN,200710310NJN-CHI,NJN-2008,1,2008,-64.73833333333333,60.7630303030303,nachbbo01-2008
krstine01,19.433333333333334,-3.5,200710310NJN-NJN,200710310NJN-CHI,NJN-2008,1,2008,-68.01666666666667,60.7630303030303,krstine01-2008
armstda01,14.116666666666667,-0.1,200710310NJN-NJN,200710310NJN-CHI,NJN-2008,1,2008,-1.4116666666666668,60.7630303030303,armstda01-2008
magloja01,11.266666666666667,-1.9,200710310NJN-NJN,200710310NJN-CHI,NJN-2008,1,2008,-21.406666666666666,60.7630303030303,magloja01-2008
boonejo01,9.466666666666667,-1,200710310NJN-NJN,200710310NJN-CHI,NJN-2008,1,2008,-9.466666666666667,60.7630303030303,boonejo01-2008
allenma01,4.3,-0.4,200710310NJN-NJN,200710310NJN-CHI,NJN-2008,1,2008,-1.72,60.7630303030303,allenma01-2008
jefferi01,28.733333333333334,12.7,200711020NJN-NJN,200711020NJN-TOR,NJN-2008,0,2008,364.9133333333333,-24.645,jefferi01-2008
nachbbo01,28.466666666666665,-8.1,200711020NJN-NJN,200711020NJN-TOR,NJN-2008,0,2008,-230.57999999999998,-24.645,nachbbo01-2008
cartevi01,25.366666666666667,-0.5,200711020NJN-NJN,200711020NJN-TOR,NJN-2008,0,2008,-12.683333333333334,-24.645,cartevi01-2008
kiddja01,24.233333333333334,-4.5,200711020NJN-NJN,200711020NJN-TOR,NJN-2008,0,2008,-109.05000000000001,-24.645,kiddja01-2008
wrighan01,23.833333333333332,0.7,200711020NJN-NJN,200711020NJN-TOR,NJN-2008,0,2008,16.68333333333333,-24.645,wrighan01-2008
willise01,20.583333333333332,0.5,200711020NJN-NJN,200711020NJN-TOR,NJN-2008,0,2008,10.291666666666666,-24.645,willise01-2008
allenma01,20.433333333333334,-6.3,200711020NJN-NJN,200711020NJN-TOR,NJN-2008,0,2008,-128.73,-24.645,allenma01-2008
krstine01,17.75,-0.9,200711020NJN-NJN,200711020NJN-TOR,NJN-2008,0,2008,-15.975,-24.645,krstine01-2008
armstda01,17.25,-6.1,200711020NJN-NJN,200711020NJN-TOR,NJN-2008,0,2008,-105.225,-24.645,armstda01-2008
collija04,12.883333333333333,-2.1,200711020NJN-NJN,200711020NJN-TOR,NJN-2008,0,2008,-27.055,-24.645,collija04-2008
boonejo01,10.233333333333333,-2.5,200711020NJN-NJN,200711020NJN-TOR,NJN-2008,0,2008,-25.583333333333332,-24.645,boonejo01-2008
magloja01,10.233333333333333,-3.2,200711020NJN-NJN,200711020NJN-TOR,NJN-2008,0,2008,-32.74666666666666,-24.645,magloja01-2008
iguodan01,38.78333333333333,-3.1,200711030PHI-PHI,200711030PHI-NJN,PHI-2008,0,2008,-120.22833333333332,-7.0623333333333305,iguodan01-2008
dalemsa01,36.21666666666667,3.7,200711030PHI-PHI,200711030PHI-NJN,PHI-2008,0,2008,134.0016666666667,-7.0623333333333305,dalemsa01-2008
millean02,34.38333333333333,-2.2,200711030PHI-PHI,200711030PHI-NJN,PHI-2008,0,2008,-75.64333333333335,-7.0623333333333305,millean02-2008
korveky01,33.03333333333333,0.8,200711030PHI-PHI,200711030PHI-NJN,PHI-2008,0,2008,26.426666666666666,-7.0623333333333305,korveky01-2008
greenwi01,26.633333333333333,-5.1,200711030PHI-PHI,200711030PHI-NJN,PHI-2008,0,2008,-135.82999999999998,-7.0623333333333305,greenwi01-2008
evansre01,21.1,-2.2,200711030PHI-PHI,200711030PHI-NJN,PHI-2008,0,2008,-46.42000000000001,-7.0623333333333305,evansre01-2008
willilo02,18.9,6.4,200711030PHI-PHI,200711030PHI-NJN,PHI-2008,0,2008,120.96,-7.0623333333333305,willilo02-2008
carnero01,17.1,1.6,200711030PHI-PHI,200711030PHI-NJN,PHI-2008,0,2008,27.360000000000003,-7.0623333333333305,carnero01-2008
smithja02,10.35,-1,200711030PHI-PHI,200711030PHI-NJN,PHI-2008,0,2008,-10.35,-7.0623333333333305,smithja02-2008
boothca01,3.5,2.6,200711030PHI-PHI,200711030PHI-NJN,PHI-2008,0,2008,9.1,-7.0623333333333305,boothca01-2008
jefferi01,36.28333333333333,1.9,200711060NJN-NJN,200711060NJN-ATL,NJN-2008,1,2008,68.93833333333333,30.606666666666666,jefferi01-2008
cartevi01,36.03333333333333,-1.6,200711060NJN-NJN,200711060NJN-ATL,NJN-2008,1,2008,-57.653333333333336,30.606666666666666,cartevi01-2008
kiddja01,34.55,4.9,200711060NJN-NJN,200711060NJN-ATL,NJN-2008,1,2008,169.295,30.606666666666666,kiddja01-2008
