player,min,VORP,id,opp_id,season_id,win,year,adj_VORP,avg_VORP,link
birdla01,41,5.8,199104260BOS-BOS,199104260BOS-IND,BOS-1991,1,1991,237.79999999999998,70.98,birdla01-1991
lewisre01,41,3.9,199104260BOS-BOS,199104260BOS-IND,BOS-1991,1,1991,159.9,70.98,lewisre01-1991
parisro01,33,4.5,199104260BOS-BOS,199104260BOS-IND,BOS-1991,1,1991,148.5,70.98,parisro01-1991
shawbr01,29,1.3,199104260BOS-BOS,199104260BOS-IND,BOS-1991,1,1991,37.7,70.98,shawbr01-1991
brownde01,27,0.6,199104260BOS-BOS,199104260BOS-IND,BOS-1991,1,1991,16.2,70.98,brownde01-1991
mchalke01,27,3.3,199104260BOS-BOS,199104260BOS-IND,BOS-1991,1,1991,89.1,70.98,mchalke01-1991
gamblke01,23,0.2,199104260BOS-BOS,199104260BOS-IND,BOS-1991,1,1991,4.6000000000000005,70.98,gamblke01-1991
pincked01,13,1.6,199104260BOS-BOS,199104260BOS-IND,BOS-1991,1,1991,20.8,70.98,pincked01-1991
kleinjo01,3,-0.2,199104260BOS-BOS,199104260BOS-IND,BOS-1991,1,1991,-0.6000000000000001,70.98,kleinjo01-1991
smithde02,3,-1.4,199104260BOS-BOS,199104260BOS-IND,BOS-1991,1,1991,-4.199999999999999,70.98,smithde02-1991
lewisre01,41,1.9,199104280BOS-BOS,199104280BOS-IND,BOS-1991,0,1991,77.89999999999999,29.566666666666666,lewisre01-1991
birdla01,40,0.4,199104280BOS-BOS,199104280BOS-IND,BOS-1991,0,1991,16,29.566666666666666,birdla01-1991
parisro01,40,1.1,199104280BOS-BOS,199104280BOS-IND,BOS-1991,0,1991,44,29.566666666666666,parisro01-1991
shawbr01,38,1,199104280BOS-BOS,199104280BOS-IND,BOS-1991,0,1991,38,29.566666666666666,shawbr01-1991
mchalke01,34,2.5,199104280BOS-BOS,199104280BOS-IND,BOS-1991,0,1991,85,29.566666666666666,mchalke01-1991
