player,min,VORP,id,opp_id,season_id,win,year,adj_VORP,avg_VORP,link
roseja01,39.4,1.5,200511020TOR-TOR,200511020TOR-WAS,TOR-2006,0,2006,59.099999999999994,29.06383333333333,roseja01-2006
boshch01,38.38333333333333,1.4,200511020TOR-TOR,200511020TOR-WAS,TOR-2006,0,2006,53.736666666666665,29.06383333333333,boshch01-2006
petermo01,31.683333333333334,3.4,200511020TOR-TOR,200511020TOR-WAS,TOR-2006,0,2006,107.72333333333333,29.06383333333333,petermo01-2006
jamesmi01,31.3,2.7,200511020TOR-TOR,200511020TOR-WAS,TOR-2006,0,2006,84.51,29.06383333333333,jamesmi01-2006
villach01,31.016666666666666,-0.5,200511020TOR-TOR,200511020TOR-WAS,TOR-2006,0,2006,-15.508333333333333,29.06383333333333,villach01-2006
grahajo01,20.316666666666666,0.1,200511020TOR-TOR,200511020TOR-WAS,TOR-2006,0,2006,2.0316666666666667,29.06383333333333,grahajo01-2006
caldejo01,16.716666666666665,3.2,200511020TOR-TOR,200511020TOR-WAS,TOR-2006,0,2006,53.49333333333333,29.06383333333333,caldejo01-2006
bonnema01,14.033333333333333,-4.4,200511020TOR-TOR,200511020TOR-WAS,TOR-2006,0,2006,-61.74666666666667,29.06383333333333,bonnema01-2006
woodslo01,12.216666666666667,0.8,200511020TOR-TOR,200511020TOR-WAS,TOR-2006,0,2006,9.773333333333333,29.06383333333333,woodslo01-2006
araujra01,4.95,-0.5,200511020TOR-TOR,200511020TOR-WAS,TOR-2006,0,2006,-2.475,29.06383333333333,araujra01-2006
boshch01,39.9,1.6,200511040TOR-TOR,200511040TOR-NJN,TOR-2006,0,2006,63.84,23.297424242424242,boshch01-2006
caldejo01,32.9,10.2,200511040TOR-TOR,200511040TOR-NJN,TOR-2006,0,2006,335.58,23.297424242424242,caldejo01-2006
jamesmi01,31.766666666666666,-1,200511040TOR-TOR,200511040TOR-NJN,TOR-2006,0,2006,-31.766666666666666,23.297424242424242,jamesmi01-2006
villach01,30.166666666666668,-2.4,200511040TOR-TOR,200511040TOR-NJN,TOR-2006,0,2006,-72.4,23.297424242424242,villach01-2006
petermo01,29.85,5.4,200511040TOR-TOR,200511040TOR-NJN,TOR-2006,0,2006,161.19000000000003,23.297424242424242,petermo01-2006
roseja01,23.166666666666668,-4.4,200511040TOR-TOR,200511040TOR-NJN,TOR-2006,0,2006,-101.93333333333335,23.297424242424242,roseja01-2006
grahajo01,21.8,-4.5,200511040TOR-TOR,200511040TOR-NJN,TOR-2006,0,2006,-98.10000000000001,23.297424242424242,grahajo01-2006
woodslo01,11.35,-0.9,200511040TOR-TOR,200511040TOR-NJN,TOR-2006,0,2006,-10.215,23.297424242424242,woodslo01-2006
bonnema01,11.333333333333334,2.3,200511040TOR-TOR,200511040TOR-NJN,TOR-2006,0,2006,26.066666666666666,23.297424242424242,bonnema01-2006
araujra01,5.15,-2.8,200511040TOR-TOR,200511040TOR-NJN,TOR-2006,0,2006,-14.42,23.297424242424242,araujra01-2006
williaa01,2.6166666666666667,-0.6,200511040TOR-TOR,200511040TOR-NJN,TOR-2006,0,2006,-1.57,23.297424242424242,williaa01-2006
princta01,34.016666666666666,10.9,200511050DET-DET,200511050DET-TOR,DET-2006,1,2006,370.7816666666667,81.4440909090909,princta01-2006
billuch01,30.483333333333334,3,200511050DET-DET,200511050DET-TOR,DET-2006,1,2006,91.45,81.4440909090909,billuch01-2006
wallabe01,29,9,200511050DET-DET,200511050DET-TOR,DET-2006,1,2006,261,81.4440909090909,wallabe01-2006
hamilri01,27.166666666666668,0.2,200511050DET-DET,200511050DET-TOR,DET-2006,1,2006,5.433333333333334,81.4440909090909,hamilri01-2006
wallara01,21.183333333333334,0.3,200511050DET-DET,200511050DET-TOR,DET-2006,1,2006,6.3549999999999995,81.4440909090909,wallara01-2006
evansma01,20.833333333333332,6.2,200511050DET-DET,200511050DET-TOR,DET-2006,1,2006,129.16666666666666,81.4440909090909,evansma01-2006
mcdyean01,19.45,0.4,200511050DET-DET,200511050DET-TOR,DET-2006,1,2006,7.78,81.4440909090909,mcdyean01-2006
arroyca01,17.516666666666666,5.8,200511050DET-DET,200511050DET-TOR,DET-2006,1,2006,101.59666666666666,81.4440909090909,arroyca01-2006
