"","player_id","seconds","bpm","total","vorp","year","type"
"1","youngtr01",2235,10.9,2880,10,2020,"reg"
"2","collijo01",1814,4.2,2880,3.9,2020,"reg"
"3","huntede01",1527,-0.7,2880,0.7,2020,"reg"
"4","lenal01",1433,-4.8,2880,-1.4,2020,"reg"
"5","reddica01",1287,-12.6,2880,-4.7,2020,"reg"
"6","bembrde01",1411,8.4,2880,5.1,2020,"reg"
"7","parkeja01",1361,4.7,2880,3.2,2020,"reg"
"8","turneev01",1008,16.1,2880,6.3,2020,"reg"
"9","fernabr01",866,2.7,2880,1.4,2020,"reg"
"10","huertke01",844,-19.3,2880,-5.1,2020,"reg"
"11","cartevi01",614,-17.6,2880,-3.3,2020,"reg"
"12","youngtr01",2159,17.6,2880,14.7,2020,"reg"
"13","collijo01",1984,-2.8,2880,-0.6,2020,"reg"
"14","reddica01",1379,-9.3,2880,-3.5,2020,"reg"
"15","huntede01",1321,-1.6,2880,0.2,2020,"reg"
"16","lenal01",1179,-9.4,2880,-3,2020,"reg"
"17","bembrde01",1537,-3.7,2880,-0.9,2020,"reg"
"18","huertke01",1242,7.5,2880,4.1,2020,"reg"
"19","parkeja01",1066,-1.9,2880,0,2020,"reg"
"20","cartevi01",715,1,2880,0.7,2020,"reg"
"21","turneev01",644,-15.4,2880,-3,2020,"reg"
"22","jonesda03",637,0.6,2880,0.6,2020,"reg"
"23","fernabr01",537,5.4,2880,1.4,2020,"reg"
"24","youngtr01",2069,-2.6,2880,-0.4,2020,"reg"
"25","huntede01",1813,-0.4,2880,1,2020,"reg"
"26","collijo01",1734,1.9,2880,2.3,2020,"reg"
"27","reddica01",1604,-7.6,2880,-3.1,2020,"reg"
"28","lenal01",1090,-1.2,2880,0.3,2020,"reg"
"29","parkeja01",1323,-8,2880,-2.8,2020,"reg"
"30","bembrde01",1219,-2.1,2880,0,2020,"reg"
"31","huertke01",1212,4.5,2880,2.7,2020,"reg"
"32","fernabr01",934,12.9,2880,4.8,2020,"reg"
"33","cartevi01",643,3.3,2880,1.2,2020,"reg"
"34","turneev01",403,15.9,2880,2.5,2020,"reg"
"35","jonesda03",352,-0.3,2880,0.2,2020,"reg"
"36","collijo01",2133,13.4,2880,11.4,2020,"reg"
"37","huntede01",1676,-13.4,2880,-6.6,2020,"reg"
"38","reddica01",1560,-13.1,2880,-6,2020,"reg"
"39","lenal01",1080,-4.7,2880,-1,2020,"reg"
"40","youngtr01",664,-1.9,2880,0,2020,"reg"
"41","bembrde01",1627,1.7,2880,2.1,2020,"reg"
"42","parkeja01",1366,-7.3,2880,-2.5,2020,"reg"
"43","huertke01",1153,-5.8,2880,-1.5,2020,"reg"
"44","cartevi01",1093,-12,2880,-3.8,2020,"reg"
"45","wallaty01",867,5.3,2880,2.2,2020,"reg"
"46","fernabr01",712,-3.5,2880,-0.4,2020,"reg"
"47","jonesda03",469,12.6,2880,2.4,2020,"reg"
"48","collijo01",1984,-0.8,2880,0.8,2020,"reg"
"49","reddica01",1712,-1.3,2880,0.4,2020,"reg"
"50","huntede01",1703,-12.9,2880,-6.4,2020,"reg"
"51","huertke01",1554,-6.6,2880,-2.5,2020,"reg"
"52","lenal01",850,-9.2,2880,-2.1,2020,"reg"
"53","bembrde01",1699,14,2880,9.4,2020,"reg"
"54","parkeja01",1528,12,2880,7.4,2020,"reg"
"55","wallaty01",1168,-4.7,2880,-1.1,2020,"reg"
"56","cartevi01",988,-14.4,2880,-4.3,2020,"reg"
"57","jonesda03",983,-4.5,2880,-0.9,2020,"reg"
"58","fernabr01",231,-5.5,2880,-0.3,2020,"reg"
"59","huntede01",2170,-0.1,2880,1.4,2020,"reg"
"60","parkeja01",1892,1.4,2880,2.2,2020,"reg"
"61","youngtr01",1784,15.9,2880,11.1,2020,"reg"
"62","reddica01",1722,2.6,2880,2.8,2020,"reg"
"63","lenal01",867,-8.3,2880,-1.9,2020,"reg"
"64","huertke01",1497,-5.7,2880,-1.9,2020,"reg"
"65","bembrde01",1130,-4.9,2880,-1.1,2020,"reg"
"66","jonesda03",1104,-0.6,2880,0.5,2020,"reg"
"67","cartevi01",967,-4.4,2880,-0.8,2020,"reg"
"68","fernabr01",889,-5.9,2880,-1.2,2020,"reg"
"69","wallaty01",378,-11,2880,-1.2,2020,"reg"
"70","youngtr01",1752,-14.6,2880,-7.7,2020,"reg"
"71","parkeja01",1749,1.4,2880,2.1,2020,"reg"
"72","huntede01",1600,-8.3,2880,-3.5,2020,"reg"
"73","reddica01",1384,-15.7,2880,-6.6,2020,"reg"
"74","lenal01",669,7.1,2880,2.1,2020,"reg"
"75","bembrde01",1533,-3.7,2880,-0.9,2020,"reg"
"76","huertke01",1435,1.2,2880,1.6,2020,"reg"
"77","fernabr01",1252,4.7,2880,2.9,2020,"reg"
"78","cartevi01",989,14.2,2880,5.6,2020,"reg"
"79","wallaty01",965,-15.5,2880,-4.5,2020,"reg"
"80","jonesda03",856,-4.5,2880,-0.7,2020,"reg"
"81","brownch02",216,8.9,2880,0.8,2020,"reg"
"82","youngtr01",2376,12.6,2880,12,2020,"reg"
"83","parkeja01",1937,7.5,2880,6.4,2020,"reg"
"84","huntede01",1332,-15.4,2880,-6.2,2020,"reg"
"85","reddica01",1304,-8.1,2880,-2.8,2020,"reg"
"86","lenal01",1303,-6.5,2880,-2,2020,"reg"
"87","huertke01",1793,7.5,2880,5.9,2020,"reg"
"88","bembrde01",1492,-12,2880,-5.2,2020,"reg"
"89","cartevi01",972,-3.6,2880,-0.5,2020,"reg"
"90","jonesda03",881,-15.9,2880,-4.3,2020,"reg"
"91","fernabr01",580,-20.5,2880,-3.7,2020,"reg"
"92","wallaty01",430,-9.5,2880,-1.1,2020,"reg"
"93","youngtr01",2578,2.6,3180,3.7,2020,"reg"
"94","huntede01",2338,-4.3,3180,-1.7,2020,"reg"
"95","parkeja01",2212,8,3180,7,2020,"reg"
"96","huertke01",1855,-5.7,3180,-2.2,2020,"reg"
"97","lenal01",916,-8.7,3180,-1.9,2020,"reg"
"98","bembrde01",2401,-3.3,3180,-1,2020,"reg"
"99","jonesda03",1445,1.1,3180,1.4,2020,"reg"
