"","player_id","seconds","bpm","total","vorp","year","type"
"1","goberru01",2275,-6.3,2880,-3.4,2020,"reg"
"2","mitchdo01",2184,16.9,2880,14.3,2020,"reg"
"3","onealro01",1807,9.5,2880,7.2,2020,"reg"
"4","conlemi01",1603,-17.4,2880,-8.6,2020,"reg"
"5","bogdabo02",1434,4.8,2880,3.4,2020,"reg"
"6","inglejo01",1959,-4.9,2880,-2,2020,"reg"
"7","mudiaem01",1379,10.3,2880,5.9,2020,"reg"
"8","greenje02",994,-0.5,2880,0.5,2020,"reg"
"9","davised01",605,-9.8,2880,-1.6,2020,"reg"
"10","niangge01",160,-0.8,2880,0.1,2020,"reg"
"11","mitchdo01",2038,13.1,2880,10.7,2020,"reg"
"12","goberru01",1944,0.6,2880,1.8,2020,"reg"
"13","conlemi01",1875,-5.1,2880,-2,2020,"reg"
"14","inglejo01",1703,-5.5,2880,-2.1,2020,"reg"
"15","greenje02",1403,-8.2,2880,-3,2020,"reg"
"16","onealro01",1601,-6.4,2880,-2.4,2020,"reg"
"17","niangge01",1382,0.2,2880,1.1,2020,"reg"
"18","mudiaem01",932,1.8,2880,1.2,2020,"reg"
"19","davised01",608,-1.7,2880,0.1,2020,"reg"
"20","bradlto01",328,7.9,2880,1.1,2020,"reg"
"21","brantja01",279,21.4,2880,2.3,2020,"reg"
"22","kiddst01",279,-7.3,2880,-0.5,2020,"reg"
"23","willini01",28,-3.7,2880,0,2020,"reg"
"24","mitchdo01",1535,11.5,2880,7.2,2020,"reg"
"25","goberru01",1503,-0.9,2880,0.6,2020,"reg"
"26","bogdabo02",1459,10.4,2880,6.3,2020,"reg"
"27","conlemi01",1452,3.8,2880,2.9,2020,"reg"
"28","onealro01",1377,7.8,2880,4.7,2020,"reg"
"29","inglejo01",1527,9,2880,5.8,2020,"reg"
"30","mudiaem01",1428,-12.6,2880,-5.3,2020,"reg"
"31","davised01",1095,-2.5,2880,-0.2,2020,"reg"
"32","greenje02",1085,5.9,2880,3,2020,"reg"
"33","niangge01",930,11.1,2880,4.2,2020,"reg"
"34","kiddst01",445,-28.1,2880,-4,2020,"reg"
"35","bradlto01",282,6.3,2880,0.8,2020,"reg"
"36","willini01",282,-10.2,2880,-0.8,2020,"reg"
"37","bogdabo02",2239,12.5,2880,11.3,2020,"reg"
"38","mitchdo01",2226,-0.9,2880,0.9,2020,"reg"
"39","goberru01",2132,5.8,2880,5.8,2020,"reg"
"40","onealro01",1903,5.8,2880,5.2,2020,"reg"
"41","conlemi01",1210,-23.3,2880,-8.9,2020,"reg"
"42","inglejo01",1537,-4.6,2880,-1.4,2020,"reg"
"43","mudiaem01",1013,0,2880,0.7,2020,"reg"
"44","greenje02",843,3.5,2880,1.6,2020,"reg"
"45","davised01",748,-5.8,2880,-1,2020,"reg"
"46","niangge01",549,-15.1,2880,-2.5,2020,"reg"
"47","mitchdo01",2099,0.4,2880,1.7,2020,"reg"
"48","goberru01",1958,-1.8,2880,0.1,2020,"reg"
"49","conlemi01",1920,14,2880,10.7,2020,"reg"
"50","bogdabo02",1841,-8.1,2880,-3.9,2020,"reg"
"51","onealro01",1423,-2.9,2880,-0.4,2020,"reg"
"52","inglejo01",1863,4.3,2880,4.1,2020,"reg"
"53","greenje02",1168,5.2,2880,2.9,2020,"reg"
"54","mudiaem01",960,6,2880,2.7,2020,"reg"
"55","davised01",840,4.5,2880,1.9,2020,"reg"
"56","bradlto01",82,-6.3,2880,-0.1,2020,"reg"
"57","kiddst01",82,-4.7,2880,-0.1,2020,"reg"
"58","niangge01",82,-5.9,2880,-0.1,2020,"reg"
"59","willini01",82,-40.5,2880,-1.1,2020,"reg"
"60","goberru01",2280,2.8,2880,3.8,2020,"reg"
"61","bogdabo02",2144,0.9,2880,2.2,2020,"reg"
"62","mitchdo01",2111,4,2880,4.4,2020,"reg"
"63","conlemi01",1985,4.1,2880,4.2,2020,"reg"
"64","onealro01",1386,0.9,2880,1.4,2020,"reg"
"65","inglejo01",1786,-6.1,2880,-2.5,2020,"reg"
"66","greenje02",1356,-4.1,2880,-1,2020,"reg"
"67","mudiaem01",886,-3.9,2880,-0.6,2020,"reg"
"68","davised01",466,-14.8,2880,-2.1,2020,"reg"
"69","conlemi01",2121,-15.9,2880,-10.2,2020,"reg"
"70","bogdabo02",2098,1.4,2880,2.5,2020,"reg"
"71","onealro01",2061,-7.7,2880,-4.1,2020,"reg"
"72","goberru01",2043,0.4,2880,1.7,2020,"reg"
"73","mitchdo01",2038,20.6,2880,16,2020,"reg"
"74","inglejo01",1683,2,2880,2.3,2020,"reg"
"75","greenje02",1144,-4.4,2880,-1,2020,"reg"
"76","bradlto01",837,5.7,2880,2.2,2020,"reg"
"77","niangge01",375,-3.9,2880,-0.2,2020,"reg"
"78","goberru01",2168,7.2,2880,6.9,2020,"reg"
"79","bogdabo02",2127,3.4,2880,4,2020,"reg"
"80","mitchdo01",2126,1.7,2880,2.7,2020,"reg"
"81","conlemi01",2056,-2.5,2880,-0.4,2020,"reg"
"82","onealro01",1693,1.5,2880,2.1,2020,"reg"
"83","inglejo01",1754,2.7,2880,2.9,2020,"reg"
"84","greenje02",1113,-12,2880,-3.9,2020,"reg"
"85","bradlto01",712,7.3,2880,2.3,2020,"reg"
"86","niangge01",651,-14.9,2880,-2.9,2020,"reg"
"87","mitchdo01",2299,-3.9,2880,-1.5,2020,"reg"
"88","bogdabo02",2253,11.5,2880,10.6,2020,"reg"
"89","onealro01",2218,10.8,2880,9.9,2020,"reg"
"90","goberru01",2191,-0.2,2880,1.4,2020,"reg"
"91","conlemi01",1902,7.9,2880,6.5,2020,"reg"
"92","inglejo01",1247,-11.4,2880,-4.1,2020,"reg"
"93","greenje02",900,-13.9,2880,-3.7,2020,"reg"
"94","niangge01",701,-6.1,2880,-1,2020,"reg"
"95","bradlto01",689,6.8,2880,2.1,2020,"reg"
"96","goberru01",2070,9.2,2880,8,2020,"reg"
"97","mitchdo01",1981,3.7,2880,3.9,2020,"reg"
"98","conlemi01",1873,13.1,2880,9.8,2020,"reg"
"99","bogdabo02",1824,-14.5,2880,-7.9,2020,"reg"
"100","onealro01",1657,-2.1,2880,-0.1,2020,"reg"
"101","inglejo01",1620,0.9,2880,1.6,2020,"reg"
"102","greenje02",1245,1.4,2880,1.5,2020,"reg"
"103","mudiaem01",896,2.4,2880,1.4,2020,"reg"
"104","bradlto01",810,-8,2880,-1.7,2020,"reg"
"105","kiddst01",111,-10.8,2880,-0.3,2020,"reg"
"106","niangge01",111,15,2880,0.7,2020,"reg"
"107","willini01",111,-31.4,2880,-1.1,2020,"reg"
"108","onimi01",91,-5.1,2880,-0.1,2020,"reg"
"109","mitchdo01",2264,2.7,2880,3.7,2020,"reg"
"110","goberru01",2253,9,2880,8.6,2020,"reg"
"111","bogdabo02",1803,-2.6,2880,-0.4,2020,"reg"
"112","conlemi01",1803,-2.3,2880,-0.2,2020,"reg"
"113","onealro01",1330,4.8,2880,3.1,2020,"reg"
"114","inglejo01",1933,-10,2880,-5.4,2020,"reg"
"115","greenje02",1310,5.2,2880,3.3,2020,"reg"
"116","mudiaem01",1077,11.6,2880,5.1,2020,"reg"
"117","bradlto01",627,-6.3,2880,-0.9,2020,"reg"
"118","goberru01",2189,11.5,2880,10.3,2020,"reg"
"119","mitchdo01",2161,9.9,2880,8.9,2020,"reg"
"120","conlemi01",2101,-5.2,2880,-2.3,2020,"reg"
"121","bogdabo02",2088,-0.2,2880,1.3,2020,"reg"
"122","onealro01",2088,-0.5,2880,1.1,2020,"reg"
"123","greenje02",1236,-11.8,2880,-4.2,2020,"reg"
"124","inglejo01",1066,-3.2,2880,-0.4,2020,"reg"
"125","mudiaem01",779,-0.3,2880,0.5,2020,"reg"
"126","bradlto01",691,-20.7,2880,-4.5,2020,"reg"
"127","goberru01",2172,1.8,2880,2.9,2020,"reg"
"128","conlemi01",2047,-1.1,2880,0.6,2020,"reg"
"129","mitchdo01",2030,-7.7,2880,-4,2020,"reg"
"130","bogdabo02",1858,-2.5,2880,-0.3,2020,"reg"
"131","onealro01",1521,6.4,2880,4.4,2020,"reg"
"132","inglejo01",2017,-1.5,2880,0.4,2020,"reg"
"133","greenje02",1072,-3.3,2880,-0.5,2020,"reg"
"134","mudiaem01",842,-2,2880,0,2020,"reg"
"135","exumda01",841,-4.5,2880,-0.7,2020,"reg"
"136","mitchdo01",2257,1.8,2880,3,2020,"reg"
"137","bogdabo02",2166,11.9,2880,10.5,2020,"reg"
"138","goberru01",2120,1.2,2880,2.4,2020,"reg"
"139","conlemi01",1851,10.9,2880,8.3,2020,"reg"
"140","onealro01",1758,0.6,2880,1.6,2020,"reg"
"141","inglejo01",1633,-2.5,2880,-0.3,2020,"reg"
"142","mudiaem01",935,-18,2880,-5.2,2020,"reg"
"143","greenje02",927,-8,2880,-1.9,2020,"reg"
"144","exumda01",474,-16.9,2880,-2.5,2020,"reg"
"145","niangge01",279,-16.1,2880,-1.4,2020,"reg"
"146","mitchdo01",2099,3.7,2880,4.2,2020,"reg"
"147","bogdabo02",2073,-4.4,2880,-1.7,2020,"reg"
"148","goberru01",2073,0.1,2880,1.5,2020,"reg"
"149","onealro01",1892,-0.5,2880,1,2020,"reg"
"150","conlemi01",1852,12.4,2880,9.3,2020,"reg"
"151","inglejo01",1646,-10.6,2880,-4.9,2020,"reg"
"152","greenje02",1029,-8.9,2880,-2.5,2020,"reg"
"153","mudiaem01",929,-2.3,2880,-0.1,2020,"reg"
"154","bradlto01",418,2.1,2880,0.6,2020,"reg"
"155","exumda01",389,5,2880,0.9,2020,"reg"
"156","bogdabo02",2189,3.2,2880,4,2020,"reg"
"157","mitchdo01",2174,4.2,2880,4.7,2020,"reg"
"158","onealro01",2136,4,2880,4.4,2020,"reg"
"159","conlemi01",1797,-4.2,2880,-1.4,2020,"reg"
"160","bradlto01",1305,0.2,2880,1,2020,"reg"
"161","greenje02",1575,6,2880,4.4,2020,"reg"
"162","inglejo01",1496,-14,2880,-6.2,2020,"reg"
"163","mudiaem01",928,2.2,2880,1.4,2020,"reg"
"164","niangge01",498,15.9,2880,3.1,2020,"reg"
"165","exumda01",302,-13.7,2880,-1.2,2020,"reg"
"166","bogdabo02",2063,7.7,2880,6.9,2020,"reg"
"167","mitchdo01",2049,-7.3,2880,-3.8,2020,"reg"
"168","onealro01",1818,1.5,2880,2.2,2020,"reg"
"169","conlemi01",1730,-11.7,2880,-5.8,2020,"reg"
"170","bradlto01",1406,6.7,2880,4.2,2020,"reg"
"171","inglejo01",1630,6.5,2880,4.8,2020,"reg"
"172","greenje02",1507,1.5,2880,1.8,2020,"reg"
"173","mudiaem01",1150,-0.2,2880,0.7,2020,"reg"
"174","niangge01",1047,3.5,2880,2,2020,"reg"
"175","bogdabo02",2267,6.9,2880,7,2020,"reg"
"176","mitchdo01",1836,3.1,2880,3.3,2020,"reg"
"177","goberru01",1818,-2,2880,0,2020,"reg"
"178","conlemi01",1683,-7.1,2880,-3,2020,"reg"
"179","onealro01",1605,-11.1,2880,-5.1,2020,"reg"
"180","inglejo01",1687,7.5,2880,5.6,2020,"reg"
"181","niangge01",937,-9.9,2880,-2.6,2020,"reg"
"182","greenje02",913,-4.1,2880,-0.7,2020,"reg"
"183","mudiaem01",797,-10.6,2880,-2.4,2020,"reg"
"184","bradlto01",323,1.2,2880,0.4,2020,"reg"
"185","exumda01",178,8.4,2880,0.6,2020,"reg"
"186","morgaju01",178,-9.7,2880,-0.5,2020,"reg"
"187","onimi01",178,-21.7,2880,-1.2,2020,"reg"
"188","mitchdo01",2221,0.9,2880,2.2,2020,"reg"
"189","goberru01",2153,4.5,2880,4.9,2020,"reg"
"190","bogdabo02",2069,14.8,2880,12.1,2020,"reg"
"191","onealro01",1998,3,2880,3.5,2020,"reg"
"192","conlemi01",1901,-3,2880,-0.7,2020,"reg"
"193","inglejo01",1541,-11.2,2880,-4.9,2020,"reg"
"194","greenje02",950,-3.9,2880,-0.6,2020,"reg"
"195","davised01",727,-5.9,2880,-1,2020,"reg"
"196","mudiaem01",577,-11.7,2880,-1.9,2020,"reg"
"197","exumda01",263,27.5,2880,2.7,2020,"reg"
"198","mitchdo01",1844,0.4,2880,1.5,2020,"reg"
"199","bogdabo02",1775,-7.5,2880,-3.4,2020,"reg"
"200","goberru01",1705,-4,2880,-1.2,2020,"reg"
"201","conlemi01",1506,9.9,2880,6.2,2020,"reg"
"202","onealro01",1164,7.6,2880,3.9,2020,"reg"
"203","inglejo01",1534,-1.2,2880,0.4,2020,"reg"
"204","mudiaem01",1023,-22.5,2880,-7.3,2020,"reg"
"205","greenje02",871,15.6,2880,5.3,2020,"reg"
"206","davised01",780,-5.5,2880,-0.9,2020,"reg"
"207","niangge01",720,-14.7,2880,-3.2,2020,"reg"
"208","exumda01",688,-0.7,2880,0.3,2020,"reg"
"209","bradlto01",394,0.9,2880,0.4,2020,"reg"
"210","willini01",394,-6.7,2880,-0.6,2020,"reg"
"211","goberru01",2187,11.7,2880,10.4,2020,"reg"
"212","mitchdo01",2159,-4.1,2880,-1.6,2020,"reg"
"213","bogdabo02",1966,-12.7,2880,-7.3,2020,"reg"
"214","onealro01",1771,-5.2,2880,-2,2020,"reg"
"215","conlemi01",1399,-1.8,2880,0.1,2020,"reg"
"216","inglejo01",1836,7,2880,5.7,2020,"reg"
"217","greenje02",990,-7,2880,-1.7,2020,"reg"
"218","niangge01",725,8.6,2880,2.7,2020,"reg"
"219","davised01",618,2.5,2880,1,2020,"reg"
"220","exumda01",400,-1.3,2880,0.1,2020,"reg"
"221","mudiaem01",274,-2.1,2880,0,2020,"reg"
"222","bradlto01",75,24.1,2880,0.7,2020,"reg"
"223","bogdabo02",2117,8,2880,7.4,2020,"reg"
"224","mitchdo01",1984,6.3,2880,5.7,2020,"reg"
