player,min,VORP,id,opp_id,season_id,win,year,adj_VORP,avg_VORP,link
normake01,44,9.4,198911030LAC-LAC,198911030LAC-HOU,LAC-1990,1,1990,413.6,62.540000000000006,normake01-1990
willire01,32,1.7,198911030LAC-LAC,198911030LAC-HOU,LAC-1990,1,1990,54.4,62.540000000000006,willire01-1990
grantga01,30,-3.9,198911030LAC-LAC,198911030LAC-HOU,LAC-1990,1,1990,-117,62.540000000000006,grantga01-1990
wolfjo01,28,1.5,198911030LAC-LAC,198911030LAC-HOU,LAC-1990,1,1990,42,62.540000000000006,wolfjo01-1990
youngmi01,28,7.5,198911030LAC-LAC,198911030LAC-HOU,LAC-1990,1,1990,210,62.540000000000006,youngmi01-1990
smithch01,20,-0.1,198911030LAC-LAC,198911030LAC-HOU,LAC-1990,1,1990,-2,62.540000000000006,smithch01-1990
mckinca01,20,2.1,198911030LAC-LAC,198911030LAC-HOU,LAC-1990,1,1990,42,62.540000000000006,mckinca01-1990
bannike01,18,-2.9,198911030LAC-LAC,198911030LAC-HOU,LAC-1990,1,1990,-52.199999999999996,62.540000000000006,bannike01-1990
garrito01,18,2.2,198911030LAC-LAC,198911030LAC-HOU,LAC-1990,1,1990,39.6,62.540000000000006,garrito01-1990
brynto01,2,-2.5,198911030LAC-LAC,198911030LAC-HOU,LAC-1990,1,1990,-5,62.540000000000006,brynto01-1990
mullich01,38,5.6,198911040GSW-GSW,198911040GSW-HOU,GSW-1990,0,1990,212.79999999999998,-3.6727272727272737,mullich01-1990
richmmi01,33,0.2,198911040GSW-GSW,198911040GSW-HOU,GSW-1990,0,1990,6.6000000000000005,-3.6727272727272737,richmmi01-1990
garlawi01,29,-4.1,198911040GSW-GSW,198911040GSW-HOU,GSW-1990,0,1990,-118.89999999999999,-3.6727272727272737,garlawi01-1990
higgiro01,27,0.3,198911040GSW-GSW,198911040GSW-HOU,GSW-1990,0,1990,8.1,-3.6727272727272737,higgiro01-1990
marcisa01,26,0.4,198911040GSW-GSW,198911040GSW-HOU,GSW-1990,0,1990,10.4,-3.6727272727272737,marcisa01-1990
teaglte01,24,-1.7,198911040GSW-GSW,198911040GSW-HOU,GSW-1990,0,1990,-40.8,-3.6727272727272737,teaglte01-1990
hardati01,17,-4.2,198911040GSW-GSW,198911040GSW-HOU,GSW-1990,0,1990,-71.4,-3.6727272727272737,hardati01-1990
listeal01,17,-1.3,198911040GSW-GSW,198911040GSW-HOU,GSW-1990,0,1990,-22.1,-3.6727272727272737,listeal01-1990
bolma01,14,-1.9,198911040GSW-GSW,198911040GSW-HOU,GSW-1990,0,1990,-26.599999999999998,-3.6727272727272737,bolma01-1990
blabuw01,12,0,198911040GSW-GSW,198911040GSW-HOU,GSW-1990,0,1990,0,-3.6727272727272737,blabuw01-1990
taylole01,3,0.5,198911040GSW-GSW,198911040GSW-HOU,GSW-1990,0,1990,1.5,-3.6727272727272737,taylole01-1990
olajuha01,33,-0.8,198911070HOU-HOU,198911070HOU-POR,HOU-1990,1,1990,-26.400000000000002,44.18333333333334,olajuha01-1990
thorpot01,31,2.2,198911070HOU-HOU,198911070HOU-POR,HOU-1990,1,1990,68.2,44.18333333333334,thorpot01-1990
johnsbu01,29,4.9,198911070HOU-HOU,198911070HOU-POR,HOU-1990,1,1990,142.10000000000002,44.18333333333334,johnsbu01-1990
floydsl01,27,2.2,198911070HOU-HOU,198911070HOU-POR,HOU-1990,1,1990,59.400000000000006,44.18333333333334,floydsl01-1990
