player,min,VORP,id,opp_id,season_id,win,year,adj_VORP,avg_VORP,link
ellisda01,43,9.9,198911030SEA-SEA,198911030SEA-MIN,SEA-1990,1,1990,425.7,69.27,ellisda01-1990
mckeyde01,40,2.7,198911030SEA-SEA,198911030SEA-MIN,SEA-1990,1,1990,108,69.27,mckeyde01-1990
mcdanxa01,33,5.1,198911030SEA-SEA,198911030SEA-MIN,SEA-1990,1,1990,168.29999999999998,69.27,mcdanxa01-1990
cagemi01,30,-1.2,198911030SEA-SEA,198911030SEA-MIN,SEA-1990,1,1990,-36,69.27,cagemi01-1990
threase01,29,0.4,198911030SEA-SEA,198911030SEA-MIN,SEA-1990,1,1990,11.600000000000001,69.27,threase01-1990
sellebr01,25,2,198911030SEA-SEA,198911030SEA-MIN,SEA-1990,1,1990,50,69.27,sellebr01-1990
mcmilna01,14,-2.1,198911030SEA-SEA,198911030SEA-MIN,SEA-1990,1,1990,-29.400000000000002,69.27,mcmilna01-1990
kempsh01,10,-0.2,198911030SEA-SEA,198911030SEA-MIN,SEA-1990,1,1990,-2,69.27,kempsh01-1990
polynol01,9,-1.4,198911030SEA-SEA,198911030SEA-MIN,SEA-1990,1,1990,-12.6,69.27,polynol01-1990
barroda01,7,1.3,198911030SEA-SEA,198911030SEA-MIN,SEA-1990,1,1990,9.1,69.27,barroda01-1990
mccraro01,41,10.5,198911040SAC-SAC,198911040SAC-SEA,SAC-1990,1,1990,430.5,89.55,mccraro01-1990
aingeda01,40,8.7,198911040SAC-SAC,198911040SAC-SEA,SAC-1990,1,1990,348,89.55,aingeda01-1990
tisdawa01,40,4.3,198911040SAC-SAC,198911040SAC-SEA,SAC-1990,1,1990,172,89.55,tisdawa01-1990
smithke01,34,-6.8,198911040SAC-SAC,198911040SAC-SEA,SAC-1990,1,1990,-231.2,89.55,smithke01-1990
pressha01,34,1.9,198911040SAC-SAC,198911040SAC-SEA,SAC-1990,1,1990,64.6,89.55,pressha01-1990
delnevi01,22,-2.9,198911040SAC-SAC,198911040SAC-SEA,SAC-1990,1,1990,-63.8,89.55,delnevi01-1990
sampsra01,20,1.3,198911040SAC-SAC,198911040SAC-SEA,SAC-1990,1,1990,26,89.55,sampsra01-1990
allenra01,9,-3.3,198911040SAC-SAC,198911040SAC-SEA,SAC-1990,1,1990,-29.7,89.55,allenra01-1990
mcdanxa01,35,6.2,198911070SEA-SEA,198911070SEA-CHH,SEA-1990,1,1990,217,78.39166666666667,mcdanxa01-1990
cagemi01,30,6.5,198911070SEA-SEA,198911070SEA-CHH,SEA-1990,1,1990,195,78.39166666666667,cagemi01-1990
mckeyde01,30,7.1,198911070SEA-SEA,198911070SEA-CHH,SEA-1990,1,1990,213,78.39166666666667,mckeyde01-1990
mcmilna01,30,7.5,198911070SEA-SEA,198911070SEA-CHH,SEA-1990,1,1990,225,78.39166666666667,mcmilna01-1990
ellisda01,28,2.4,198911070SEA-SEA,198911070SEA-CHH,SEA-1990,1,1990,67.2,78.39166666666667,ellisda01-1990
threase01,22,0.8,198911070SEA-SEA,198911070SEA-CHH,SEA-1990,1,1990,17.6,78.39166666666667,threase01-1990
sellebr01,21,2.1,198911070SEA-SEA,198911070SEA-CHH,SEA-1990,1,1990,44.1,78.39166666666667,sellebr01-1990
barroda01,14,-3.3,198911070SEA-SEA,198911070SEA-CHH,SEA-1990,1,1990,-46.199999999999996,78.39166666666667,barroda01-1990
kempsh01,10,0.3,198911070SEA-SEA,198911070SEA-CHH,SEA-1990,1,1990,3,78.39166666666667,kempsh01-1990
polynol01,10,0.2,198911070SEA-SEA,198911070SEA-CHH,SEA-1990,1,1990,2,78.39166666666667,polynol01-1990
johnsav01,5,-2.4,198911070SEA-SEA,198911070SEA-CHH,SEA-1990,1,1990,-12,78.39166666666667,johnsav01-1990
meentsc01,5,3,198911070SEA-SEA,198911070SEA-CHH,SEA-1990,1,1990,15,78.39166666666667,meentsc01-1990
humphja01,62,-3.6,198911090MIL-MIL,198911090MIL-SEA,MIL-1990,1,1990,-223.20000000000002,50.73,humphja01-1990
roberal01,59,5.7,198911090MIL-MIL,198911090MIL-SEA,MIL-1990,1,1990,336.3,50.73,roberal01-1990
sikmaja01,48,2.1,198911090MIL-MIL,198911090MIL-SEA,MIL-1990,1,1990,100.80000000000001,50.73,sikmaja01-1990
piercri01,42,2.8,198911090MIL-MIL,198911090MIL-SEA,MIL-1990,1,1990,117.6,50.73,piercri01-1990
roberfr01,40,-2.1,198911090MIL-MIL,198911090MIL-SEA,MIL-1990,1,1990,-84,50.73,roberfr01-1990
colembe01,40,5.1,198911090MIL-MIL,198911090MIL-SEA,MIL-1990,1,1990,204,50.73,colembe01-1990
breuera01,26,1.3,198911090MIL-MIL,198911090MIL-SEA,MIL-1990,1,1990,33.800000000000004,50.73,breuera01-1990
brownto01,22,1.7,198911090MIL-MIL,198911090MIL-SEA,MIL-1990,1,1990,37.4,50.73,brownto01-1990
grayeje01,15,-1.1,198911090MIL-MIL,198911090MIL-SEA,MIL-1990,1,1990,-16.5,50.73,grayeje01-1990
