player,min,VORP,id,opp_id,season_id,win,year,adj_VORP,avg_VORP,link
richmmi01,45,7.9,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,355.5,63.52,richmmi01-1993
webbsp01,42,2.9,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,121.8,63.52,webbsp01-1993
simmoli01,33,3.3,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,108.89999999999999,63.52,simmoli01-1993
tisdawa01,30,-3,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,-90,63.52,tisdawa01-1993
causwdu01,29,2.7,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,78.30000000000001,63.52,causwdu01-1993
williwa02,20,3.1,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,62,63.52,williwa02-1993
brownra02,19,1.9,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,36.1,63.52,brownra02-1993
askewvi01,17,-1.9,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,-32.3,63.52,askewvi01-1993
conloma01,3,-0.5,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,-1.5,63.52,conloma01-1993
chilcpe01,2,-1.8,199211060SAC-SAC,199211060SAC-SAS,SAC-1993,1,1993,-3.6,63.52,chilcpe01-1993
ellisla01,51,-3.6,199211070DEN-DEN,199211070DEN-SAS,DEN-1993,1,1993,-183.6,47.9,ellisla01-1993
abdulma02,48,5.7,199211070DEN-DEN,199211070DEN-SAS,DEN-1993,1,1993,273.6,47.9,abdulma02-1993
willire01,46,-3.2,199211070DEN-DEN,199211070DEN-SAS,DEN-1993,1,1993,-147.20000000000002,47.9,willire01-1993
mutomdi01,42,4.3,199211070DEN-DEN,199211070DEN-SAS,DEN-1993,1,1993,180.6,47.9,mutomdi01-1993
liberma01,34,6.1,199211070DEN-DEN,199211070DEN-SAS,DEN-1993,1,1993,207.39999999999998,47.9,liberma01-1993
stithbr01,29,7.5,199211070DEN-DEN,199211070DEN-SAS,DEN-1993,1,1993,217.5,47.9,stithbr01-1993
hastisc01,15,-3.2,199211070DEN-DEN,199211070DEN-SAS,DEN-1993,1,1993,-48,47.9,hastisc01-1993
packro01,10,-2.1,199211070DEN-DEN,199211070DEN-SAS,DEN-1993,1,1993,-21,47.9,packro01-1993
brookke01,9,-1.1,199211070DEN-DEN,199211070DEN-SAS,DEN-1993,1,1993,-9.9,47.9,brookke01-1993
lichtto01,6,1.6,199211070DEN-DEN,199211070DEN-SAS,DEN-1993,1,1993,9.600000000000001,47.9,lichtto01-1993
robinda01,43,17,199211100SAS-SAS,199211100SAS-MIL,SAS-1993,1,1993,731,79.06666666666666,robinda01-1993
ellisda01,42,4,199211100SAS-SAS,199211100SAS-MIL,SAS-1993,1,1993,168,79.06666666666666,ellisda01-1993
elliose01,39,-6.1,199211100SAS-SAS,199211100SAS-MIL,SAS-1993,1,1993,-237.89999999999998,79.06666666666666,elliose01-1993
daniell01,37,3.1,199211100SAS-SAS,199211100SAS-MIL,SAS-1993,1,1993,114.7,79.06666666666666,daniell01-1993
smithla01,31,-2.6,199211100SAS-SAS,199211100SAS-MIL,SAS-1993,1,1993,-80.60000000000001,79.06666666666666,smithla01-1993
woodda01,19,2.7,199211100SAS-SAS,199211100SAS-MIL,SAS-1993,1,1993,51.300000000000004,79.06666666666666,woodda01-1993
greensi02,15,-1.9,199211100SAS-SAS,199211100SAS-MIL,SAS-1993,1,1993,-28.5,79.06666666666666,greensi02-1993
othicma01,11,0.4,199211100SAS-SAS,199211100SAS-MIL,SAS-1993,1,1993,4.4,79.06666666666666,othicma01-1993
bedfowi01,3,-3.6,199211100SAS-SAS,199211100SAS-MIL,SAS-1993,1,1993,-10.8,79.06666666666666,bedfowi01-1993
elliose01,43,-0.2,199211120SAS-SAS,199211120SAS-ATL,SAS-1993,0,1993,-8.6,14.480000000000002,elliose01-1993
daniell01,39,-1.1,199211120SAS-SAS,199211120SAS-ATL,SAS-1993,0,1993,-42.900000000000006,14.480000000000002,daniell01-1993
robinda01,36,6.5,199211120SAS-SAS,199211120SAS-ATL,SAS-1993,0,1993,234,14.480000000000002,robinda01-1993
ellisda01,31,-5.3,199211120SAS-SAS,199211120SAS-ATL,SAS-1993,0,1993,-164.29999999999998,14.480000000000002,ellisda01-1993
carran01,27,2.5,199211120SAS-SAS,199211120SAS-ATL,SAS-1993,0,1993,67.5,14.480000000000002,carran01-1993
delnevi01,26,-0.1,199211120SAS-SAS,199211120SAS-ATL,SAS-1993,0,1993,-2.6,14.480000000000002,delnevi01-1993
greensi02,18,3.1,199211120SAS-SAS,199211120SAS-ATL,SAS-1993,0,1993,55.800000000000004,14.480000000000002,greensi02-1993
smithla01,9,0.7,199211120SAS-SAS,199211120SAS-ATL,SAS-1993,0,1993,6.3,14.480000000000002,smithla01-1993
woodda01,8,1,199211120SAS-SAS,199211120SAS-ATL,SAS-1993,0,1993,8,14.480000000000002,woodda01-1993
bedfowi01,3,-2.8,199211120SAS-SAS,199211120SAS-ATL,SAS-1993,0,1993,-8.399999999999999,14.480000000000002,bedfowi01-1993
robinda01,44,10.1,199211140SAS-SAS,199211140SAS-HOU,SAS-1993,0,1993,444.4,58.89,robinda01-1993
elliose01,41,3.2,199211140SAS-SAS,199211140SAS-HOU,SAS-1993,0,1993,131.20000000000002,58.89,elliose01-1993
delnevi01,38,-2,199211140SAS-SAS,199211140SAS-HOU,SAS-1993,0,1993,-76,58.89,delnevi01-1993
