player,min,VORP,id,opp_id,season_id,win,year,adj_VORP,avg_VORP,link
oladivi01,35.96666666666667,3.9,201510280ORL-ORL,201510280ORL-WAS,ORL-2016,0,2016,140.27,25.729333333333336,oladivi01-2016
paytoel01,34.766666666666666,3.7,201510280ORL-ORL,201510280ORL-WAS,ORL-2016,0,2016,128.63666666666666,25.729333333333336,paytoel01-2016
harrito02,31.083333333333332,2.5,201510280ORL-ORL,201510280ORL-WAS,ORL-2016,0,2016,77.70833333333333,25.729333333333336,harrito02-2016
vucevni01,28.483333333333334,0.3,201510280ORL-ORL,201510280ORL-WAS,ORL-2016,0,2016,8.545,25.729333333333336,vucevni01-2016
fournev01,26.983333333333334,-3.3,201510280ORL-ORL,201510280ORL-WAS,ORL-2016,0,2016,-89.045,25.729333333333336,fournev01-2016
hezonma01,25.266666666666666,-0.6,201510280ORL-ORL,201510280ORL-WAS,ORL-2016,0,2016,-15.159999999999998,25.729333333333336,hezonma01-2016
watsocj01,21.016666666666666,-4.3,201510280ORL-ORL,201510280ORL-WAS,ORL-2016,0,2016,-90.37166666666666,25.729333333333336,watsocj01-2016
gordoaa01,17.016666666666666,5.9,201510280ORL-ORL,201510280ORL-WAS,ORL-2016,0,2016,100.39833333333334,25.729333333333336,gordoaa01-2016
dedmode01,14.733333333333333,-0.6,201510280ORL-ORL,201510280ORL-WAS,ORL-2016,0,2016,-8.84,25.729333333333336,dedmode01-2016
smithja02,4.683333333333334,1.1,201510280ORL-ORL,201510280ORL-WAS,ORL-2016,0,2016,5.151666666666667,25.729333333333336,smithja02-2016
middlkh01,38.88333333333333,-1,201510300MIL-MIL,201510300MIL-WAS,MIL-2016,0,2016,-38.88333333333333,32.7855,middlkh01-2016
cartemi01,35.53333333333333,4.8,201510300MIL-MIL,201510300MIL-WAS,MIL-2016,0,2016,170.55999999999997,32.7855,cartemi01-2016
monrogr01,34.93333333333333,4.9,201510300MIL-MIL,201510300MIL-WAS,MIL-2016,0,2016,171.17333333333332,32.7855,monrogr01-2016
antetgi01,34.15,2.2,201510300MIL-MIL,201510300MIL-WAS,MIL-2016,0,2016,75.13000000000001,32.7855,antetgi01-2016
obryajo01,27.716666666666665,0.5,201510300MIL-MIL,201510300MIL-WAS,MIL-2016,0,2016,13.858333333333333,32.7855,obryajo01-2016
bayleje01,27.033333333333335,1.5,201510300MIL-MIL,201510300MIL-WAS,MIL-2016,0,2016,40.550000000000004,32.7855,bayleje01-2016
vasqugr01,16.6,-4.9,201510300MIL-MIL,201510300MIL-WAS,MIL-2016,0,2016,-81.34000000000002,32.7855,vasqugr01-2016
plumlmi01,13.066666666666666,-1.9,201510300MIL-MIL,201510300MIL-WAS,MIL-2016,0,2016,-24.826666666666664,32.7855,plumlmi01-2016
copelch01,8.833333333333334,0.7,201510300MIL-MIL,201510300MIL-WAS,MIL-2016,0,2016,6.183333333333334,32.7855,copelch01-2016
inglida01,3.25,-1.4,201510300MIL-MIL,201510300MIL-WAS,MIL-2016,0,2016,-4.55,32.7855,inglida01-2016
bealbr01,37.2,1.9,201510310WAS-WAS,201510310WAS-NYK,WAS-2016,0,2016,70.68,26.96969696969697,bealbr01-2016
walljo01,35.75,5.7,201510310WAS-WAS,201510310WAS-NYK,WAS-2016,0,2016,203.775,26.96969696969697,walljo01-2016
porteot01,35,3,201510310WAS-WAS,201510310WAS-NYK,WAS-2016,0,2016,105,26.96969696969697,porteot01-2016
gortama01,25.55,-5,201510310WAS-WAS,201510310WAS-NYK,WAS-2016,0,2016,-127.75,26.96969696969697,gortama01-2016
goodedr01,24.05,3.4,201510310WAS-WAS,201510310WAS-NYK,WAS-2016,0,2016,81.77,26.96969696969697,goodedr01-2016
hilarne01,18.1,1.4,201510310WAS-WAS,201510310WAS-NYK,WAS-2016,0,2016,25.34,26.96969696969697,hilarne01-2016
dudleja01,17.816666666666666,-2.7,201510310WAS-WAS,201510310WAS-NYK,WAS-2016,0,2016,-48.105000000000004,26.96969696969697,dudleja01-2016
nealga01,15.35,-2.9,201510310WAS-WAS,201510310WAS-NYK,WAS-2016,0,2016,-44.515,26.96969696969697,nealga01-2016
humphkr01,14.566666666666666,1.9,201510310WAS-WAS,201510310WAS-NYK,WAS-2016,0,2016,27.676666666666666,26.96969696969697,humphkr01-2016
sessira01,12.25,1.4,201510310WAS-WAS,201510310WAS-NYK,WAS-2016,0,2016,17.15,26.96969696969697,sessira01-2016
blairde01,4.35,-3.3,201510310WAS-WAS,201510310WAS-NYK,WAS-2016,0,2016,-14.354999999999999,26.96969696969697,blairde01-2016
porteot01,37.5,6.6,201511040WAS-WAS,201511040WAS-SAS,WAS-2016,1,2016,247.5,69.91742424242425,porteot01-2016
bealbr01,36.266666666666666,8,201511040WAS-WAS,201511040WAS-SAS,WAS-2016,1,2016,290.1333333333333,69.91742424242425,bealbr01-2016
walljo01,35.333333333333336,9.8,201511040WAS-WAS,201511040WAS-SAS,WAS-2016,1,2016,346.2666666666667,69.91742424242425,walljo01-2016
gortama01,28.05,-2.8,201511040WAS-WAS,201511040WAS-SAS,WAS-2016,1,2016,-78.53999999999999,69.91742424242425,gortama01-2016
humphkr01,22.666666666666668,-0.8,201511040WAS-WAS,201511040WAS-SAS,WAS-2016,1,2016,-18.133333333333336,69.91742424242425,humphkr01-2016
hilarne01,19.95,-3,201511040WAS-WAS,201511040WAS-SAS,WAS-2016,1,2016,-59.849999999999994,69.91742424242425,hilarne01-2016
dudleja01,17.2,0.3,201511040WAS-WAS,201511040WAS-SAS,WAS-2016,1,2016,5.159999999999999,69.91742424242425,dudleja01-2016
sessira01,16.216666666666665,2.2,201511040WAS-WAS,201511040WAS-SAS,WAS-2016,1,2016,35.67666666666667,69.91742424242425,sessira01-2016
nealga01,15.9,1.4,201511040WAS-WAS,201511040WAS-SAS,WAS-2016,1,2016,22.259999999999998,69.91742424242425,nealga01-2016
goodedr01,8.133333333333333,-2.8,201511040WAS-WAS,201511040WAS-SAS,WAS-2016,1,2016,-22.77333333333333,69.91742424242425,goodedr01-2016
templga01,2.783333333333333,0.5,201511040WAS-WAS,201511040WAS-SAS,WAS-2016,1,2016,1.3916666666666666,69.91742424242425,templga01-2016
turneev01,29.55,3.8,201511060BOS-BOS,201511060BOS-WAS,BOS-2016,1,2016,112.28999999999999,49.123333333333335,turneev01-2016
crowdja01,28.233333333333334,5.2,201511060BOS-BOS,201511060BOS-WAS,BOS-2016,1,2016,146.81333333333333,49.123333333333335,crowdja01-2016
olynyke01,26.916666666666668,11.1,201511060BOS-BOS,201511060BOS-WAS,BOS-2016,1,2016,298.775,49.123333333333335,olynyke01-2016
thomais02,25.75,1.8,201511060BOS-BOS,201511060BOS-WAS,BOS-2016,1,2016,46.35,49.123333333333335,thomais02-2016
bradlav01,25.55,-0.5,201511060BOS-BOS,201511060BOS-WAS,BOS-2016,1,2016,-12.775,49.123333333333335,bradlav01-2016
sullija01,21.65,10,201511060BOS-BOS,201511060BOS-WAS,BOS-2016,1,2016,216.5,49.123333333333335,sullija01-2016
jerebjo01,19.866666666666667,-1,201511060BOS-BOS,201511060BOS-WAS,BOS-2016,1,2016,-19.866666666666667,49.123333333333335,jerebjo01-2016
roziete01,19.366666666666667,-1.7,201511060BOS-BOS,201511060BOS-WAS,BOS-2016,1,2016,-32.92333333333333,49.123333333333335,roziete01-2016
johnsam01,18.133333333333333,-3.8,201511060BOS-BOS,201511060BOS-WAS,BOS-2016,1,2016,-68.90666666666667,49.123333333333335,johnsam01-2016
leeda02,12.65,-3.3,201511060BOS-BOS,201511060BOS-WAS,BOS-2016,1,2016,-41.745,49.123333333333335,leeda02-2016
hunterj01,4.533333333333333,-3.3,201511060BOS-BOS,201511060BOS-WAS,BOS-2016,1,2016,-14.959999999999999,49.123333333333335,hunterj01-2016
zellety01,4.533333333333333,1.2,201511060BOS-BOS,201511060BOS-WAS,BOS-2016,1,2016,5.4399999999999995,49.123333333333335,zellety01-2016
mickejo01,3.283333333333333,1.1,201511060BOS-BOS,201511060BOS-WAS,BOS-2016,1,2016,3.611666666666667,49.123333333333335,mickejo01-2016
millspa01,34,10,201511070ATL-ATL,201511070ATL-WAS,ATL-2016,1,2016,340,57.59060606060606,millspa01-2016
bazemke01,29.15,11.4,201511070ATL-ATL,201511070ATL-WAS,ATL-2016,1,2016,332.31,57.59060606060606,bazemke01-2016
horfoal01,28.683333333333334,-1.2,201511070ATL-ATL,201511070ATL-WAS,ATL-2016,1,2016,-34.42,57.59060606060606,horfoal01-2016
teaguje01,27.116666666666667,-1.1,201511070ATL-ATL,201511070ATL-WAS,ATL-2016,1,2016,-29.828333333333337,57.59060606060606,teaguje01-2016
korveky01,25.783333333333335,0.3,201511070ATL-ATL,201511070ATL-WAS,ATL-2016,1,2016,7.735,57.59060606060606,korveky01-2016
schrode01,23.916666666666668,-4.5,201511070ATL-ATL,201511070ATL-WAS,ATL-2016,1,2016,-107.625,57.59060606060606,schrode01-2016
sefolth01,20.4,2.5,201511070ATL-ATL,201511070ATL-WAS,ATL-2016,1,2016,51,57.59060606060606,sefolth01-2016
muscami01,19.316666666666666,1.3,201511070ATL-ATL,201511070ATL-WAS,ATL-2016,1,2016,25.111666666666668,57.59060606060606,muscami01-2016
holidju01,16.683333333333334,1.3,201511070ATL-ATL,201511070ATL-WAS,ATL-2016,1,2016,21.688333333333336,57.59060606060606,holidju01-2016
